# Original filename: 0010_KHI_2016-10-01.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37621	42	STIM=b
43848	42	RESP=2
52850	42	STIM=s
57973	42	RESP=1
68034	42	STIM=k
75947	42	RESP=1
85321	42	STIM=3
89593	42	RESP=1
100799	42	STIM=e
109831	42	RESP=1
118354	42	STIM=e
121693	42	RESP=1
136938	42	STIM=i
147506	42	RESP=1
155509	42	STIM=y
158643	42	RESP=1
172793	42	STIM=p
177648	42	RESP=1
189046	42	STIM=n
194203	42	RESP=1
204455	42	STIM=y
214656	42	RESP=1
220029	42	STIM=h
223244	42	RESP=1
235159	42	STIM=p
237877	42	RESP=1
251915	42	STIM=j
255467	42	RESP=1
270431	42	STIM=w
275171	42	RESP=1
288820	42	STIM=b
295297	42	RESP=1
304941	42	STIM=z
309686	42	RESP=1
322782	42	STIM=i
331177	42	RESP=2
339715	42	STIM=x
348861	42	RESP=1
356253	42	STIM=o
361341	42	RESP=1
374307	42	STIM=o
378499	42	RESP=1
392622	42	STIM=2
399054	42	RESP=1
411367	42	STIM=j
414220	42	RESP=1
427251	42	STIM=d
431018	42	RESP=1
445202	42	STIM=r
449311	42	RESP=1
464035	42	STIM=y
472850	42	RESP=1
480958	42	STIM=i
485004	42	RESP=1
496938	42	STIM=0
501561	42	RESP=2
515543	42	STIM=f
520051	42	RESP=1
533572	42	STIM=m
539377	42	RESP=1
552299	42	STIM=b
556389	42	RESP=1
569001	42	STIM=g
574740	42	RESP=1
587819	42	STIM=7
594167	42	RESP=2
603420	42	STIM=e
609190	42	RESP=1
619343	42	STIM=x
629062	42	RESP=1
636472	42	STIM=5
641138	42	RESP=2
651560	42	STIM=h
657020	42	RESP=1
670139	42	STIM=8
679022	42	RESP=2
686224	42	STIM=p
697471	42	RESP=1
702465	42	STIM=2
709402	42	RESP=2
717764	42	STIM=z
726395	42	RESP=1
735983	42	STIM=7
742935	42	RESP=2
753602	42	STIM=t
757143	42	RESP=1
770991	42	STIM=u
775837	42	RESP=1
788672	42	STIM=h
795110	42	RESP=1
807623	42	STIM=2
815096	42	RESP=2
824770	42	STIM=l
830813	42	RESP=1
841865	42	STIM=d
845779	42	RESP=1
860773	42	STIM=r
865277	42	RESP=1
878169	42	STIM=e
882788	42	RESP=1
896871	42	STIM=9
903182	42	RESP=2
914132	42	STIM=x
918214	42	RESP=1
931670	42	STIM=9
942280	42	RESP=2
947927	42	STIM=e
951047	42	RESP=1
966875	42	STIM=5
972713	42	RESP=2
981910	42	STIM=x
987660	42	RESP=1
999031	42	STIM=7
1005130	42	RESP=2
1015429	42	STIM=q
1020596	42	RESP=1
1033591	42	STIM=d
1037592	42	RESP=1
1050519	42	STIM=a
1054471	42	RESP=1
1069224	42	STIM=e
1075170	42	RESP=1
1086114	42	STIM=b
1091479	42	RESP=1
1105044	42	STIM=d
1110575	42	RESP=1
1120868	42	STIM=x
1125833	42	RESP=2
1136509	42	STIM=t
1143165	42	RESP=1
1153470	42	STIM=d
1162516	42	RESP=1
1169901	42	STIM=v
1174586	42	RESP=1
1187244	42	STIM=m
1196601	42	RESP=1
1202779	42	STIM=f
1210450	42	RESP=1
1221646	42	STIM=s
1226392	42	RESP=1
1236760	42	STIM=a
1240226	42	RESP=2
1253989	42	STIM=k
1258184	42	RESP=2
1269491	42	STIM=0
1274974	42	RESP=2
1285703	42	STIM=w
1292390	42	RESP=1
1302400	42	STIM=n
1307978	42	RESP=1
1320797	42	STIM=a
1325494	42	RESP=1
1337697	42	STIM=0
1345413	42	RESP=2
1354240	42	STIM=d
1362439	42	RESP=2
1370764	42	STIM=q
1376354	42	RESP=1
1387048	42	STIM=j
1396638	42	RESP=1
1402499	42	STIM=6
1407171	42	RESP=2
1418612	42	STIM=w
1425049	42	RESP=1
1435734	42	STIM=3
1443564	42	RESP=1
1451125	42	STIM=s
1458748	42	RESP=1
1469635	42	STIM=u
1476077	42	RESP=1
1487774	42	STIM=h
1491294	42	RESP=1
1503844	42	STIM=t
1507262	42	RESP=1
1520495	42	STIM=h
1523652	42	RESP=1
1538681	42	STIM=m
1546188	42	RESP=1
1557660	42	STIM=k
1564612	42	RESP=1
1573248	42	STIM=7
1578258	42	RESP=2
1589165	42	STIM=f
1593639	42	RESP=1
1605774	42	STIM=q
1611500	42	RESP=1
1623230	42	STIM=j
1627442	42	RESP=1
1640773	42	STIM=j
1645445	42	RESP=1
1656370	42	STIM=e
1661408	42	RESP=1
1673708	42	STIM=v
1680892	42	RESP=1
1690521	42	STIM=s
1695428	42	RESP=1
1708122	42	STIM=j
1716762	42	RESP=1
1726975	42	STIM=4
1732689	42	RESP=2
1742122	42	STIM=w
1748979	42	RESP=1
1760959	42	STIM=u
1765570	42	RESP=1
1778777	42	STIM=x
1789299	42	RESP=1
1796356	42	STIM=f
1799738	42	RESP=2
1812449	42	STIM=2
1818289	42	RESP=2
1829369	42	STIM=v
1833146	42	RESP=1
1845036	42	STIM=w
1850240	42	RESP=1
1862433	42	STIM=f
1865966	42	RESP=1
1880551	42	STIM=1
1886642	42	RESP=2
1895593	42	STIM=8
1904598	42	RESP=1
1913355	42	STIM=z
1918567	42	RESP=1
1929138	42	STIM=2
1933911	42	RESP=2
1946405	42	STIM=j
1954085	42	RESP=1
1964881	42	STIM=k
1967806	42	RESP=1
1981319	42	STIM=u
1986626	42	RESP=1
1997557	42	STIM=d
2006145	42	RESP=1
2014457	42	STIM=7
2019245	42	RESP=2
2030610	42	STIM=0
2034823	42	RESP=1
2047169	42	STIM=n
2052720	42	RESP=1
2063221	42	STIM=e
2067767	42	RESP=1
2080281	42	STIM=j
2086136	42	RESP=1
2097396	42	STIM=h
2103518	42	RESP=1
2113826	42	STIM=w
2120727	42	RESP=1
2129473	42	STIM=n
2135542	42	RESP=1
2147346	42	STIM=m
2152692	42	RESP=1
2165651	42	STIM=g
2169041	42	RESP=1
2181695	42	STIM=b
2189033	42	RESP=1
2199912	42	STIM=k
2207423	42	RESP=1
2216914	42	STIM=z
2219996	42	RESP=1
2232977	42	STIM=f
2236757	42	RESP=1
2250315	42	STIM=k
2254490	42	RESP=1
2269103	42	STIM=i
2273926	42	RESP=1
2287491	42	STIM=f
2293092	42	RESP=1
2304665	42	STIM=2
2312201	42	RESP=2
2321069	42	STIM=l
2323629	42	RESP=1
2339729	42	STIM=s
2344076	42	RESP=1
2355291	42	STIM=4
2365062	42	RESP=2
2372299	42	STIM=d
2376493	42	RESP=1
2389576	42	STIM=k
2392647	42	RESP=2
2404870	42	STIM=5
2412961	42	RESP=2
2422998	42	STIM=j
2427444	42	RESP=1
2439142	42	STIM=j
2443439	42	RESP=1
2457301	42	STIM=e
2464378	42	RESP=1
2476123	42	STIM=m
2479471	42	RESP=1
2494501	42	STIM=5
2502599	42	RESP=2
2513288	42	STIM=a
2519900	42	RESP=1
2531074	42	STIM=f
2535725	42	RESP=1
2547120	42	STIM=u
2551108	42	RESP=1
2565406	42	STIM=r
2568135	42	RESP=1
2581434	42	STIM=x
2585144	42	RESP=1
2599385	42	STIM=m
2610367	42	RESP=1
2616045	42	STIM=6
2621266	42	RESP=1
2632659	42	STIM=1
2643653	42	RESP=2
2647689	42	STIM=p
2654508	42	RESP=1
2663680	42	STIM=w
2668698	42	RESP=1
2679594	42	STIM=c
2691235	42	RESP=2
2697976	42	STIM=r
2702034	42	RESP=1
2716616	42	STIM=m
2720256	42	RESP=1
2732787	42	STIM=4
2738033	42	RESP=1
2750348	42	STIM=e
2755054	42	RESP=1
2768973	42	STIM=e
2772992	42	RESP=1
2786646	42	STIM=n
2790766	42	RESP=1
2802602	42	STIM=n
2808515	42	RESP=1
2817940	42	STIM=i
2824191	42	RESP=1
2833915	42	STIM=u
2838182	42	RESP=1
2848998	42	STIM=r
2858246	42	RESP=1
2865954	42	STIM=4
2872726	42	RESP=2
2884905	42	STIM=e
2891369	42	RESP=1
2901695	42	STIM=o
2906226	42	RESP=1
2918017	42	STIM=n
2923347	42	RESP=1
2935444	42	STIM=f
2940571	42	RESP=1
2952858	42	STIM=q
2963528	42	RESP=1
2970513	42	STIM=r
2976236	42	RESP=1
2986706	42	STIM=g
2991678	42	RESP=1
3004493	42	STIM=o
3009500	42	RESP=1
3021881	42	STIM=b
3030114	42	RESP=1
3038598	42	STIM=r
3043818	42	RESP=1
