# Original filename: 0011_LTQ_2017-05-08.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
36395	42	STIM=d
40611	42	RESP=1
52139	42	STIM=c
56276	42	RESP=1
70094	42	STIM=e
75665	42	RESP=1
87146	42	STIM=e
94862	42	RESP=1
104875	42	STIM=5
109885	42	RESP=2
122683	42	STIM=d
126758	42	RESP=1
141651	42	STIM=z
147311	42	RESP=1
157232	42	STIM=e
167086	42	RESP=1
175154	42	STIM=r
178209	42	RESP=1
190510	42	STIM=j
199794	42	RESP=1
207377	42	STIM=x
213290	42	RESP=1
225858	42	STIM=r
233081	42	RESP=1
241260	42	STIM=9
247023	42	RESP=2
256379	42	STIM=u
261192	42	RESP=1
275235	42	STIM=h
279588	42	RESP=1
292498	42	STIM=m
295742	42	RESP=1
309637	42	STIM=7
320576	42	RESP=2
327326	42	STIM=n
330425	42	RESP=1
343547	42	STIM=e
347846	42	RESP=1
360557	42	STIM=e
363633	42	RESP=1
378576	42	STIM=s
382263	42	RESP=1
397521	42	STIM=c
403767	42	RESP=2
414431	42	STIM=6
418858	42	RESP=2
433113	42	STIM=1
437059	42	RESP=2
451847	42	STIM=g
455172	42	RESP=1
467018	42	STIM=t
471964	42	RESP=1
485022	42	STIM=q
487690	42	RESP=1
501984	42	STIM=d
506380	42	RESP=1
517347	42	STIM=s
521497	42	RESP=1
533067	42	STIM=p
539803	42	RESP=1
548258	42	STIM=e
552369	42	RESP=1
564830	42	STIM=l
570822	42	RESP=1
583079	42	STIM=i
586168	42	RESP=1
601533	42	STIM=r
605021	42	RESP=1
617701	42	STIM=z
623233	42	RESP=1
634093	42	STIM=e
638309	42	RESP=1
652109	42	STIM=1
657269	42	RESP=2
669230	42	STIM=u
672660	42	RESP=1
685762	42	STIM=s
688963	42	RESP=1
702229	42	STIM=q
706931	42	RESP=1
719445	42	STIM=k
726397	42	RESP=1
737459	42	STIM=z
744208	42	RESP=1
756438	42	STIM=u
765764	42	RESP=1
773781	42	STIM=k
778435	42	RESP=1
792044	42	STIM=d
800330	42	RESP=1
807445	42	STIM=e
812739	42	RESP=1
825656	42	STIM=d
832258	42	RESP=1
842832	42	STIM=m
847153	42	RESP=1
860338	42	STIM=m
864555	42	RESP=1
875975	42	STIM=i
881977	42	RESP=1
891199	42	STIM=g
894869	42	RESP=1
909354	42	STIM=o
912883	42	RESP=1
925239	42	STIM=e
928689	42	RESP=1
940629	42	STIM=6
946414	42	RESP=2
956490	42	STIM=k
961508	42	RESP=1
975098	42	STIM=b
979042	42	RESP=1
991655	42	STIM=3
995679	42	RESP=2
1007657	42	STIM=p
1011884	42	RESP=1
1023975	42	STIM=t
1031232	42	RESP=1
1042861	42	STIM=9
1052979	42	RESP=2
1059665	42	STIM=l
1062763	42	RESP=1
1075739	42	STIM=o
1080897	42	RESP=1
1091533	42	STIM=e
1097863	42	RESP=1
1109597	42	STIM=f
1113918	42	RESP=1
1128309	42	STIM=q
1134719	42	RESP=1
1144066	42	STIM=3
1148951	42	RESP=2
1162379	42	STIM=7
1169449	42	RESP=2
1180388	42	STIM=o
1186447	42	RESP=1
1197271	42	STIM=7
1203643	42	RESP=2
1214616	42	STIM=p
1219938	42	RESP=1
1232537	42	STIM=b
1237272	42	RESP=1
1251298	42	STIM=g
1254365	42	RESP=1
1268141	42	STIM=u
1273187	42	RESP=1
1286080	42	STIM=i
1289719	42	RESP=1
1301130	42	STIM=2
1307148	42	RESP=1
1318808	42	STIM=z
1325556	42	RESP=1
1336736	42	STIM=6
1343257	42	RESP=2
1352343	42	STIM=w
1354940	42	RESP=1
1370122	42	STIM=p
1373487	42	RESP=1
1386537	42	STIM=9
1391738	42	RESP=2
1402180	42	STIM=1
1408897	42	RESP=2
1418037	42	STIM=6
1422428	42	RESP=2
1433280	42	STIM=b
1437922	42	RESP=1
1449501	42	STIM=d
1454345	42	RESP=1
1467540	42	STIM=n
1471891	42	RESP=1
1485739	42	STIM=c
1491266	42	RESP=1
1503348	42	STIM=4
1508429	42	RESP=2
1521844	42	STIM=g
1527183	42	RESP=1
1540736	42	STIM=n
1544110	42	RESP=1
1558657	42	STIM=a
1564639	42	RESP=1
1576060	42	STIM=t
1580341	42	RESP=1
1594652	42	STIM=d
1599164	42	RESP=1
1612216	42	STIM=3
1617123	42	RESP=2
1627553	42	STIM=v
1632799	42	RESP=1
1644717	42	STIM=s
1648400	42	RESP=1
1662969	42	STIM=k
1667323	42	RESP=1
1680470	42	STIM=x
1685282	42	RESP=1
1698089	42	STIM=h
1702623	42	RESP=1
1713829	42	STIM=8
1720611	42	RESP=2
1730360	42	STIM=s
1733122	42	RESP=1
1748943	42	STIM=l
1754329	42	RESP=1
1766488	42	STIM=o
1770883	42	RESP=1
1783891	42	STIM=x
1789588	42	RESP=1
1799080	42	STIM=2
1803220	42	RESP=2
1814806	42	STIM=q
1817776	42	RESP=1
1832750	42	STIM=p
1837487	42	RESP=1
1849660	42	STIM=o
1854573	42	RESP=1
1868356	42	STIM=x
1871441	42	RESP=1
1884991	42	STIM=e
1890117	42	RESP=1
1903250	42	STIM=m
1906473	42	RESP=1
1920656	42	STIM=z
1923390	42	RESP=1
1936240	42	STIM=z
1941718	42	RESP=1
1952252	42	STIM=e
1955258	42	RESP=1
1970613	42	STIM=0
1980520	42	RESP=2
1987622	42	STIM=o
1994997	42	RESP=1
2006423	42	STIM=j
2011278	42	RESP=1
2023938	42	STIM=r
2028317	42	RESP=1
2042656	42	STIM=z
2047298	42	RESP=1
2060943	42	STIM=o
2065005	42	RESP=1
2077598	42	STIM=v
2083292	42	RESP=1
2093880	42	STIM=w
2101144	42	RESP=1
2110490	42	STIM=l
2115737	42	RESP=1
2127242	42	STIM=w
2131683	42	RESP=1
2144847	42	STIM=q
2148335	42	RESP=1
2162150	42	STIM=r
2171109	42	RESP=2
2178885	42	STIM=h
2184771	42	RESP=1
2196556	42	STIM=l
2203573	42	RESP=1
2213238	42	STIM=k
2217007	42	RESP=1
2228734	42	STIM=w
2231741	42	RESP=1
2246556	42	STIM=v
2253604	42	RESP=2
2265500	42	STIM=p
2273939	42	RESP=1
2281749	42	STIM=k
2287880	42	RESP=1
2300553	42	STIM=m
2304439	42	RESP=1
2317926	42	STIM=q
2322875	42	RESP=1
2335370	42	STIM=w
