# Original filename: 0012_CGS_2016-09-30.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37006	42	STIM=p
43557	42	RESP=1
55626	42	STIM=x
60029	42	RESP=1
73471	42	STIM=7
80056	42	RESP=2
91940	42	STIM=a
97072	42	RESP=1
108799	42	STIM=u
112173	42	RESP=2
124615	42	STIM=l
131353	42	RESP=2
140409	42	STIM=z
144742	42	RESP=1
157272	42	STIM=k
161580	42	RESP=1
173730	42	STIM=z
179257	42	RESP=1
190862	42	STIM=q
197683	42	RESP=1
208943	42	STIM=g
218504	42	RESP=1
226877	42	STIM=u
229986	42	RESP=1
245719	42	STIM=q
250458	42	RESP=1
262632	42	STIM=y
266515	42	RESP=1
281441	42	STIM=2
286232	42	RESP=2
300239	42	STIM=b
304649	42	RESP=1
315445	42	STIM=l
320608	42	RESP=1
331043	42	STIM=l
337309	42	RESP=1
347936	42	STIM=g
353301	42	RESP=1
363631	42	STIM=w
375326	42	RESP=1
379011	42	STIM=f
387930	42	RESP=1
395450	42	STIM=5
401914	42	RESP=2
413240	42	STIM=m
418652	42	RESP=1
430266	42	STIM=r
437116	42	RESP=1
447991	42	STIM=1
453933	42	RESP=2
463257	42	STIM=7
469040	42	RESP=1
478535	42	STIM=p
483863	42	RESP=1
496031	42	STIM=w
502792	42	RESP=1
512806	42	STIM=4
517055	42	RESP=1
528924	42	STIM=h
535191	42	RESP=1
547850	42	STIM=n
554315	42	RESP=1
565397	42	STIM=5
569996	42	RESP=2
580723	42	STIM=b
586619	42	RESP=1
596575	42	STIM=z
600946	42	RESP=1
613250	42	STIM=m
617978	42	RESP=1
629984	42	STIM=2
638674	42	RESP=2
647495	42	STIM=z
651484	42	RESP=1
662811	42	STIM=6
670350	42	RESP=2
680260	42	STIM=p
687511	42	RESP=1
696720	42	STIM=f
700857	42	RESP=2
712963	42	STIM=q
719113	42	RESP=1
728112	42	STIM=a
734263	42	RESP=1
743620	42	STIM=2
752007	42	RESP=2
760204	42	STIM=c
767290	42	RESP=1
778961	42	STIM=b
783742	42	RESP=1
794458	42	STIM=k
799570	42	RESP=1
810741	42	STIM=9
817979	42	RESP=2
825899	42	STIM=v
830505	42	RESP=1
844291	42	STIM=3
849752	42	RESP=2
860472	42	STIM=l
866262	42	RESP=1
879307	42	STIM=f
887462	42	RESP=1
897995	42	STIM=w
903541	42	RESP=1
913866	42	STIM=p
917688	42	RESP=1
929926	42	STIM=t
933519	42	RESP=1
946907	42	STIM=z
953654	42	RESP=1
962045	42	STIM=j
966648	42	RESP=1
979785	42	STIM=1
985786	42	RESP=2
996293	42	STIM=7
1000312	42	RESP=2
1013169	42	STIM=6
1025508	42	RESP=1
1031503	42	STIM=5
1038272	42	RESP=2
1047760	42	STIM=l
