# Original filename: 0013_GKH_2017-05-07.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
36678	42	STIM=f
40229	42	RESP=1
53527	42	STIM=z
57030	42	RESP=1
70856	42	STIM=i
75983	42	RESP=1
88243	42	STIM=m
92234	42	RESP=1
106361	42	STIM=r
109395	42	RESP=1
122434	42	STIM=a
129447	42	RESP=1
137456	42	STIM=s
141805	42	RESP=1
155476	42	STIM=s
162281	42	RESP=1
171921	42	STIM=o
175527	42	RESP=1
189799	42	STIM=u
193268	42	RESP=1
208739	42	STIM=e
212732	42	RESP=1
225441	42	STIM=u
229687	42	RESP=1
243490	42	STIM=5
253479	42	RESP=2
261260	42	STIM=g
265007	42	RESP=1
277439	42	STIM=a
281091	42	RESP=1
295875	42	STIM=c
299377	42	RESP=1
312392	42	STIM=g
317177	42	RESP=1
327677	42	STIM=d
332558	42	RESP=1
345557	42	STIM=a
349772	42	RESP=1
360656	42	STIM=p
369121	42	RESP=1
377002	42	STIM=u
383005	42	RESP=1
392661	42	STIM=g
400666	42	RESP=1
407951	42	STIM=h
414688	42	RESP=1
423248	42	STIM=7
427599	42	RESP=2
441715	42	STIM=p
444434	42	RESP=1
456905	42	STIM=u
464674	42	RESP=1
475877	42	STIM=f
480073	42	RESP=1
493884	42	STIM=p
499866	42	RESP=1
511260	42	STIM=x
515729	42	RESP=1
529036	42	STIM=m
531760	42	RESP=1
546218	42	STIM=a
551348	42	RESP=1
565062	42	STIM=c
570633	42	RESP=1
581260	42	STIM=u
585538	42	RESP=1
598437	42	STIM=6
604017	42	RESP=2
615268	42	STIM=x
625000	42	RESP=1
632552	42	STIM=p
639963	42	RESP=1
647756	42	STIM=8
651623	42	RESP=1
663765	42	STIM=f
666740	42	RESP=1
679401	42	STIM=h
686453	42	RESP=1
696966	42	STIM=6
701082	42	RESP=2
713527	42	STIM=2
719489	42	RESP=2
731588	42	STIM=d
736881	42	RESP=1
748851	42	STIM=3
754319	42	RESP=2
765074	42	STIM=j
770313	42	RESP=1
783140	42	STIM=i
787948	42	RESP=1
800860	42	STIM=f
809554	42	RESP=1
817576	42	STIM=1
823787	42	RESP=2
835857	42	STIM=j
840183	42	RESP=1
852383	42	STIM=b
857751	42	RESP=1
870044	42	STIM=0
875159	42	RESP=2
888337	42	STIM=n
893228	42	RESP=1
906348	42	STIM=a
910969	42	RESP=1
923439	42	STIM=l
928250	42	RESP=1
940319	42	STIM=8
951131	42	RESP=2
957952	42	STIM=y
961554	42	RESP=1
976769	42	STIM=b
981941	42	RESP=1
995079	42	STIM=9
1000624	42	RESP=2
1012296	42	STIM=p
1016223	42	RESP=1
1027406	42	STIM=k
1030708	42	RESP=1
1043329	42	STIM=p
1046763	42	RESP=1
1059476	42	STIM=2
1065706	42	RESP=2
1074667	42	STIM=6
1078672	42	RESP=2
1092069	42	STIM=1
1095754	42	RESP=1
1110691	42	STIM=f
1114007	42	RESP=1
1127466	42	STIM=i
1133024	42	RESP=1
1145742	42	STIM=j
1149794	42	RESP=1
1164350	42	STIM=2
1169659	42	RESP=2
1181652	42	STIM=j
1188356	42	RESP=1
1198919	42	STIM=e
1202713	42	RESP=1
1215308	42	STIM=t
1220444	42	RESP=1
1230674	42	STIM=6
1236802	42	RESP=1
1248779	42	STIM=o
1257453	42	RESP=1
1263971	42	STIM=9
1269404	42	RESP=2
1281343	42	STIM=b
1286567	42	RESP=1
1299516	42	STIM=l
1305519	42	RESP=1
1316195	42	STIM=j
1321216	42	RESP=1
1334289	42	STIM=h
1338277	42	RESP=1
1352896	42	STIM=l
1359154	42	RESP=1
1371489	42	STIM=s
1374283	42	RESP=1
1388232	42	STIM=5
1392344	42	RESP=2
1404085	42	STIM=j
1408752	42	RESP=1
1421928	42	STIM=j
1425491	42	RESP=1
1440712	42	STIM=n
1446344	42	RESP=1
1459192	42	STIM=n
1463829	42	RESP=1
1475590	42	STIM=h
1479372	42	RESP=1
1492744	42	STIM=f
1499579	42	RESP=1
1508934	42	STIM=g
1516070	42	RESP=1
1527660	42	STIM=5
1532964	42	RESP=2
