# Original filename: 0014_EGU_2017-08-23.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38084	42	STIM=1
41796	42	RESP=2
56519	42	STIM=j
60416	42	RESP=1
72321	42	STIM=f
76711	42	RESP=1
87768	42	STIM=q
92247	42	RESP=1
105667	42	STIM=w
109823	42	RESP=1
123247	42	STIM=p
127538	42	RESP=1
141225	42	STIM=w
145132	42	RESP=1
157274	42	STIM=k
162126	42	RESP=1
173258	42	STIM=t
178088	42	RESP=1
190596	42	STIM=s
196561	42	RESP=1
207113	42	STIM=r
214400	42	RESP=1
224757	42	STIM=1
229575	42	RESP=2
243145	42	STIM=c
247004	42	RESP=1
258448	42	STIM=d
265901	42	RESP=1
275593	42	STIM=3
280044	42	RESP=2
292894	42	STIM=t
296295	42	RESP=1
309974	42	STIM=s
313421	42	RESP=1
327780	42	STIM=f
333564	42	RESP=1
344667	42	STIM=e
349691	42	RESP=1
363661	42	STIM=o
366836	42	RESP=2
380549	42	STIM=k
384395	42	RESP=1
398491	42	STIM=e
402573	42	RESP=1
415702	42	STIM=w
419011	42	RESP=1
434544	42	STIM=s
441291	42	RESP=2
452310	42	STIM=u
456213	42	RESP=2
469576	42	STIM=g
473139	42	RESP=1
485497	42	STIM=j
488402	42	RESP=1
501198	42	STIM=y
506199	42	RESP=1
519447	42	STIM=m
524140	42	RESP=1
536150	42	STIM=l
540502	42	RESP=1
551404	42	STIM=g
556562	42	RESP=1
568954	42	STIM=f
572465	42	RESP=1
587332	42	STIM=v
591763	42	RESP=1
603407	42	STIM=e
607633	42	RESP=1
618617	42	STIM=r
623091	42	RESP=1
634444	42	STIM=m
639306	42	RESP=1
652782	42	STIM=f
658725	42	RESP=1
668044	42	STIM=5
671977	42	RESP=2
683515	42	STIM=l
686470	42	RESP=1
698761	42	STIM=f
703156	42	RESP=1
715929	42	STIM=7
720484	42	RESP=2
734614	42	STIM=i
739658	42	RESP=1
749970	42	STIM=h
753555	42	RESP=1
765583	42	STIM=g
771029	42	RESP=1
784158	42	STIM=m
790672	42	RESP=1
802006	42	STIM=6
806038	42	RESP=2
818805	42	STIM=8
823348	42	RESP=2
833860	42	STIM=x
840143	42	RESP=1
849153	42	STIM=d
853743	42	RESP=1
865870	42	STIM=i
869729	42	RESP=2
883309	42	STIM=k
887763	42	RESP=1
901357	42	STIM=x
906531	42	RESP=1
917372	42	STIM=h
920224	42	RESP=1
932487	42	STIM=8
937989	42	RESP=2
948126	42	STIM=4
952422	42	RESP=2
964508	42	STIM=d
968705	42	RESP=1
983385	42	STIM=g
986496	42	RESP=2
999149	42	STIM=w
1004031	42	RESP=1
1016751	42	STIM=2
1020195	42	RESP=2
1032613	42	STIM=v
1035031	42	RESP=1
1050432	42	STIM=b
1055510	42	RESP=1
1066897	42	STIM=w
1070782	42	RESP=1
1084137	42	STIM=g
1089843	42	RESP=1
1099605	42	STIM=2
1106483	42	RESP=2
1116268	42	STIM=w
1119794	42	RESP=1
1134494	42	STIM=z
1143067	42	RESP=1
1150655	42	STIM=w
1154499	42	RESP=1
1168812	42	STIM=v
1174943	42	RESP=1
1186046	42	STIM=f
1195378	42	RESP=1
1202705	42	STIM=q
1209056	42	RESP=1
1220712	42	STIM=z
1229230	42	RESP=1
1236360	42	STIM=q
1240832	42	RESP=1
1252182	42	STIM=1
1255316	42	RESP=2
1270904	42	STIM=b
1274237	42	RESP=1
1286000	42	STIM=z
1293313	42	RESP=1
1303539	42	STIM=6
1313812	42	RESP=2
1321910	42	STIM=z
1326049	42	RESP=1
1338977	42	STIM=x
1345543	42	RESP=1
1356048	42	STIM=b
1361510	42	RESP=1
1374045	42	STIM=7
1381804	42	RESP=2
1390419	42	STIM=o
1394952	42	RESP=1
1406535	42	STIM=5
1412503	42	RESP=2
1425019	42	STIM=f
1427815	42	RESP=1
1442803	42	STIM=e
1448085	42	RESP=1
1458665	42	STIM=h
1463282	42	RESP=1
1475740	42	STIM=r
1479425	42	RESP=1
1490879	42	STIM=z
1497060	42	RESP=2
1507281	42	STIM=b
1510714	42	RESP=1
1522294	42	STIM=2
1526145	42	RESP=2
1538761	42	STIM=l
1542669	42	RESP=1
1555701	42	STIM=x
1561126	42	RESP=1
1570911	42	STIM=t
1574628	42	RESP=1
1586277	42	STIM=e
1591244	42	RESP=1
