# Original filename: 0017_UQL_2016-12-15.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38161	42	STIM=u
41766	42	RESP=1
55001	42	STIM=f
59546	42	RESP=1
71361	42	STIM=5
76554	42	RESP=2
89880	42	STIM=z
98246	42	RESP=1
106728	42	STIM=v
115126	42	RESP=1
123632	42	STIM=6
128152	42	RESP=2
140706	42	STIM=3
146426	42	RESP=1
157601	42	STIM=f
163745	42	RESP=2
173757	42	STIM=v
176467	42	RESP=1
190139	42	STIM=h
193611	42	RESP=1
208041	42	STIM=d
212201	42	RESP=1
226536	42	STIM=f
230593	42	RESP=1
245318	42	STIM=g
248940	42	RESP=1
261290	42	STIM=h
264685	42	RESP=1
277248	42	STIM=i
284982	42	RESP=1
293078	42	STIM=y
296827	42	RESP=1
309692	42	STIM=t
312718	42	RESP=1
326909	42	STIM=o
330439	42	RESP=1
343533	42	STIM=r
347623	42	RESP=1
361125	42	STIM=4
368142	42	RESP=2
379402	42	STIM=n
387609	42	RESP=1
394957	42	STIM=q
401238	42	RESP=1
411009	42	STIM=q
419150	42	RESP=1
426818	42	STIM=r
430642	42	RESP=2
443576	42	STIM=6
449885	42	RESP=2
461253	42	STIM=t
466332	42	RESP=2
476780	42	STIM=6
481975	42	RESP=2
492969	42	STIM=h
500614	42	RESP=1
509364	42	STIM=9
513752	42	RESP=2
526269	42	STIM=m
530472	42	RESP=1
543249	42	STIM=r
548660	42	RESP=1
558748	42	STIM=2
565025	42	RESP=2
573824	42	STIM=u
580135	42	RESP=1
589561	42	STIM=e
594739	42	RESP=1
607017	42	STIM=7
612554	42	RESP=2
624506	42	STIM=v
629578	42	RESP=1
640471	42	STIM=m
643457	42	RESP=1
656297	42	STIM=u
663551	42	RESP=1
673268	42	STIM=c
677840	42	RESP=1
689785	42	STIM=m
695879	42	RESP=1
706348	42	STIM=r
712509	42	RESP=1
723474	42	STIM=r
729108	42	RESP=1
739937	42	STIM=r
745379	42	RESP=1
758932	42	STIM=8
764673	42	RESP=2
776593	42	STIM=3
784746	42	RESP=2
795031	42	STIM=8
802043	42	RESP=2
812353	42	STIM=6
815438	42	RESP=2
827696	42	STIM=b
831903	42	RESP=1
843112	42	STIM=z
847613	42	RESP=1
860569	42	STIM=t
865058	42	RESP=1
876671	42	STIM=n
880969	42	RESP=1
895357	42	STIM=g
899468	42	RESP=1
910853	42	STIM=p
913434	42	RESP=1
928377	42	STIM=w
932722	42	RESP=1
943875	42	STIM=4
952877	42	RESP=1
962065	42	STIM=q
967099	42	RESP=1
980980	42	STIM=n
984807	42	RESP=1
999298	42	STIM=2
1004428	42	RESP=2
1015838	42	STIM=z
1021424	42	RESP=1
1034231	42	STIM=e
1038250	42	RESP=1
1050492	42	STIM=d
1054169	42	RESP=1
1065666	42	STIM=n
1070505	42	RESP=1
1082894	42	STIM=1
1086330	42	RESP=1
1100049	42	STIM=8
1104602	42	RESP=1
1116059	42	STIM=6
1122271	42	RESP=2
1133857	42	STIM=5
1138105	42	RESP=2
