# Original filename: 0018_BPW_2017-02-07.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38196	42	STIM=v
43735	42	RESP=1
53398	42	STIM=5
57794	42	RESP=1
71146	42	STIM=s
73928	42	RESP=1
89919	42	STIM=8
97331	42	RESP=2
108242	42	STIM=2
114643	42	RESP=1
126710	42	STIM=i
135620	42	RESP=1
143824	42	STIM=5
150323	42	RESP=2
162470	42	STIM=n
171629	42	RESP=1
178960	42	STIM=x
185337	42	RESP=1
194543	42	STIM=x
199728	42	RESP=1
211631	42	STIM=z
219100	42	RESP=1
229208	42	STIM=8
235628	42	RESP=2
244574	42	STIM=o
250667	42	RESP=1
260559	42	STIM=i
272142	42	RESP=1
275734	42	STIM=w
279241	42	RESP=1
291866	42	STIM=a
296005	42	RESP=1
306931	42	STIM=o
311554	42	RESP=1
324585	42	STIM=r
331047	42	RESP=1
342374	42	STIM=s
353165	42	RESP=1
358796	42	STIM=4
366205	42	RESP=2
377434	42	STIM=1
382135	42	RESP=2
395952	42	STIM=h
402023	42	RESP=1
411971	42	STIM=7
421157	42	RESP=2
430145	42	STIM=j
434075	42	RESP=1
447381	42	STIM=n
454874	42	RESP=1
463286	42	STIM=f
469891	42	RESP=1
481927	42	STIM=d
492107	42	RESP=1
499326	42	STIM=g
502850	42	RESP=1
514565	42	STIM=q
526172	42	RESP=1
533159	42	STIM=j
537233	42	RESP=1
548496	42	STIM=y
551254	42	RESP=1
563750	42	STIM=z
569892	42	RESP=1
580216	42	STIM=5
584685	42	RESP=2
595310	42	STIM=j
599374	42	RESP=1
612458	42	STIM=t
621475	42	RESP=1
627574	42	STIM=a
632390	42	RESP=1
643906	42	STIM=k
655009	42	RESP=2
659601	42	STIM=b
666241	42	RESP=1
675488	42	STIM=v
679119	42	RESP=1
691347	42	STIM=a
696124	42	RESP=1
706385	42	STIM=y
712025	42	RESP=1
724876	42	STIM=z
728606	42	RESP=1
741916	42	STIM=u
749674	42	RESP=2
758005	42	STIM=h
764672	42	RESP=1
775043	42	STIM=d
789421	42	RESP=1
791656	42	STIM=i
794886	42	RESP=1
808926	42	STIM=a
813371	42	RESP=1
825478	42	STIM=q
834605	42	RESP=1
843332	42	STIM=e
848722	42	RESP=1
859820	42	STIM=v
866224	42	RESP=2
875420	42	STIM=w
881014	42	RESP=1
891994	42	STIM=b
898549	42	RESP=1
907348	42	STIM=l
910480	42	RESP=1
922694	42	STIM=b
929453	42	RESP=1
938580	42	STIM=j
947660	42	RESP=1
956286	42	STIM=t
962853	42	RESP=1
973634	42	STIM=3
983764	42	RESP=2
989071	42	STIM=k
994758	42	RESP=1
1005712	42	STIM=l
1009545	42	RESP=1
1023851	42	STIM=y
1028668	42	RESP=1
1041745	42	STIM=5
1050888	42	RESP=2
1056775	42	STIM=i
1061477	42	RESP=2
1072824	42	STIM=i
1079395	42	RESP=1
1091021	42	STIM=l
1093674	42	RESP=1
1107755	42	STIM=z
1112124	42	RESP=1
1126479	42	STIM=u
1133110	42	RESP=1
1145403	42	STIM=d
1153614	42	RESP=1
1163740	42	STIM=z
1166762	42	RESP=1
1182356	42	STIM=h
1187513	42	RESP=1
1200070	42	STIM=f
1203708	42	RESP=1
1216471	42	STIM=3
1223454	42	RESP=2
1232526	42	STIM=r
1236079	42	RESP=1
