# Original filename: 0019_EJM_2017-04-03.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38675	42	STIM=l
43692	42	RESP=1
56783	42	STIM=h
60436	42	RESP=1
75658	42	STIM=a
81663	42	RESP=1
94420	42	STIM=a
97767	42	RESP=1
110174	42	STIM=b
115682	42	RESP=1
126737	42	STIM=y
132771	42	RESP=1
144752	42	STIM=5
149306	42	RESP=2
162384	42	STIM=s
169393	42	RESP=1
178320	42	STIM=v
186390	42	RESP=1
194346	42	STIM=m
197613	42	RESP=1
210650	42	STIM=s
213729	42	RESP=1
225746	42	STIM=z
232921	42	RESP=1
242722	42	STIM=a
248956	42	RESP=1
260284	42	STIM=8
266590	42	RESP=2
278543	42	STIM=8
288446	42	RESP=2
296220	42	STIM=y
301266	42	RESP=1
313171	42	STIM=p
319932	42	RESP=1
329475	42	STIM=d
333960	42	RESP=1
345591	42	STIM=8
350045	42	RESP=2
362878	42	STIM=z
369422	42	RESP=1
380676	42	STIM=t
384844	42	RESP=1
398107	42	STIM=9
404162	42	RESP=2
414425	42	STIM=n
420959	42	RESP=1
432022	42	STIM=f
439565	42	RESP=1
450184	42	STIM=m
455291	42	RESP=1
466615	42	STIM=a
475507	42	RESP=1
482430	42	STIM=y
488905	42	RESP=2
500141	42	STIM=q
504725	42	RESP=1
517926	42	STIM=f
522813	42	RESP=1
535430	42	STIM=d
540399	42	RESP=1
553179	42	STIM=b
557330	42	RESP=1
570733	42	STIM=n
574127	42	RESP=1
588969	42	STIM=0
593977	42	RESP=2
605995	42	STIM=x
614099	42	RESP=1
624007	42	STIM=y
630630	42	RESP=1
639535	42	STIM=g
646889	42	RESP=1
656161	42	STIM=n
663471	42	RESP=1
671319	42	STIM=p
678605	42	RESP=1
689483	42	STIM=t
692357	42	RESP=2
707378	42	STIM=t
710815	42	RESP=2
725380	42	STIM=g
734146	42	RESP=1
740983	42	STIM=x
746254	42	RESP=1
759270	42	STIM=s
763302	42	RESP=1
776791	42	STIM=v
784093	42	RESP=1
792307	42	STIM=r
801721	42	RESP=1
811236	42	STIM=e
821761	42	RESP=1
829795	42	STIM=4
835266	42	RESP=1
848758	42	STIM=k
854003	42	RESP=1
863781	42	STIM=q
872153	42	RESP=1
879709	42	STIM=9
885003	42	RESP=2
897579	42	STIM=v
902813	42	RESP=1
914023	42	STIM=5
918597	42	RESP=2
929730	42	STIM=k
933541	42	RESP=1
946498	42	STIM=w
951721	42	RESP=1
963668	42	STIM=m
970300	42	RESP=1
982575	42	STIM=j
986858	42	RESP=1
998541	42	STIM=s
1001512	42	RESP=1
1014538	42	STIM=n
1017698	42	RESP=1
1032736	42	STIM=h
1036705	42	RESP=1
1049355	42	STIM=2
1054266	42	RESP=2
1067668	42	STIM=h
1074006	42	RESP=1
1084628	42	STIM=i
1088333	42	RESP=1
1099749	42	STIM=7
