# Original filename: 0020_WES_2016-11-28.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38352	42	STIM=a
42800	42	RESP=1
54092	42	STIM=z
59493	42	RESP=1
72540	42	STIM=n
77911	42	RESP=1
87931	42	STIM=a
92549	42	RESP=1
106073	42	STIM=z
115642	42	RESP=1
121501	42	STIM=y
124894	42	RESP=1
137776	42	STIM=q
141634	42	RESP=1
153447	42	STIM=y
158734	42	RESP=1
171175	42	STIM=s
177894	42	RESP=1
186989	42	STIM=v
194016	42	RESP=1
205544	42	STIM=t
209975	42	RESP=1
222708	42	STIM=k
228171	42	RESP=2
237834	42	STIM=y
242056	42	RESP=1
256087	42	STIM=v
260499	42	RESP=1
273466	42	STIM=y
286413	42	RESP=1
290274	42	STIM=q
296332	42	RESP=1
308602	42	STIM=f
316274	42	RESP=1
324304	42	STIM=u
327433	42	RESP=1
340454	42	STIM=5
350920	42	RESP=2
358241	42	STIM=c
360627	42	RESP=1
374869	42	STIM=s
381368	42	RESP=1
391211	42	STIM=u
397213	42	RESP=1
408532	42	STIM=6
415271	42	RESP=2
427188	42	STIM=t
432214	42	RESP=1
443629	42	STIM=f
448367	42	RESP=1
462263	42	STIM=4
469784	42	RESP=2
479488	42	STIM=2
483929	42	RESP=1
498195	42	STIM=j
503542	42	RESP=1
515082	42	STIM=s
517822	42	RESP=1
531550	42	STIM=2
538934	42	RESP=2
549751	42	STIM=a
552788	42	RESP=1
566720	42	STIM=1
572082	42	RESP=2
581778	42	STIM=2
587767	42	RESP=2
597899	42	STIM=n
601081	42	RESP=1
615485	42	STIM=p
622984	42	RESP=1
631287	42	STIM=j
637416	42	RESP=1
646386	42	STIM=p
650769	42	RESP=1
663874	42	STIM=n
667082	42	RESP=1
679384	42	STIM=c
684086	42	RESP=1
694913	42	STIM=d
699456	42	RESP=1
712134	42	STIM=0
720572	42	RESP=2
727320	42	STIM=l
732115	42	RESP=1
742640	42	STIM=v
746699	42	RESP=1
758498	42	STIM=8
763699	42	RESP=2
774501	42	STIM=u
778131	42	RESP=1
789737	42	STIM=v
796056	42	RESP=1
808041	42	STIM=a
813726	42	RESP=1
823666	42	STIM=u
827975	42	RESP=2
839937	42	STIM=f
849468	42	RESP=1
857470	42	STIM=t
868705	42	RESP=1
876356	42	STIM=k
879218	42	RESP=1
894323	42	STIM=i
898665	42	RESP=1
912276	42	STIM=j
915211	42	RESP=1
927381	42	STIM=9
931685	42	RESP=2
943431	42	STIM=j
950009	42	RESP=1
959143	42	STIM=x
963288	42	RESP=1
977449	42	STIM=h
980151	42	RESP=1
994803	42	STIM=h
1000916	42	RESP=1
1010658	42	STIM=w
1016543	42	RESP=1
1027394	42	STIM=m
1034018	42	RESP=1
1045090	42	STIM=m
1050504	42	RESP=1
1063416	42	STIM=a
1069299	42	RESP=1
1081963	42	STIM=j
