# Original filename: 0022_FJD_2016-10-19.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
35334	42	STIM=a
44409	42	RESP=1
53464	42	STIM=2
59131	42	RESP=2
71608	42	STIM=t
75319	42	RESP=1
88067	42	STIM=z
91075	42	RESP=1
104528	42	STIM=l
111108	42	RESP=1
121049	42	STIM=w
129122	42	RESP=1
136463	42	STIM=t
148344	42	RESP=1
154149	42	STIM=w
159652	42	RESP=1
169216	42	STIM=e
172187	42	RESP=1
185434	42	STIM=q
192495	42	RESP=1
200728	42	STIM=4
205988	42	RESP=2
217152	42	STIM=g
220067	42	RESP=1
232190	42	STIM=g
242089	42	RESP=1
248416	42	STIM=3
254276	42	RESP=2
267212	42	STIM=n
271266	42	RESP=1
283811	42	STIM=n
289058	42	RESP=1
299968	42	STIM=v
304542	42	RESP=1
318774	42	STIM=q
325504	42	RESP=1
335498	42	STIM=m
339237	42	RESP=1
352677	42	STIM=z
359041	42	RESP=1
371560	42	STIM=2
377644	42	RESP=2
388257	42	STIM=4
392564	42	RESP=2
404175	42	STIM=k
409003	42	RESP=1
420237	42	STIM=a
431893	42	RESP=1
437555	42	STIM=m
440934	42	RESP=1
452932	42	STIM=k
460330	42	RESP=1
469387	42	STIM=c
478117	42	RESP=1
486925	42	STIM=n
492150	42	RESP=1
504140	42	STIM=y
507790	42	RESP=1
520086	42	STIM=f
522567	42	RESP=1
536451	42	STIM=l
543394	42	RESP=1
554218	42	STIM=1
558522	42	RESP=2
569729	42	STIM=o
576968	42	RESP=1
586841	42	STIM=m
590478	42	RESP=1
602063	42	STIM=i
609211	42	RESP=1
621047	42	STIM=z
626028	42	RESP=1
637662	42	STIM=c
641370	42	RESP=1
654678	42	STIM=t
663331	42	RESP=1
672389	42	STIM=y
677780	42	RESP=1
690281	42	STIM=b
693938	42	RESP=1
708544	42	STIM=a
715637	42	RESP=1
727242	42	STIM=x
738809	42	RESP=2
743655	42	STIM=2
750777	42	RESP=2
760862	42	STIM=p
766388	42	RESP=1
775887	42	STIM=h
780120	42	RESP=1
793930	42	STIM=3
799304	42	RESP=2
810943	42	STIM=l
821154	42	RESP=1
827205	42	STIM=a
841741	42	RESP=1
845171	42	STIM=b
852619	42	RESP=1
862397	42	STIM=y
866215	42	RESP=1
878784	42	STIM=7
883042	42	RESP=2
896012	42	STIM=e
900286	42	RESP=1
913792	42	STIM=e
917987	42	RESP=1
929935	42	STIM=x
934286	42	RESP=1
944977	42	STIM=1
949488	42	RESP=2
960269	42	STIM=f
965583	42	RESP=1
977746	42	STIM=s
987756	42	RESP=1
994538	42	STIM=z
999065	42	RESP=1
1013065	42	STIM=h
1019792	42	RESP=1
1031745	42	STIM=f
1037056	42	RESP=2
1048605	42	STIM=5
1053606	42	RESP=1
1066297	42	STIM=h
1070617	42	RESP=1
