# Original filename: 0024_AEL_2016-11-24.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
36310	42	STIM=n
42833	42	RESP=1
51442	42	STIM=6
57161	42	RESP=2
68113	42	STIM=s
72156	42	RESP=1
85328	42	STIM=6
92113	42	RESP=1
101228	42	STIM=m
108705	42	RESP=1
118254	42	STIM=j
123196	42	RESP=1
133661	42	STIM=p
138403	42	RESP=1
151922	42	STIM=z
160364	42	RESP=1
167139	42	STIM=b
180397	42	RESP=1
183826	42	STIM=x
189241	42	RESP=1
201434	42	STIM=a
205190	42	RESP=1
218081	42	STIM=g
224303	42	RESP=1
235822	42	STIM=a
238914	42	RESP=1
254281	42	STIM=q
260687	42	RESP=1
271061	42	STIM=f
277518	42	RESP=1
289417	42	STIM=e
294315	42	RESP=1
305124	42	STIM=j
314549	42	RESP=1
322727	42	STIM=4
330117	42	RESP=1
339133	42	STIM=u
346214	42	RESP=1
354446	42	STIM=e
358331	42	RESP=1
372190	42	STIM=w
375803	42	RESP=1
390851	42	STIM=g
395602	42	RESP=1
405988	42	STIM=9
417131	42	RESP=2
423079	42	STIM=b
429096	42	RESP=1
440854	42	STIM=c
448052	42	RESP=1
456986	42	STIM=d
466979	42	RESP=1
474886	42	STIM=w
480593	42	RESP=1
492178	42	STIM=w
499836	42	RESP=1
509654	42	STIM=o
512694	42	RESP=2
528563	42	STIM=m
532643	42	RESP=1
543750	42	STIM=z
547307	42	RESP=1
559768	42	STIM=x
562741	42	RESP=1
578376	42	STIM=r
582089	42	RESP=1
594547	42	STIM=y
604043	42	RESP=1
610694	42	STIM=8
615225	42	RESP=2
629528	42	STIM=d
637355	42	RESP=1
647580	42	STIM=7
653471	42	RESP=2
666250	42	STIM=v
669859	42	RESP=1
681403	42	STIM=e
690146	42	RESP=1
699879	42	STIM=a
704152	42	RESP=1
716265	42	STIM=l
720540	42	RESP=1
735198	42	STIM=v
741114	42	RESP=1
751601	42	STIM=z
755007	42	RESP=1
768398	42	STIM=s
772289	42	RESP=1
786726	42	STIM=b
794564	42	RESP=1
803225	42	STIM=b
813745	42	RESP=2
821832	42	STIM=z
831652	42	RESP=1
838261	42	STIM=u
844512	42	RESP=1
855047	42	STIM=h
860155	42	RESP=1
873682	42	STIM=z
878276	42	RESP=1
890252	42	STIM=i
894246	42	RESP=2
906112	42	STIM=k
914013	42	RESP=1
921835	42	STIM=h
926387	42	RESP=1
940543	42	STIM=t
946156	42	RESP=1
958171	42	STIM=o
962656	42	RESP=1
974240	42	STIM=j
979407	42	RESP=1
992514	42	STIM=g
1007224	42	RESP=1
1010714	42	STIM=r
1013604	42	RESP=1
1026813	42	STIM=x
1031955	42	RESP=1
1045348	42	STIM=e
1058669	42	RESP=1
1060994	42	STIM=r
1066500	42	RESP=1
1077462	42	STIM=k
1084549	42	RESP=1
1093934	42	STIM=6
1098595	42	RESP=2
1112633	42	STIM=j
1117251	42	RESP=1
1129679	42	STIM=e
1136378	42	RESP=1
1147034	42	STIM=6
1152812	42	RESP=2
1162904	42	STIM=m
1168680	42	RESP=1
1180542	42	STIM=d
1184891	42	RESP=1
1198651	42	STIM=n
1202951	42	RESP=1
1214516	42	STIM=c
1218950	42	RESP=1
1231919	42	STIM=x
1238396	42	RESP=1
1248747	42	STIM=p
1254495	42	RESP=1
1267579	42	STIM=r
1274947	42	RESP=1
1284558	42	STIM=8
1288151	42	RESP=2
1301822	42	STIM=w
1309469	42	RESP=1
1317258	42	STIM=a
1323368	42	RESP=2
1334120	42	STIM=l
1342277	42	RESP=1
1349305	42	STIM=l
1356754	42	RESP=1
1364321	42	STIM=q
1370872	42	RESP=1
1381181	42	STIM=j
1385515	42	RESP=1
1397347	42	STIM=a
1402527	42	RESP=1
1414769	42	STIM=5
1423181	42	RESP=1
1431755	42	STIM=j
1435447	42	RESP=1
1449721	42	STIM=q
1458789	42	RESP=1
1464812	42	STIM=k
1468663	42	RESP=1
1483624	42	STIM=n
1489124	42	RESP=1
1499118	42	STIM=s
1505553	42	RESP=1
1515338	42	STIM=z
1524489	42	RESP=1
1534257	42	STIM=f
1540704	42	RESP=1
1551898	42	STIM=r
1557422	42	RESP=1
1568554	42	STIM=n
1573832	42	RESP=1
1583578	42	STIM=a
1586952	42	RESP=1
1599310	42	STIM=1
1606671	42	RESP=2
1614790	42	STIM=w
1622357	42	RESP=1
1630183	42	STIM=z
1637159	42	RESP=1
1645261	42	STIM=a
1655096	42	RESP=1
1660754	42	STIM=r
1667730	42	RESP=1
1678166	42	STIM=w
1682653	42	RESP=1
1695677	42	STIM=x
1702452	42	RESP=1
1714211	42	STIM=5
1722038	42	RESP=2
1731508	42	STIM=y
1739852	42	RESP=1
1747315	42	STIM=r
1757147	42	RESP=1
1764490	42	STIM=7
1768926	42	RESP=2
1779608	42	STIM=a
1788666	42	RESP=1
1796405	42	STIM=2
1802134	42	RESP=2
1814706	42	STIM=r
1821014	42	RESP=2
1832420	42	STIM=u
1838665	42	RESP=1
1848520	42	STIM=k
1852373	42	RESP=1
1863749	42	STIM=l
1868885	42	RESP=1
1879861	42	STIM=e
1887859	42	RESP=1
1895478	42	STIM=e
1899176	42	RESP=1
1912146	42	STIM=a
1915432	42	RESP=1
1927774	42	STIM=j
1934024	42	RESP=1
1944335	42	STIM=k
1950153	42	RESP=1
1962053	42	STIM=c
1966902	42	RESP=1
1979712	42	STIM=s
1984027	42	RESP=1
1996800	42	STIM=1
2003359	42	RESP=2
2014012	42	STIM=6
2020673	42	RESP=1
2032641	42	STIM=c
2040280	42	RESP=1
2051330	42	STIM=t
2054705	42	RESP=1
2067731	42	STIM=e
2071138	42	RESP=1
2085230	42	STIM=s
2090369	42	RESP=1
2102581	42	STIM=n
2106462	42	RESP=1
2119863	42	STIM=w
2127231	42	RESP=1
2137806	42	STIM=z
2144038	42	RESP=1
2154109	42	STIM=s
2157879	42	RESP=1
2171081	42	STIM=y
2175789	42	RESP=1
2187637	42	STIM=m
2192304	42	RESP=1
2203995	42	STIM=6
2210307	42	RESP=2
2222312	42	STIM=8
2229562	42	RESP=2
2240183	42	STIM=v
2246214	42	RESP=1
2255731	42	STIM=9
2263823	42	RESP=2
2272662	42	STIM=a
2275920	42	RESP=1
2290818	42	STIM=k
2295638	42	RESP=1
2307726	42	STIM=8
2314881	42	RESP=2
2323802	42	STIM=x
2329770	42	RESP=1
2341439	42	STIM=n
2345731	42	RESP=1
2357548	42	STIM=2
2363532	42	RESP=2
2372897	42	STIM=9
2379001	42	RESP=1
2389048	42	STIM=r
2396756	42	RESP=1
2407723	42	STIM=o
2414413	42	RESP=1
2423292	42	STIM=e
2430901	42	RESP=1
2440795	42	STIM=v
2445012	42	RESP=1
2457802	42	STIM=g
2464326	42	RESP=1
2473212	42	STIM=n
2480229	42	RESP=1
2489458	42	STIM=w
2494252	42	RESP=2
2504625	42	STIM=z
2509121	42	RESP=1
2523028	42	STIM=w
2533444	42	RESP=1
2541673	42	STIM=p
2546296	42	RESP=1
2558106	42	STIM=y
2562295	42	RESP=1
2577017	42	STIM=a
2579760	42	RESP=1
2593881	42	STIM=u
2605141	42	RESP=1
2610945	42	STIM=w
2616806	42	RESP=1
2626294	42	STIM=2
2630195	42	RESP=2
2642888	42	STIM=1
2646991	42	RESP=2
2659528	42	STIM=x
2662202	42	RESP=1
2674826	42	STIM=e
2681819	42	RESP=1
2693426	42	STIM=t
2700773	42	RESP=1
2708806	42	STIM=h
2712837	42	RESP=1
2726489	42	STIM=z
2730965	42	RESP=1
2743401	42	STIM=r
