# Original filename: 0026_XKU_2016-10-21.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
36077	42	STIM=m
42752	42	RESP=1
52752	42	STIM=4
58351	42	RESP=2
71503	42	STIM=u
75051	42	RESP=1
87504	42	STIM=s
93490	42	RESP=1
103772	42	STIM=i
108132	42	RESP=1
122637	42	STIM=y
128553	42	RESP=1
141288	42	STIM=0
145938	42	RESP=2
156914	42	STIM=r
160883	42	RESP=1
173985	42	STIM=j
180917	42	RESP=1
192359	42	STIM=s
199546	42	RESP=1
207513	42	STIM=o
210253	42	RESP=1
224936	42	STIM=k
230701	42	RESP=1
240876	42	STIM=o
249608	42	RESP=1
257612	42	STIM=f
261187	42	RESP=1
272936	42	STIM=2
282573	42	RESP=2
290249	42	STIM=q
296918	42	RESP=1
306417	42	STIM=r
311583	42	RESP=1
322959	42	STIM=k
331505	42	RESP=1
338958	42	STIM=w
343085	42	RESP=1
356408	42	STIM=n
361804	42	RESP=1
374955	42	STIM=j
389461	42	RESP=1
392683	42	STIM=w
403899	42	RESP=1
410364	42	STIM=1
418539	42	RESP=1
426222	42	STIM=u
429997	42	RESP=1
444588	42	STIM=e
448191	42	RESP=2
460279	42	STIM=r
464460	42	RESP=1
477722	42	STIM=y
481623	42	RESP=1
492819	42	STIM=1
499933	42	RESP=2
508427	42	STIM=q
513627	42	RESP=1
525899	42	STIM=h
535359	42	RESP=1
542795	42	STIM=l
547413	42	RESP=1
559425	42	STIM=0
563966	42	RESP=2
574846	42	STIM=x
591861	42	RESP=1
591961	42	STIM=b
600113	42	RESP=1
610559	42	STIM=m
614428	42	RESP=1
626032	42	STIM=r
630862	42	RESP=1
643398	42	STIM=d
648972	42	RESP=1
662332	42	STIM=y
668716	42	RESP=1
678052	42	STIM=z
682726	42	RESP=1
696361	42	STIM=8
701912	42	RESP=2
713872	42	STIM=u
719333	42	RESP=1
732716	42	STIM=c
736003	42	RESP=1
748055	42	STIM=u
755209	42	RESP=1
765931	42	STIM=g
772208	42	RESP=1
781567	42	STIM=y
784991	42	RESP=1
800544	42	STIM=a
805539	42	RESP=1
817901	42	STIM=6
831210	42	RESP=2
835637	42	STIM=l
841486	42	RESP=1
851409	42	STIM=s
860144	42	RESP=1
867261	42	STIM=k
871871	42	RESP=1
885642	42	STIM=u
896338	42	RESP=1
903701	42	STIM=e
910307	42	RESP=1
922439	42	STIM=8
929484	42	RESP=2
938961	42	STIM=w
942840	42	RESP=1
954239	42	STIM=h
959591	42	RESP=1
971828	42	STIM=m
977499	42	RESP=1
988759	42	STIM=z
994168	42	RESP=2
1007350	42	STIM=i
1011747	42	RESP=1
1023922	42	STIM=c
1030396	42	RESP=1
1039474	42	STIM=j
1044946	42	RESP=1
1054585	42	STIM=d
1058780	42	RESP=1
1071159	42	STIM=s
1075971	42	RESP=1
1086812	42	STIM=q
1095121	42	RESP=1
1102578	42	STIM=l
1108490	42	RESP=1
1120110	42	STIM=t
1125070	42	RESP=1
1135609	42	STIM=9
1143870	42	RESP=2
1152434	42	STIM=t
1160913	42	RESP=1
1171264	42	STIM=w
1174506	42	RESP=1
1189897	42	STIM=7
1194808	42	RESP=2
1205670	42	STIM=l
1211176	42	RESP=1
1220692	42	STIM=e
1224144	42	RESP=1
1239198	42	STIM=f
1247088	42	RESP=1
1255984	42	STIM=h
1261730	42	RESP=1
1271674	42	STIM=0
1291603	42	RESP=1
1291703	42	STIM=e
1304203	42	RESP=1
1308070	42	STIM=n
1316056	42	RESP=1
1324983	42	STIM=g
1329825	42	RESP=1
1341038	42	STIM=g
1345018	42	RESP=1
1357697	42	STIM=i
1366768	42	RESP=1
1375435	42	STIM=s
1381588	42	RESP=1
1391008	42	STIM=a
1394701	42	RESP=1
1408490	42	STIM=8
1417355	42	RESP=2
1426459	42	STIM=e
1433162	42	RESP=1
1442359	42	STIM=c
1446890	42	RESP=1
1457891	42	STIM=5
1465492	42	RESP=1
1475015	42	STIM=d
1478962	42	RESP=1
1490978	42	STIM=i
1499334	42	RESP=1
1506693	42	STIM=e
1513283	42	RESP=1
1522716	42	STIM=l
1527096	42	RESP=1
1538772	42	STIM=k
1544616	42	RESP=2
1556916	42	STIM=u
1566539	42	RESP=1
1572692	42	STIM=w
1577020	42	RESP=1
1590695	42	STIM=2
1600684	42	RESP=1
1607140	42	STIM=l
1614720	42	RESP=1
1624723	42	STIM=p
1627807	42	RESP=1
1642967	42	STIM=j
1646955	42	RESP=1
1658420	42	STIM=l
1661835	42	RESP=1
1677256	42	STIM=a
1683038	42	RESP=1
1696168	42	STIM=5
1701784	42	RESP=2
1714374	42	STIM=o
1717382	42	RESP=1
1730527	42	STIM=x
1734244	42	RESP=1
1748862	42	STIM=5
1754424	42	RESP=2
1765207	42	STIM=3
1773106	42	RESP=2
1782598	42	STIM=e
1789512	42	RESP=1
1798960	42	STIM=m
1804980	42	RESP=1
1814896	42	STIM=7
1821596	42	RESP=2
1832911	42	STIM=e
1837672	42	RESP=1
1848495	42	STIM=c
1854201	42	RESP=1
1863698	42	STIM=w
1869459	42	RESP=1
1880832	42	STIM=v
1889261	42	RESP=1
1898565	42	STIM=y
1902885	42	RESP=1
1914277	42	STIM=y
1921735	42	RESP=1
1931843	42	STIM=1
1942886	42	RESP=1
1948542	42	STIM=x
1955547	42	RESP=2
1964766	42	STIM=j
1970371	42	RESP=1
1981600	42	STIM=r
1991098	42	RESP=1
1998701	42	STIM=s
2001361	42	RESP=1
2016152	42	STIM=x
2020577	42	RESP=2
2032254	42	STIM=f
2035771	42	RESP=1
2050010	42	STIM=o
2054170	42	RESP=1
2067715	42	STIM=7
2073353	42	RESP=2
2083866	42	STIM=y
2089434	42	RESP=1
2099081	42	STIM=c
2103919	42	RESP=1
2115388	42	STIM=d
2118183	42	RESP=1
2133796	42	STIM=z
2139528	42	RESP=1
2148874	42	STIM=b
2155156	42	RESP=1
2166375	42	STIM=m
2174939	42	RESP=1
2184964	42	STIM=i
2191045	42	RESP=1
2201893	42	STIM=d
2210188	42	RESP=1
2218941	42	STIM=m
2221843	42	RESP=1
2235517	42	STIM=j
2240466	42	RESP=1
2252696	42	STIM=j
2258338	42	RESP=1
2268599	42	STIM=b
2271849	42	RESP=1
2286263	42	STIM=h
2292048	42	RESP=1
2301345	42	STIM=r
2306045	42	RESP=1
2316634	42	STIM=e
2321779	42	RESP=1
2333965	42	STIM=p
2341132	42	RESP=1
2349235	42	STIM=6
2356107	42	RESP=2
2367142	42	STIM=r
2373840	42	RESP=1
2383548	42	STIM=m
2386828	42	RESP=1
2399305	42	STIM=7
2404530	42	RESP=2
2417149	42	STIM=6
2423834	42	RESP=2
2434729	42	STIM=6
2440345	42	RESP=2
2452022	42	STIM=c
2458017	42	RESP=1
2468730	42	STIM=n
2476062	42	RESP=1
2484178	42	STIM=i
2490423	42	RESP=1
2499680	42	STIM=k
2507885	42	RESP=2
2517494	42	STIM=u
2522991	42	RESP=1
2535586	42	STIM=0
2542058	42	RESP=2
2551447	42	STIM=9
2556425	42	RESP=2
2568251	42	STIM=n
2576246	42	RESP=1
2583636	42	STIM=h
2589842	42	RESP=1
2601935	42	STIM=1
2606829	42	RESP=2
2619211	42	STIM=p
2625208	42	RESP=2
2637209	42	STIM=b
2643889	42	RESP=1
2653520	42	STIM=z
2662742	42	RESP=1
2669221	42	STIM=c
2674826	42	RESP=1
2684703	42	STIM=c
2689605	42	RESP=1
2703094	42	STIM=x
2708167	42	RESP=1
2719947	42	STIM=p
2726741	42	RESP=2
2737782	42	STIM=9
2745868	42	RESP=1
2753996	42	STIM=u
2758407	42	RESP=1
2769009	42	STIM=k
2775153	42	RESP=1
2786330	42	STIM=w
2791759	42	RESP=1
2804683	42	STIM=j
2811704	42	RESP=1
2819808	42	STIM=i
2823305	42	RESP=1
2837905	42	STIM=v
2841167	42	RESP=1
2854333	42	STIM=n
2858779	42	RESP=1
2872956	42	STIM=v
2878329	42	RESP=1
2888269	42	STIM=5
2895240	42	RESP=1
2903659	42	STIM=h
2908654	42	RESP=1
2919319	42	STIM=d
2926573	42	RESP=1
2936171	42	STIM=5
2946978	42	RESP=2
2954466	42	STIM=a
2959609	42	RESP=1
2971629	42	STIM=d
2976936	42	RESP=1
2989689	42	STIM=4
2997284	42	RESP=2
3006441	42	STIM=u
3015706	42	RESP=1
3023045	42	STIM=m
3028140	42	RESP=1
3040623	42	STIM=y
3045572	42	RESP=1
3057252	42	STIM=6
3063846	42	RESP=2
3074308	42	STIM=2
3083014	42	RESP=2
3091952	42	STIM=n
3099097	42	RESP=1
3108802	42	STIM=k
3113886	42	RESP=1
3126376	42	STIM=3
3135885	42	RESP=2
3143602	42	STIM=4
3150898	42	RESP=2
3162000	42	STIM=h
3168994	42	RESP=1
3178434	42	STIM=g
3183772	42	RESP=1
3197355	42	STIM=g
3201853	42	RESP=1
3213510	42	STIM=r
3217329	42	RESP=1
3228917	42	STIM=z
3232006	42	RESP=1
3245804	42	STIM=p
