# Original filename: 0027_PSI_2017-08-03.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
35928	42	STIM=1
40240	42	RESP=2
54815	42	STIM=4
59225	42	RESP=2
71226	42	STIM=p
73888	42	RESP=1
90065	42	STIM=v
96015	42	RESP=1
107929	42	STIM=e
113235	42	RESP=1
124572	42	STIM=t
128423	42	RESP=1
143198	42	STIM=h
150853	42	RESP=1
159154	42	STIM=x
164487	42	RESP=1
175818	42	STIM=q
179747	42	RESP=1
194715	42	STIM=f
201406	42	RESP=1
210681	42	STIM=h
217155	42	RESP=1
226749	42	STIM=u
231831	42	RESP=1
244292	42	STIM=a
248258	42	RESP=1
262269	42	STIM=j
265895	42	RESP=1
279016	42	STIM=u
284096	42	RESP=1
295802	42	STIM=c
301978	42	RESP=1
314748	42	STIM=a
317587	42	RESP=1
332541	42	STIM=c
338206	42	RESP=1
350376	42	STIM=g
355335	42	RESP=1
368453	42	STIM=w
373108	42	RESP=1
387319	42	STIM=1
392623	42	RESP=2
403458	42	STIM=m
408956	42	RESP=1
420502	42	STIM=9
426517	42	RESP=2
436577	42	STIM=d
439607	42	RESP=1
453064	42	STIM=j
456962	42	RESP=1
468276	42	STIM=x
471988	42	RESP=1
483318	42	STIM=5
490475	42	RESP=2
501613	42	STIM=1
507141	42	RESP=2
517858	42	STIM=d
522245	42	RESP=1
535224	42	STIM=f
538183	42	RESP=1
550238	42	STIM=y
556935	42	RESP=2
566362	42	STIM=c
569723	42	RESP=1
582654	42	STIM=g
585864	42	RESP=2
598802	42	STIM=3
602550	42	RESP=1
616710	42	STIM=n
622220	42	RESP=1
632786	42	STIM=2
637594	42	RESP=2
651485	42	STIM=1
655652	42	RESP=2
668958	42	STIM=x
673046	42	RESP=1
683978	42	STIM=b
690677	42	RESP=1
702847	42	STIM=8
706020	42	RESP=2
721632	42	STIM=o
726150	42	RESP=1
738921	42	STIM=7
746336	42	RESP=2
754568	42	STIM=u
758876	42	RESP=1
773039	42	STIM=h
775947	42	RESP=1
791985	42	STIM=j
796491	42	RESP=1
808765	42	STIM=d
813170	42	RESP=1
825501	42	STIM=j
831582	42	RESP=1
843262	42	STIM=v
847382	42	RESP=1
862122	42	STIM=b
866167	42	RESP=1
880558	42	STIM=j
885100	42	RESP=1
897822	42	STIM=7
903400	42	RESP=2
916540	42	STIM=s
921426	42	RESP=1
934752	42	STIM=o
937841	42	RESP=1
950518	42	STIM=1
960281	42	RESP=2
969183	42	STIM=a
975908	42	RESP=1
986357	42	STIM=v
989962	42	RESP=1
1002412	42	STIM=e
1005088	42	RESP=1
1018261	42	STIM=a
1021554	42	RESP=1
1036048	42	STIM=f
1039106	42	RESP=1
1052698	42	STIM=l
1060626	42	RESP=1
1070521	42	STIM=s
1074949	42	RESP=1
1085936	42	STIM=g
1091103	42	RESP=1
1103702	42	STIM=q
1109330	42	RESP=1
1118864	42	STIM=l
1123627	42	RESP=1
1135070	42	STIM=2
1138688	42	RESP=2
1150882	42	STIM=r
1153961	42	RESP=1
1168250	42	STIM=2
1171839	42	RESP=2
1186154	42	STIM=m
1190136	42	RESP=1
1204838	42	STIM=w
1208417	42	RESP=1
1220626	42	STIM=c
1223854	42	RESP=1
1237399	42	STIM=y
1242320	42	RESP=1
1253180	42	STIM=j
1260189	42	RESP=1
1271038	42	STIM=p
1275261	42	RESP=1
1286795	42	STIM=x
1289815	42	RESP=1
1305135	42	STIM=v
1309699	42	RESP=1
1322610	42	STIM=s
1327190	42	RESP=1
1340580	42	STIM=q
1345137	42	RESP=1
1358282	42	STIM=w
1362153	42	RESP=1
1373969	42	STIM=f
1378748	42	RESP=2
1392627	42	STIM=y
1396626	42	RESP=1
1409722	42	STIM=j
1415512	42	RESP=1
1428077	42	STIM=y
1431864	42	RESP=1
1443156	42	STIM=r
1448955	42	RESP=1
1459952	42	STIM=p
1464799	42	RESP=1
1475546	42	STIM=4
1481438	42	RESP=1
1493470	42	STIM=a
1497922	42	RESP=1
1509453	42	STIM=p
1513674	42	RESP=1
1528443	42	STIM=r
1533675	42	RESP=1
1547430	42	STIM=7
1553795	42	RESP=2
1565293	42	STIM=a
1568683	42	RESP=1
1583282	42	STIM=1
1588619	42	RESP=2
1599389	42	STIM=l
1603329	42	RESP=1
1617361	42	STIM=x
1621764	42	RESP=1
1634796	42	STIM=x
1640728	42	RESP=1
1650493	42	STIM=p
1654091	42	RESP=1
1668336	42	STIM=s
1674485	42	RESP=1
1686055	42	STIM=u
1692077	42	RESP=1
1704383	42	STIM=q
1711011	42	RESP=1
1721058	42	STIM=e
