# Original filename: 0028_UYO_2017-04-18.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38357	42	STIM=f
45313	42	RESP=1
55420	42	STIM=b
59762	42	RESP=1
70965	42	STIM=t
79060	42	RESP=1
87335	42	STIM=t
93830	42	RESP=1
106245	42	STIM=s
118232	42	RESP=1
121847	42	STIM=x
128006	42	RESP=1
139073	42	STIM=z
146003	42	RESP=1
155305	42	STIM=f
164517	42	RESP=1
173364	42	STIM=g
180306	42	RESP=1
191915	42	STIM=g
199876	42	RESP=1
210254	42	STIM=0
218441	42	RESP=2
228864	42	STIM=s
234748	42	RESP=1
245862	42	STIM=9
256444	42	RESP=2
261451	42	STIM=l
266233	42	RESP=1
276863	42	STIM=w
282754	42	RESP=1
292914	42	STIM=p
298002	42	RESP=1
308722	42	STIM=q
315393	42	RESP=1
324564	42	STIM=7
329347	42	RESP=2
341857	42	STIM=6
349694	42	RESP=2
359814	42	STIM=w
363641	42	RESP=1
375595	42	STIM=z
381912	42	RESP=1
392519	42	STIM=v
398705	42	RESP=1
407854	42	STIM=b
412770	42	RESP=1
424816	42	STIM=b
428766	42	RESP=1
440676	42	STIM=z
449218	42	RESP=1
457907	42	STIM=q
463081	42	RESP=1
476798	42	STIM=m
481445	42	RESP=1
493639	42	STIM=n
499715	42	RESP=1
511170	42	STIM=4
516144	42	RESP=2
529465	42	STIM=6
533646	42	RESP=2
547551	42	STIM=x
551053	42	RESP=1
565704	42	STIM=p
569239	42	RESP=1
581048	42	STIM=q
584573	42	RESP=1
598627	42	STIM=t
603944	42	RESP=1
613875	42	STIM=g
624968	42	RESP=1
630382	42	STIM=o
637586	42	RESP=1
647322	42	STIM=j
654310	42	RESP=1
664800	42	STIM=r
669650	42	RESP=1
680933	42	STIM=f
686723	42	RESP=1
698399	42	STIM=y
700943	42	RESP=1
717228	42	STIM=1
724343	42	RESP=2
735466	42	STIM=y
743532	42	RESP=1
753628	42	STIM=t
756536	42	RESP=2
771973	42	STIM=a
780729	42	RESP=1
788932	42	STIM=d
796134	42	RESP=1
804868	42	STIM=o
808785	42	RESP=1
821270	42	STIM=0
826515	42	RESP=2
838071	42	STIM=o
842141	42	RESP=1
856868	42	STIM=b
863292	42	RESP=1
874935	42	STIM=z
882773	42	RESP=1
890098	42	STIM=o
894491	42	RESP=1
909053	42	STIM=9
917357	42	RESP=2
927237	42	STIM=0
934304	42	RESP=2
945355	42	STIM=2
953797	42	RESP=1
962847	42	STIM=f
970466	42	RESP=1
979499	42	STIM=t
986278	42	RESP=1
998019	42	STIM=3
1003845	42	RESP=2
1013923	42	STIM=k
1018208	42	RESP=1
1030187	42	STIM=l
1038548	42	RESP=1
1047869	42	STIM=g
1054639	42	RESP=1
1066821	42	STIM=8
1076231	42	RESP=2
1085791	42	STIM=m
1088859	42	RESP=1
1101713	42	STIM=s
1112631	42	RESP=1
1117987	42	STIM=0
1124695	42	RESP=1
1136184	42	STIM=a
1142475	42	RESP=1
1151441	42	STIM=p
1156220	42	RESP=1
1168458	42	STIM=g
1172091	42	RESP=1
1184699	42	STIM=i
1192318	42	RESP=1
1201514	42	STIM=m
1206903	42	RESP=2
1218146	42	STIM=p
1221040	42	RESP=1
1235952	42	STIM=k
1239890	42	RESP=1
1251848	42	STIM=h
1257838	42	RESP=1
1269224	42	STIM=g
1279264	42	RESP=1
1285052	42	STIM=y
1288164	42	RESP=1
1302250	42	STIM=k
1307140	42	RESP=1
1320466	42	STIM=z
1324065	42	RESP=1
1335758	42	STIM=t
1344353	42	RESP=1
1351952	42	STIM=d
1355005	42	RESP=1
1368553	42	STIM=q
1373585	42	RESP=1
1386274	42	STIM=c
1391524	42	RESP=1
1402766	42	STIM=8
1409073	42	RESP=2
1418084	42	STIM=e
1423461	42	RESP=1
1433248	42	STIM=m
1437228	42	RESP=1
1448277	42	STIM=6
1453531	42	RESP=2
1463832	42	STIM=7
1469667	42	RESP=2
1479250	42	STIM=8
1488020	42	RESP=2
1495358	42	STIM=n
1502553	42	RESP=1
1510379	42	STIM=z
1514697	42	RESP=1
1529359	42	STIM=x
1534947	42	RESP=1
1547504	42	STIM=q
1552816	42	RESP=1
1565956	42	STIM=d
