# Original filename: 0029_QGU_2017-08-18.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
35919	42	STIM=f
40149	42	RESP=2
50988	42	STIM=j
61374	42	RESP=1
67459	42	STIM=s
74676	42	RESP=1
85492	42	STIM=s
90062	42	RESP=1
104418	42	STIM=x
108552	42	RESP=1
120857	42	STIM=3
127258	42	RESP=2
136889	42	STIM=6
141893	42	RESP=1
155075	42	STIM=7
164040	42	RESP=2
172887	42	STIM=x
181824	42	RESP=1
190097	42	STIM=z
197525	42	RESP=1
208157	42	STIM=o
212092	42	RESP=1
224982	42	STIM=c
228334	42	RESP=1
241826	42	STIM=c
246481	42	RESP=1
258433	42	STIM=9
268590	42	RESP=1
274542	42	STIM=p
278978	42	RESP=1
289848	42	STIM=c
292747	42	RESP=1
306765	42	STIM=3
314491	42	RESP=2
321954	42	STIM=h
326548	42	RESP=1
340714	42	STIM=6
344702	42	RESP=2
358729	42	STIM=0
367759	42	RESP=2
374674	42	STIM=6
381112	42	RESP=2
391162	42	STIM=f
394532	42	RESP=1
408574	42	STIM=9
417779	42	RESP=2
425470	42	STIM=4
432707	42	RESP=2
443283	42	STIM=y
447922	42	RESP=1
459366	42	STIM=5
463555	42	RESP=2
475301	42	STIM=v
482160	42	RESP=1
490999	42	STIM=n
499621	42	RESP=1
506147	42	STIM=q
509952	42	RESP=1
521492	42	STIM=t
528374	42	RESP=1
538802	42	STIM=9
549947	42	RESP=2
556537	42	STIM=k
562587	42	RESP=1
572612	42	STIM=m
576790	42	RESP=1
588122	42	STIM=4
595185	42	RESP=2
604403	42	STIM=l
609809	42	RESP=1
620172	42	STIM=h
623439	42	RESP=1
635555	42	STIM=x
642101	42	RESP=1
651833	42	STIM=g
656725	42	RESP=1
667435	42	STIM=p
672627	42	RESP=1
684222	42	STIM=n
687845	42	RESP=1
701519	42	STIM=u
705722	42	RESP=1
718132	42	STIM=l
722831	42	RESP=1
734633	42	STIM=u
738314	42	RESP=1
753437	42	STIM=d
766931	42	RESP=1
772045	42	STIM=o
778564	42	RESP=2
788429	42	STIM=w
792304	42	RESP=1
803521	42	STIM=h
810022	42	RESP=1
818784	42	STIM=z
827802	42	RESP=1
836010	42	STIM=y
842922	42	RESP=1
854732	42	STIM=t
858546	42	RESP=1
871874	42	STIM=g
879158	42	RESP=1
889661	42	STIM=u
901319	42	RESP=1
907883	42	STIM=o
911609	42	RESP=1
926240	42	STIM=u
934366	42	RESP=1
943216	42	STIM=f
948545	42	RESP=1
959669	42	STIM=3
966387	42	RESP=2
978332	42	STIM=s
981672	42	RESP=1
994770	42	STIM=g
998002	42	RESP=2
1010671	42	STIM=e
1015328	42	RESP=1
1029523	42	STIM=z
1036621	42	RESP=1
1047363	42	STIM=l
1051708	42	RESP=2
1065140	42	STIM=j
1070783	42	RESP=1
1083033	42	STIM=6
1088750	42	RESP=1
1099261	42	STIM=h
1102850	42	RESP=1
1114669	42	STIM=y
1118436	42	RESP=1
1132799	42	STIM=u
1144675	42	RESP=1
1150999	42	STIM=2
1159497	42	RESP=2
1168439	42	STIM=q
1174232	42	RESP=2
1183778	42	STIM=0
1188838	42	RESP=2
1199457	42	STIM=j
1203442	42	RESP=1
1218343	42	STIM=e
1224605	42	RESP=1
1235932	42	STIM=t
1240584	42	RESP=1
1251438	42	STIM=l
1256764	42	RESP=1
1268307	42	STIM=g
1275717	42	RESP=1
1283631	42	STIM=v
1294623	42	RESP=1
1300657	42	STIM=s
1304942	42	RESP=1
1317325	42	STIM=z
1323961	42	RESP=1
1332984	42	STIM=f
1339792	42	RESP=1
1348253	42	STIM=w
1359996	42	RESP=1
1367024	42	STIM=w
1376335	42	RESP=1
1383544	42	STIM=a
1389047	42	RESP=1
1401044	42	STIM=p
1405888	42	RESP=1
1419855	42	STIM=7
1427619	42	RESP=1
1438573	42	STIM=r
1448024	42	RESP=1
1454278	42	STIM=3
1460461	42	RESP=2
1472964	42	STIM=x
1484143	42	RESP=1
1490689	42	STIM=r
1496712	42	RESP=1
1508863	42	STIM=0
1513769	42	RESP=2
1527500	42	STIM=3
1534587	42	RESP=1
1543557	42	STIM=s
1550932	42	RESP=1
1559432	42	STIM=o
1565086	42	RESP=1
1577088	42	STIM=r
1582224	42	RESP=1
1593919	42	STIM=g
1601126	42	RESP=1
