# Original filename: 0030_PJY_2017-01-20.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38074	42	STIM=3
42306	42	RESP=1
55129	42	STIM=t
62233	42	RESP=1
71594	42	STIM=z
75079	42	RESP=1
90310	42	STIM=h
95031	42	RESP=1
108329	42	STIM=g
111539	42	RESP=1
125956	42	STIM=d
130476	42	RESP=1
144426	42	STIM=g
147798	42	RESP=1
161399	42	STIM=y
165140	42	RESP=1
178895	42	STIM=f
185353	42	RESP=1
195684	42	STIM=u
199630	42	RESP=1
211879	42	STIM=x
215053	42	RESP=1
227465	42	STIM=n
229813	42	RESP=1
243365	42	STIM=t
247675	42	RESP=1
261522	42	STIM=5
267152	42	RESP=2
279792	42	STIM=7
283518	42	RESP=2
295330	42	STIM=m
300051	42	RESP=1
313181	42	STIM=j
317608	42	RESP=1
331288	42	STIM=g
338420	42	RESP=1
350056	42	STIM=o
357171	42	RESP=1
365282	42	STIM=v
370084	42	RESP=1
380970	42	STIM=b
384950	42	RESP=1
398286	42	STIM=a
401119	42	RESP=1
415958	42	STIM=7
420088	42	RESP=2
434143	42	STIM=k
439185	42	RESP=1
450065	42	STIM=x
456667	42	RESP=1
467527	42	STIM=q
473985	42	RESP=2
486349	42	STIM=b
491663	42	RESP=1
504982	42	STIM=g
512892	42	RESP=1
523374	42	STIM=c
530470	42	RESP=1
538864	42	STIM=f
544282	42	RESP=1
554303	42	STIM=a
557731	42	RESP=1
571288	42	STIM=j
574692	42	RESP=1
587018	42	STIM=d
593414	42	RESP=1
603180	42	STIM=t
608594	42	RESP=1
620210	42	STIM=l
627721	42	RESP=1
635998	42	STIM=8
643338	42	RESP=2
652172	42	STIM=i
657353	42	RESP=1
668626	42	STIM=s
673580	42	RESP=1
686156	42	STIM=b
692068	42	RESP=1
702474	42	STIM=k
705373	42	RESP=1
719201	42	STIM=w
723300	42	RESP=1
736689	42	STIM=z
739353	42	RESP=1
753340	42	STIM=y
758041	42	RESP=1
770343	42	STIM=m
775244	42	RESP=1
785679	42	STIM=s
788757	42	RESP=1
803962	42	STIM=h
809858	42	RESP=1
819375	42	STIM=i
832361	42	RESP=1
836136	42	STIM=t
840034	42	RESP=1
851399	42	STIM=3
858068	42	RESP=2
869486	42	STIM=j
876050	42	RESP=1
887800	42	STIM=e
891685	42	RESP=1
904583	42	STIM=t
908758	42	RESP=1
922264	42	STIM=a
927014	42	RESP=1
937771	42	STIM=j
945447	42	RESP=1
954563	42	STIM=e
957618	42	RESP=1
969807	42	STIM=u
975435	42	RESP=1
987174	42	STIM=v
991412	42	RESP=1
1002806	42	STIM=w
1007397	42	RESP=1
1020444	42	STIM=k
1024913	42	RESP=1
1038767	42	STIM=p
1041783	42	RESP=2
1057254	42	STIM=2
1062414	42	RESP=2
1073157	42	STIM=u
1077554	42	RESP=1
1089004	42	STIM=0
1094634	42	RESP=2
1107637	42	STIM=h
1113279	42	RESP=1
1124855	42	STIM=h
1127852	42	RESP=1
1142000	42	STIM=t
1146189	42	RESP=1
1159522	42	STIM=m
1163995	42	RESP=1
1176954	42	STIM=a
1181278	42	RESP=1
1192931	42	STIM=z
1197352	42	RESP=1
1209895	42	STIM=k
1216747	42	RESP=1
1225867	42	STIM=r
1230965	42	RESP=1
1242792	42	STIM=i
1250228	42	RESP=1
1258385	42	STIM=q
1266493	42	RESP=1
1276949	42	STIM=g
1280877	42	RESP=1
1293003	42	STIM=j
1297813	42	RESP=1
1310302	42	STIM=h
1314236	42	RESP=1
1326045	42	STIM=s
1333027	42	RESP=1
1345005	42	STIM=1
1350585	42	RESP=2
1360954	42	STIM=a
1367256	42	RESP=2
1379635	42	STIM=y
1383604	42	RESP=1
1395355	42	STIM=l
1403887	42	RESP=1
1413979	42	STIM=b
1418354	42	RESP=1
1431094	42	STIM=h
1434722	42	RESP=1
1450083	42	STIM=a
1453583	42	RESP=1
1467158	42	STIM=0
1471380	42	RESP=2
1486152	42	STIM=6
1490444	42	RESP=2
1501551	42	STIM=q
1507794	42	RESP=1
1519317	42	STIM=g
1525474	42	RESP=1
1537511	42	STIM=x
1540918	42	RESP=1
1553229	42	STIM=y
1556840	42	RESP=1
1572192	42	STIM=w
1580990	42	RESP=1
1590832	42	STIM=0
1597002	42	RESP=2
1609095	42	STIM=h
1617524	42	RESP=1
1624247	42	STIM=7
1629912	42	RESP=2
1639835	42	STIM=x
1644888	42	RESP=1
1658528	42	STIM=6
1669781	42	RESP=2
1674417	42	STIM=b
1678705	42	RESP=1
1692528	42	STIM=q
1698179	42	RESP=1
1710704	42	STIM=g
1714798	42	RESP=1
1727263	42	STIM=i
1732848	42	RESP=1
1745493	42	STIM=b
1748618	42	RESP=1
1760798	42	STIM=p
1764923	42	RESP=1
1778244	42	STIM=7
1785406	42	RESP=2
1794619	42	STIM=g
1798807	42	RESP=1
1812245	42	STIM=c
1815564	42	RESP=1
1828536	42	STIM=s
1832182	42	RESP=1
1846480	42	STIM=0
1852185	42	RESP=2
1862265	42	STIM=y
1865514	42	RESP=1
1878957	42	STIM=3
1883457	42	RESP=2
1894214	42	STIM=d
1897691	42	RESP=1
1912723	42	STIM=e
1916685	42	RESP=1
1928961	42	STIM=h
1936121	42	RESP=1
1947014	42	STIM=7
1954729	42	RESP=2
1963510	42	STIM=i
1966453	42	RESP=1
1980320	42	STIM=t
1984991	42	RESP=2
1995773	42	STIM=2
2003188	42	RESP=2
2011352	42	STIM=u
2018455	42	RESP=1
2026578	42	STIM=o
2032624	42	RESP=1
2043844	42	STIM=d
2048223	42	RESP=1
2061836	42	STIM=z
2065782	42	RESP=1
2080332	42	STIM=g
2087157	42	RESP=1
2096491	42	STIM=6
2106659	42	RESP=2
2112515	42	STIM=d
2119231	42	RESP=1
2129577	42	STIM=8
2135705	42	RESP=2
2148157	42	STIM=o
2153673	42	RESP=1
2163367	42	STIM=s
2168557	42	RESP=1
2182293	42	STIM=o
2185753	42	RESP=1
2199274	42	STIM=0
2204606	42	RESP=2
2215729	42	STIM=g
2220705	42	RESP=1
2233981	42	STIM=b
2238437	42	RESP=1
2250364	42	STIM=w
2256705	42	RESP=1
2267798	42	STIM=f
2272588	42	RESP=1
2285668	42	STIM=a
