# Original filename: 0031_VGK_2017-07-24.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
35238	42	STIM=s
39778	42	RESP=2
51831	42	STIM=0
58741	42	RESP=2
68713	42	STIM=v
77259	42	RESP=1
83949	42	STIM=n
88129	42	RESP=1
99771	42	STIM=d
104955	42	RESP=1
117762	42	STIM=m
124596	42	RESP=1
136703	42	STIM=u
143552	42	RESP=1
153767	42	STIM=s
157966	42	RESP=1
171279	42	STIM=u
177039	42	RESP=1
188600	42	STIM=e
193039	42	RESP=1
206390	42	STIM=x
212246	42	RESP=1
225185	42	STIM=t
229175	42	RESP=1
243251	42	STIM=k
250059	42	RESP=1
258361	42	STIM=r
261931	42	RESP=1
273846	42	STIM=s
277592	42	RESP=1
292755	42	STIM=t
298650	42	RESP=2
309659	42	STIM=k
316293	42	RESP=1
325610	42	STIM=p
331004	42	RESP=1
343138	42	STIM=y
348147	42	RESP=1
361084	42	STIM=z
366735	42	RESP=1
376669	42	STIM=d
380793	42	RESP=1
393893	42	STIM=i
400437	42	RESP=1
411411	42	STIM=j
415300	42	RESP=1
426426	42	STIM=w
437692	42	RESP=1
442049	42	STIM=w
444605	42	RESP=1
457485	42	STIM=t
464452	42	RESP=1
473421	42	STIM=o
476223	42	RESP=1
489861	42	STIM=2
496925	42	RESP=2
507740	42	STIM=l
512131	42	RESP=1
523606	42	STIM=f
533833	42	RESP=1
540284	42	STIM=q
544347	42	RESP=1
559188	42	STIM=7
566515	42	RESP=2
575670	42	STIM=g
578965	42	RESP=1
593413	42	STIM=y
596837	42	RESP=1
611243	42	STIM=h
619537	42	RESP=1
629316	42	STIM=p
633287	42	RESP=1
647252	42	STIM=z
651791	42	RESP=1
664710	42	STIM=p
668799	42	RESP=1
679842	42	STIM=l
688085	42	RESP=1
697800	42	STIM=l
703076	42	RESP=1
715687	42	STIM=q
721237	42	RESP=1
733711	42	STIM=e
739100	42	RESP=2
752304	42	STIM=v
760771	42	RESP=1
769524	42	STIM=4
777005	42	RESP=2
786740	42	STIM=k
792567	42	RESP=2
804487	42	STIM=t
810990	42	RESP=1
823288	42	STIM=4
830817	42	RESP=2
841056	42	STIM=8
848418	42	RESP=2
858055	42	STIM=g
862094	42	RESP=1
874921	42	STIM=y
878044	42	RESP=1
892505	42	STIM=l
898701	42	RESP=1
907812	42	STIM=q
911973	42	RESP=1
923971	42	STIM=p
938611	42	RESP=1
941430	42	STIM=4
946637	42	RESP=2
958698	42	STIM=5
965086	42	RESP=1
975376	42	STIM=0
984077	42	RESP=2
