# Original filename: 0033_QYE_2017-07-24.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38956	42	STIM=7
44660	42	RESP=2
57190	42	STIM=e
63135	42	RESP=1
75673	42	STIM=h
85065	42	RESP=1
92702	42	STIM=c
95989	42	RESP=1
107811	42	STIM=a
113898	42	RESP=2
123140	42	STIM=3
128227	42	RESP=2
139231	42	STIM=3
143886	42	RESP=2
156779	42	STIM=z
161652	42	RESP=1
175274	42	STIM=s
178803	42	RESP=1
193559	42	STIM=z
199898	42	RESP=1
209229	42	STIM=h
213466	42	RESP=1
227136	42	STIM=w
230923	42	RESP=1
243591	42	STIM=k
252591	42	RESP=1
262059	42	STIM=h
267508	42	RESP=1
277547	42	STIM=r
281473	42	RESP=2
295290	42	STIM=e
299847	42	RESP=1
313238	42	STIM=y
317208	42	RESP=1
329193	42	STIM=c
333909	42	RESP=1
347500	42	STIM=b
351041	42	RESP=1
366370	42	STIM=r
371159	42	RESP=1
382706	42	STIM=9
388203	42	RESP=2
401212	42	STIM=0
409315	42	RESP=1
418831	42	STIM=h
423539	42	RESP=1
435826	42	STIM=d
439348	42	RESP=1
450984	42	STIM=r
454442	42	RESP=1
466644	42	STIM=c
470723	42	RESP=1
482113	42	STIM=l
489389	42	RESP=1
500937	42	STIM=z
508153	42	RESP=1
516799	42	STIM=6
524374	42	RESP=1
533706	42	STIM=4
540430	42	RESP=1
552643	42	STIM=4
559927	42	RESP=2
568546	42	STIM=t
576337	42	RESP=1
584525	42	STIM=s
587318	42	RESP=2
601779	42	STIM=p
605739	42	RESP=2
619695	42	STIM=s
625618	42	RESP=1
636196	42	STIM=2
642531	42	RESP=2
653296	42	STIM=s
656266	42	RESP=1
670151	42	STIM=s
677001	42	RESP=1
686439	42	STIM=x
691036	42	RESP=1
704467	42	STIM=b
709765	42	RESP=1
719906	42	STIM=f
724287	42	RESP=1
737009	42	STIM=a
741684	42	RESP=1
752639	42	STIM=g
756861	42	RESP=1
770010	42	STIM=6
776443	42	RESP=2
785262	42	STIM=b
791689	42	RESP=1
801610	42	STIM=8
806202	42	RESP=2
819272	42	STIM=h
822809	42	RESP=1
834838	42	STIM=v
841194	42	RESP=1
852155	42	STIM=z
860986	42	RESP=1
870367	42	STIM=9
878697	42	RESP=2
889233	42	STIM=l
893603	42	RESP=1
908147	42	STIM=5
913336	42	RESP=2
925541	42	STIM=z
932403	42	RESP=1
944208	42	STIM=s
947215	42	RESP=1
961028	42	STIM=0
969516	42	RESP=2
979704	42	STIM=i
984438	42	RESP=1
998121	42	STIM=g
1001435	42	RESP=1
1014357	42	STIM=6
1020579	42	RESP=2
1029631	42	STIM=a
1033666	42	RESP=2
1046656	42	STIM=6
1051418	42	RESP=1
1065125	42	STIM=q
1071834	42	RESP=1
1082483	42	STIM=n
1086346	42	RESP=1
1099575	42	STIM=7
1106461	42	RESP=2
1116349	42	STIM=a
1121346	42	RESP=1
1134747	42	STIM=k
1142539	42	RESP=1
1152373	42	STIM=8
1156165	42	RESP=2
1171304	42	STIM=3
1176828	42	RESP=2
1186853	42	STIM=8
1194802	42	RESP=2
1205832	42	STIM=o
1210733	42	RESP=1
1222760	42	STIM=q
1227066	42	RESP=1
1238191	42	STIM=k
1240919	42	RESP=1
1255066	42	STIM=9
1261494	42	RESP=2
1270409	42	STIM=6
1276087	42	RESP=2
1288470	42	STIM=7
1294248	42	RESP=2
1304863	42	STIM=s
1313348	42	RESP=1
1323759	42	STIM=q
1330012	42	RESP=1
1341841	42	STIM=k
1348578	42	RESP=1
1359967	42	STIM=p
1368498	42	RESP=1
1378730	42	STIM=w
1384005	42	RESP=2
1397514	42	STIM=q
1402577	42	RESP=1
1413393	42	STIM=s
1420489	42	RESP=1
1428564	42	STIM=c
1435330	42	RESP=1
1445565	42	STIM=y
1452891	42	RESP=1
1463082	42	STIM=p
1469471	42	RESP=1
1480832	42	STIM=z
1484726	42	RESP=1
1496542	42	STIM=8
1503703	42	RESP=2
1515034	42	STIM=c
1520140	42	RESP=1
1533118	42	STIM=j
1538730	42	RESP=1
1552116	42	STIM=e
1557310	42	RESP=1
1568179	42	STIM=z
1573632	42	RESP=1
1583584	42	STIM=u
1588074	42	RESP=1
1599698	42	STIM=v
1604706	42	RESP=1
1616918	42	STIM=7
1624957	42	RESP=1
1633010	42	STIM=0
1641083	42	RESP=2
1649699	42	STIM=m
1657415	42	RESP=1
1666320	42	STIM=e
1670783	42	RESP=1
1683487	42	STIM=a
1688933	42	RESP=1
1698811	42	STIM=4
1702870	42	RESP=2
1717558	42	STIM=o
1727904	42	RESP=1
1733669	42	STIM=m
1738594	42	RESP=1
1751187	42	STIM=p
1754306	42	RESP=1
1767036	42	STIM=9
1773301	42	RESP=2
