# Original filename: 0034_OEH_2017-08-22.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37954	42	STIM=l
42902	42	RESP=1
54290	42	STIM=q
58516	42	RESP=1
70119	42	STIM=s
75638	42	RESP=1
87343	42	STIM=m
92928	42	RESP=1
104793	42	STIM=f
109533	42	RESP=1
120327	42	STIM=h
125611	42	RESP=1
135396	42	STIM=s
142528	42	RESP=1
150970	42	STIM=l
160532	42	RESP=1
167653	42	STIM=q
172047	42	RESP=1
186167	42	STIM=x
193238	42	RESP=2
201579	42	STIM=y
207881	42	RESP=1
217112	42	STIM=d
221700	42	RESP=1
232482	42	STIM=j
235672	42	RESP=1
248723	42	STIM=g
254036	42	RESP=1
265195	42	STIM=p
269955	42	RESP=1
281222	42	STIM=j
293354	42	RESP=1
299757	42	STIM=7
309117	42	RESP=2
317839	42	STIM=k
322856	42	RESP=1
333374	42	STIM=p
338439	42	RESP=1
352340	42	STIM=t
356792	42	RESP=1
368986	42	STIM=m
380546	42	RESP=1
385300	42	STIM=0
394470	42	RESP=2
402665	42	STIM=c
413981	42	RESP=1
418294	42	STIM=4
424087	42	RESP=2
434017	42	STIM=m
438771	42	RESP=1
449198	42	STIM=g
456777	42	RESP=1
465001	42	STIM=4
472251	42	RESP=2
480193	42	STIM=w
484054	42	RESP=1
498222	42	STIM=4
503712	42	RESP=2
517188	42	STIM=y
526006	42	RESP=1
534778	42	STIM=c
541061	42	RESP=1
552653	42	STIM=z
557218	42	RESP=1
568814	42	STIM=x
574218	42	RESP=2
584535	42	STIM=v
588164	42	RESP=1
600930	42	STIM=v
605766	42	RESP=2
618117	42	STIM=c
624172	42	RESP=1
634598	42	STIM=3
642855	42	RESP=1
650538	42	STIM=r
654772	42	RESP=1
665891	42	STIM=w
669296	42	RESP=1
681585	42	STIM=d
687119	42	RESP=1
698378	42	STIM=h
702904	42	RESP=1
715279	42	STIM=f
722111	42	RESP=1
730841	42	STIM=j
736848	42	RESP=1
