# Original filename: 0038_NHL_2017-06-11.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38149	42	STIM=j
42363	42	RESP=1
53343	42	STIM=2
60740	42	RESP=2
70598	42	STIM=j
75697	42	RESP=1
89038	42	STIM=9
96111	42	RESP=2
107500	42	STIM=7
115014	42	RESP=2
126082	42	STIM=m
129830	42	RESP=1
141774	42	STIM=o
148188	42	RESP=1
157669	42	STIM=p
163696	42	RESP=2
174127	42	STIM=x
180474	42	RESP=1
192679	42	STIM=l
197859	42	RESP=1
209554	42	STIM=v
214909	42	RESP=1
226893	42	STIM=p
230043	42	RESP=1
243789	42	STIM=4
249493	42	RESP=2
261909	42	STIM=p
267610	42	RESP=1
277082	42	STIM=3
281312	42	RESP=2
293129	42	STIM=4
299616	42	RESP=1
310431	42	STIM=r
321893	42	RESP=1
325979	42	STIM=e
336762	42	RESP=1
343853	42	STIM=m
349605	42	RESP=1
361347	42	STIM=l
366305	42	RESP=1
379032	42	STIM=t
387299	42	RESP=1
396970	42	STIM=n
408468	42	RESP=1
413853	42	STIM=h
418353	42	RESP=1
429704	42	STIM=o
435004	42	RESP=1
448015	42	STIM=o
466048	42	RESP=1
466943	42	STIM=o
478940	42	RESP=2
485277	42	STIM=1
494161	42	RESP=2
503082	42	STIM=r
510466	42	RESP=1
520907	42	STIM=n
527610	42	RESP=1
538296	42	STIM=5
543678	42	RESP=2
555202	42	STIM=i
560347	42	RESP=1
571732	42	STIM=y
577031	42	RESP=1
590675	42	STIM=q
604158	42	RESP=1
608939	42	STIM=k
613349	42	RESP=1
627775	42	STIM=0
631532	42	RESP=2
646636	42	STIM=5
650662	42	RESP=2
664563	42	STIM=6
669329	42	RESP=2
681569	42	STIM=d
687974	42	RESP=1
699735	42	STIM=h
703583	42	RESP=1
715807	42	STIM=l
722523	42	RESP=1
731739	42	STIM=j
739796	42	RESP=1
748422	42	STIM=s
752025	42	RESP=1
764034	42	STIM=p
767623	42	RESP=1
781352	42	STIM=p
788155	42	RESP=1
799363	42	STIM=x
806199	42	RESP=1
816724	42	STIM=d
820039	42	RESP=1
833326	42	STIM=d
836998	42	RESP=1
852082	42	STIM=l
859621	42	RESP=1
867192	42	STIM=c
871757	42	RESP=1
885365	42	STIM=n
892418	42	RESP=1
900928	42	STIM=u
907821	42	RESP=1
917099	42	STIM=y
923250	42	RESP=1
933538	42	STIM=o
938976	42	RESP=1
951770	42	STIM=8
960343	42	RESP=2
967625	42	STIM=t
974126	42	RESP=1
984079	42	STIM=f
988521	42	RESP=1
1001540	42	STIM=m
1006477	42	RESP=1
1019552	42	STIM=h
1022689	42	RESP=1
1038514	42	STIM=0
1044026	42	RESP=2
1054990	42	STIM=m
1062927	42	RESP=1
1071173	42	STIM=w
1078114	42	RESP=1
1088359	42	STIM=e
1094044	42	RESP=1
1105404	42	STIM=g
1112150	42	RESP=1
1121542	42	STIM=s
1126464	42	RESP=1
1137316	42	STIM=h
1141704	42	RESP=1
1156204	42	STIM=k
1159742	42	RESP=1
1172420	42	STIM=6
1178316	42	RESP=1
1189608	42	STIM=g
1204089	42	RESP=2
1207740	42	STIM=h
1211417	42	RESP=1
1223886	42	STIM=u
1233623	42	RESP=1
1238966	42	STIM=8
1255360	42	RESP=2
1255460	42	STIM=g
1263204	42	RESP=1
1272726	42	STIM=5
1283227	42	RESP=1
1291591	42	STIM=z
1295355	42	RESP=1
1306854	42	STIM=s
1314551	42	RESP=1
1324049	42	STIM=o
1334043	42	RESP=1
1341687	42	STIM=a
1345252	42	RESP=1
1357167	42	STIM=b
1365266	42	RESP=2
1373394	42	STIM=z
1379037	42	RESP=1
1390430	42	STIM=1
1398440	42	RESP=2
1406814	42	STIM=f
1412697	42	RESP=1
1423753	42	STIM=e
1429371	42	RESP=1
1439708	42	STIM=p
1446772	42	RESP=1
1455984	42	STIM=k
1461438	42	RESP=1
1472121	42	STIM=e
1476574	42	RESP=1
1490317	42	STIM=1
1497979	42	RESP=2
1507664	42	STIM=q
1510848	42	RESP=1
1526367	42	STIM=c
1532989	42	RESP=1
1544808	42	STIM=p
1551765	42	RESP=1
1560009	42	STIM=y
1567552	42	RESP=1
1576362	42	STIM=u
1579585	42	RESP=1
1593456	42	STIM=c
1597860	42	RESP=1
1609927	42	STIM=r
1615071	42	RESP=1
1625137	42	STIM=d
1628095	42	RESP=1
1640935	42	STIM=3
1645060	42	RESP=2
1656737	42	STIM=m
1665075	42	RESP=1
1673745	42	STIM=o
1677625	42	RESP=1
1690299	42	STIM=i
1696914	42	RESP=1
1708466	42	STIM=7
1712348	42	RESP=2
1724104	42	STIM=5
1730152	42	RESP=2
1739589	42	STIM=v
1743553	42	RESP=1
1757173	42	STIM=a
1762683	42	RESP=2
1774275	42	STIM=c
1781882	42	RESP=1
1791963	42	STIM=v
1795181	42	RESP=1
1808588	42	STIM=z
1813759	42	RESP=1
1824842	42	STIM=3
1831215	42	RESP=2
1841582	42	STIM=1
1847935	42	RESP=2
1858871	42	STIM=g
1862559	42	RESP=1
1875161	42	STIM=c
1882873	42	RESP=1
1893026	42	STIM=1
1899411	42	RESP=2
1908677	42	STIM=h
1914637	42	RESP=1
1925555	42	STIM=6
1932606	42	RESP=2
1944142	42	STIM=s
1948570	42	RESP=1
1962983	42	STIM=c
1968431	42	RESP=1
1979414	42	STIM=n
1985799	42	RESP=1
1997900	42	STIM=f
2004725	42	RESP=1
2014497	42	STIM=k
2021688	42	RESP=1
2029498	42	STIM=c
2034243	42	RESP=1
2047061	42	STIM=f
2053397	42	RESP=1
2064203	42	STIM=s
2071018	42	RESP=1
2080323	42	STIM=l
2085841	42	RESP=2
2096552	42	STIM=m
2099309	42	RESP=1
2111757	42	STIM=a
2117050	42	RESP=2
2127080	42	STIM=p
