# Original filename: 0039_WSW_2017-05-20.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38497	42	STIM=w
45432	42	RESP=1
55615	42	STIM=s
59473	42	RESP=1
74490	42	STIM=m
79846	42	RESP=1
92931	42	STIM=e
98234	42	RESP=1
110067	42	STIM=u
114579	42	RESP=1
127646	42	STIM=z
131504	42	RESP=1
142946	42	STIM=c
152754	42	RESP=1
159108	42	STIM=x
164269	42	RESP=1
177991	42	STIM=q
180725	42	RESP=1
194642	42	STIM=n
199945	42	RESP=1
210112	42	STIM=3
216468	42	RESP=2
227820	42	STIM=a
232116	42	RESP=1
244132	42	STIM=f
257634	42	RESP=1
259256	42	STIM=m
265637	42	RESP=1
276921	42	STIM=s
282424	42	RESP=1
292957	42	STIM=x
302881	42	RESP=1
310757	42	STIM=l
313562	42	RESP=1
327078	42	STIM=e
333254	42	RESP=2
345411	42	STIM=m
348348	42	RESP=1
364184	42	STIM=l
369494	42	RESP=1
380606	42	STIM=i
387363	42	RESP=1
396930	42	STIM=y
401370	42	RESP=2
412104	42	STIM=z
419651	42	RESP=1
430854	42	STIM=c
436085	42	RESP=1
447590	42	STIM=o
451190	42	RESP=1
462728	42	STIM=d
465831	42	RESP=2
480765	42	STIM=7
489684	42	RESP=2
497709	42	STIM=y
505296	42	RESP=1
514519	42	STIM=a
520347	42	RESP=1
531653	42	STIM=8
543541	42	RESP=2
550007	42	STIM=r
557964	42	RESP=1
567733	42	STIM=h
571208	42	RESP=2
583550	42	STIM=x
591874	42	RESP=1
599823	42	STIM=m
606837	42	RESP=1
615184	42	STIM=3
620867	42	RESP=2
631496	42	STIM=e
635235	42	RESP=1
647474	42	STIM=6
652783	42	RESP=2
663760	42	STIM=y
672506	42	RESP=1
681920	42	STIM=5
687950	42	RESP=2
698454	42	STIM=e
704944	42	RESP=1
714656	42	STIM=w
718336	42	RESP=1
732539	42	STIM=n
736899	42	RESP=1
750200	42	STIM=i
754174	42	RESP=1
768489	42	STIM=n
772153	42	RESP=2
786110	42	STIM=t
797086	42	RESP=1
804562	42	STIM=y
809045	42	RESP=1
822720	42	STIM=j
830624	42	RESP=1
839185	42	STIM=4
847315	42	RESP=1
854776	42	STIM=c
861714	42	RESP=1
873301	42	STIM=g
876773	42	RESP=1
891175	42	STIM=f
896647	42	RESP=1
907158	42	STIM=l
910127	42	RESP=1
925160	42	STIM=4
929132	42	RESP=2
940879	42	STIM=y
946942	42	RESP=2
956553	42	STIM=d
960287	42	RESP=1
972744	42	STIM=o
978679	42	RESP=1
988040	42	STIM=5
993774	42	RESP=2
1004783	42	STIM=4
1011847	42	RESP=1
1023415	42	STIM=l
1026507	42	RESP=2
1040161	42	STIM=9
1045367	42	RESP=2
1055412	42	STIM=k
1063610	42	RESP=1
1070625	42	STIM=a
1073889	42	RESP=2
1088114	42	STIM=r
1094738	42	RESP=1
1104310	42	STIM=i
1110086	42	RESP=1
1121742	42	STIM=p
1128988	42	RESP=1
1137245	42	STIM=z
1140534	42	RESP=1
1154495	42	STIM=r
1159734	42	RESP=1
1171270	42	STIM=v
1175835	42	RESP=1
1189861	42	STIM=l
1199246	42	RESP=1
1208707	42	STIM=r
1217123	42	RESP=1
1225199	42	STIM=w
1228900	42	RESP=1
1240800	42	STIM=d
1246335	42	RESP=1
1258531	42	STIM=u
1265567	42	RESP=1
1274890	42	STIM=1
1282481	42	RESP=2
1291735	42	STIM=s
1299439	42	RESP=1
1309679	42	STIM=6
1314812	42	RESP=2
1326621	42	STIM=r
1332150	42	RESP=1
1343471	42	STIM=x
1353019	42	RESP=1
1359996	42	STIM=g
1367865	42	RESP=1
1378086	42	STIM=l
1383993	42	RESP=1
1396854	42	STIM=p
1405954	42	RESP=1
1415559	42	STIM=y
1418815	42	RESP=1
1431571	42	STIM=n
1435501	42	RESP=1
1449267	42	STIM=c
1453668	42	RESP=1
1466013	42	STIM=x
1470002	42	RESP=1
