# Original filename: 0040_BWV_2016-09-27.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37499	42	STIM=i
41707	42	RESP=1
54967	42	STIM=v
59549	42	RESP=1
73788	42	STIM=5
80556	42	RESP=2
88882	42	STIM=g
92837	42	RESP=1
105586	42	STIM=3
111452	42	RESP=2
120873	42	STIM=4
128473	42	RESP=2
138598	42	STIM=j
143743	42	RESP=1
157423	42	STIM=u
162902	42	RESP=1
173524	42	STIM=w
180123	42	RESP=1
190435	42	STIM=d
194630	42	RESP=1
208468	42	STIM=k
217572	42	RESP=1
225918	42	STIM=0
230102	42	RESP=2
242697	42	STIM=v
250883	42	RESP=1
258886	42	STIM=7
266160	42	RESP=1
274936	42	STIM=q
279622	42	RESP=1
293229	42	STIM=c
297757	42	RESP=1
308942	42	STIM=f
315594	42	RESP=1
325742	42	STIM=l
330459	42	RESP=1
342505	42	STIM=b
347001	42	RESP=1
358498	42	STIM=e
365178	42	RESP=1
377467	42	STIM=n
382524	42	RESP=1
395267	42	STIM=8
399809	42	RESP=1
413599	42	STIM=s
416950	42	RESP=1
431572	42	STIM=k
434485	42	RESP=1
449087	42	STIM=z
452599	42	RESP=1
467984	42	STIM=p
472318	42	RESP=1
484973	42	STIM=g
488256	42	RESP=1
501681	42	STIM=p
506945	42	RESP=1
520615	42	STIM=z
525836	42	RESP=1
536167	42	STIM=m
539391	42	RESP=1
553764	42	STIM=y
557006	42	RESP=1
570289	42	STIM=d
579754	42	RESP=1
585429	42	STIM=c
589625	42	RESP=1
601797	42	STIM=8
606528	42	RESP=2
620275	42	STIM=b
623659	42	RESP=1
637003	42	STIM=y
641026	42	RESP=1
654751	42	STIM=8
660829	42	RESP=2
670559	42	STIM=l
676798	42	RESP=1
687440	42	STIM=f
691239	42	RESP=1
703493	42	STIM=g
707887	42	RESP=1
718700	42	STIM=q
724371	42	RESP=1
735417	42	STIM=z
738714	42	RESP=1
752995	42	STIM=g
759203	42	RESP=1
768013	42	STIM=p
772423	42	RESP=1
786982	42	STIM=y
794462	42	RESP=1
804753	42	STIM=3
815951	42	RESP=2
820291	42	STIM=w
825366	42	RESP=1
839280	42	STIM=g
845017	42	RESP=1
855071	42	STIM=v
862980	42	RESP=1
870129	42	STIM=x
874677	42	RESP=1
885264	42	STIM=w
895224	42	RESP=1
901109	42	STIM=n
903827	42	RESP=1
916672	42	STIM=1
923676	42	RESP=2
932999	42	STIM=l
936003	42	RESP=1
951697	42	STIM=p
956345	42	RESP=1
968325	42	STIM=m
976425	42	RESP=1
985245	42	STIM=o
994340	42	RESP=1
1003514	42	STIM=o
1011276	42	RESP=1
1022117	42	STIM=q
1028185	42	RESP=1
1039402	42	STIM=q
1046876	42	RESP=1
1056215	42	STIM=l
1060228	42	RESP=1
1073069	42	STIM=k
1078670	42	RESP=1
1091636	42	STIM=v
1095022	42	RESP=1
1108870	42	STIM=y
1113681	42	RESP=1
1127055	42	STIM=f
1131257	42	RESP=1
1142433	42	STIM=t
1147113	42	RESP=2
1161320	42	STIM=i
1166556	42	RESP=1
1179607	42	STIM=z
1184130	42	RESP=1
1197770	42	STIM=t
1204833	42	RESP=1
1212825	42	STIM=2
1217793	42	RESP=2
1228613	42	STIM=o
1234562	42	RESP=1
1246930	42	STIM=e
1257037	42	RESP=1
1262716	42	STIM=a
1266671	42	RESP=1
1280069	42	STIM=3
1283477	42	RESP=2
1296422	42	STIM=v
1300011	42	RESP=1
1311631	42	STIM=t
1315527	42	RESP=1
1327202	42	STIM=b
1331258	42	RESP=1
1345080	42	STIM=4
1350861	42	RESP=1
1362842	42	STIM=2
1366665	42	RESP=2
1380168	42	STIM=f
1384346	42	RESP=1
1397257	42	STIM=v
1402981	42	RESP=1
1413309	42	STIM=5
1419730	42	RESP=2
1428734	42	STIM=3
1435270	42	RESP=1
1444447	42	STIM=l
1447660	42	RESP=1
1459464	42	STIM=r
1461991	42	RESP=1
1476774	42	STIM=6
1483541	42	RESP=1
1495338	42	STIM=8
1500425	42	RESP=2
1513144	42	STIM=v
1519686	42	RESP=1
1531139	42	STIM=b
1534747	42	RESP=1
1548992	42	STIM=8
1557373	42	RESP=1
1565965	42	STIM=j
1574399	42	RESP=1
1581089	42	STIM=w
1585977	42	RESP=1
1598522	42	STIM=7
1604593	42	RESP=2
1616608	42	STIM=p
1619727	42	RESP=1
1633894	42	STIM=g
1640117	42	RESP=1
1651262	42	STIM=n
1658634	42	RESP=1
1666405	42	STIM=e
1673228	42	RESP=1
1683606	42	STIM=0
