# Original filename: 0041_FPL_2016-09-08.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38822	42	STIM=z
41632	42	RESP=1
55807	42	STIM=n
62245	42	RESP=1
73476	42	STIM=p
78162	42	RESP=1
88706	42	STIM=p
91852	42	RESP=1
107553	42	STIM=g
111951	42	RESP=1
125807	42	STIM=c
130103	42	RESP=1
143840	42	STIM=v
147987	42	RESP=1
161174	42	STIM=f
166830	42	RESP=1
176586	42	STIM=h
179425	42	RESP=1
192563	42	STIM=1
199132	42	RESP=2
208815	42	STIM=i
212929	42	RESP=1
227363	42	STIM=e
231645	42	RESP=1
244908	42	STIM=h
249838	42	RESP=1
262043	42	STIM=5
266597	42	RESP=2
277776	42	STIM=n
281766	42	RESP=1
292828	42	STIM=d
297739	42	RESP=1
310438	42	STIM=l
318731	42	RESP=1
328588	42	STIM=v
334097	42	RESP=1
347019	42	STIM=6
352928	42	RESP=2
364732	42	STIM=x
369476	42	RESP=1
381440	42	STIM=p
385872	42	RESP=1
397265	42	STIM=k
401563	42	RESP=1
412946	42	STIM=0
421731	42	RESP=2
430223	42	STIM=s
433073	42	RESP=1
448540	42	STIM=1
454805	42	RESP=2
465813	42	STIM=u
469939	42	RESP=1
483176	42	STIM=f
486475	42	RESP=1
499073	42	STIM=w
505204	42	RESP=1
516659	42	STIM=z
519520	42	RESP=2
534530	42	STIM=9
539843	42	RESP=2
550341	42	STIM=e
553935	42	RESP=1
568981	42	STIM=5
574647	42	RESP=2
584746	42	STIM=8
590658	42	RESP=2
600770	42	STIM=a
603343	42	RESP=1
617640	42	STIM=a
621779	42	RESP=2
632657	42	STIM=7
636871	42	RESP=2
649386	42	STIM=g
653683	42	RESP=1
664515	42	STIM=x
667977	42	RESP=1
682619	42	STIM=p
686264	42	RESP=1
699024	42	STIM=j
702936	42	RESP=1
716803	42	STIM=7
722486	42	RESP=2
731858	42	STIM=f
738880	42	RESP=1
747289	42	STIM=y
751335	42	RESP=1
764802	42	STIM=e
770514	42	RESP=1
779827	42	STIM=z
783461	42	RESP=1
795853	42	STIM=t
801329	42	RESP=1
813912	42	STIM=4
822290	42	RESP=2
829030	42	STIM=l
835004	42	RESP=1
845266	42	STIM=z
848382	42	RESP=1
863815	42	STIM=z
868962	42	RESP=2
879518	42	STIM=a
884217	42	RESP=1
897581	42	STIM=y
902247	42	RESP=1
914591	42	STIM=z
924936	42	RESP=1
931184	42	STIM=x
939048	42	RESP=1
948862	42	STIM=b
955404	42	RESP=1
967795	42	STIM=g
970397	42	RESP=1
985950	42	STIM=p
989870	42	RESP=1
1004773	42	STIM=q
1009710	42	RESP=1
1020798	42	STIM=k
1026834	42	RESP=1
1037012	42	STIM=k
1040497	42	RESP=1
1052403	42	STIM=n
1056360	42	RESP=1
1070455	42	STIM=l
1079267	42	RESP=1
1089159	42	STIM=m
1094222	42	RESP=1
1107686	42	STIM=2
1113887	42	RESP=2
1123638	42	STIM=k
1130793	42	RESP=1
1142003	42	STIM=a
1147433	42	RESP=2
1158791	42	STIM=o
1162642	42	RESP=1
1176327	42	STIM=u
1183767	42	RESP=1
1195017	42	STIM=s
1199035	42	RESP=1
1210079	42	STIM=0
1216966	42	RESP=2
1227093	42	STIM=p
1231266	42	RESP=1
1242388	42	STIM=6
1249505	42	RESP=2
1259302	42	STIM=h
1262372	42	RESP=1
1275122	42	STIM=s
1278139	42	RESP=1
1292301	42	STIM=s
1296468	42	RESP=1
1311209	42	STIM=w
1316523	42	RESP=1
1329799	42	STIM=l
1334159	42	RESP=1
1347322	42	STIM=p
1352688	42	RESP=1
1366245	42	STIM=u
1374217	42	RESP=1
1384050	42	STIM=f
1387705	42	RESP=1
1400397	42	STIM=f
1408362	42	RESP=1
1416683	42	STIM=r
1420548	42	RESP=1
1432646	42	STIM=9
1440361	42	RESP=2
1449778	42	STIM=g
1455988	42	RESP=1
1465519	42	STIM=k
1471770	42	RESP=1
1482478	42	STIM=t
1487409	42	RESP=1
1497496	42	STIM=t
