# Original filename: 0043_BFO_2017-02-13.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
36331	42	STIM=l
39585	42	RESP=1
54497	42	STIM=p
58645	42	RESP=1
70403	42	STIM=u
76493	42	RESP=1
88938	42	STIM=7
95655	42	RESP=2
103984	42	STIM=y
110438	42	RESP=1
122474	42	STIM=4
129742	42	RESP=2
141471	42	STIM=l
144584	42	RESP=1
160375	42	STIM=r
165058	42	RESP=1
177974	42	STIM=y
184069	42	RESP=1
195834	42	STIM=n
206339	42	RESP=1
211972	42	STIM=j
219757	42	RESP=1
227505	42	STIM=k
233880	42	RESP=1
242533	42	STIM=8
249665	42	RESP=2
260417	42	STIM=x
265952	42	RESP=1
278946	42	STIM=d
284228	42	RESP=1
296198	42	STIM=x
301740	42	RESP=1
315091	42	STIM=q
320717	42	RESP=1
333975	42	STIM=4
338337	42	RESP=2
350405	42	STIM=5
355660	42	RESP=2
368484	42	STIM=f
374386	42	RESP=1
386737	42	STIM=g
391800	42	RESP=1
404115	42	STIM=7
409171	42	RESP=2
421426	42	STIM=3
431293	42	RESP=2
436685	42	STIM=x
440622	42	RESP=1
454952	42	STIM=g
461332	42	RESP=1
473266	42	STIM=b
478375	42	RESP=2
489252	42	STIM=x
495340	42	RESP=1
508133	42	STIM=q
514916	42	RESP=1
523159	42	STIM=l
526198	42	RESP=1
539175	42	STIM=9
543415	42	RESP=2
554293	42	STIM=b
563063	42	RESP=1
571474	42	STIM=x
576854	42	RESP=1
589235	42	STIM=w
595559	42	RESP=1
607706	42	STIM=u
613196	42	RESP=1
624979	42	STIM=d
627847	42	RESP=1
640178	42	STIM=d
643180	42	RESP=1
658920	42	STIM=i
665140	42	RESP=1
677280	42	STIM=f
683494	42	RESP=1
695877	42	STIM=k
700951	42	RESP=1
712441	42	STIM=z
716693	42	RESP=1
729864	42	STIM=e
735971	42	RESP=1
748522	42	STIM=f
752069	42	RESP=1
765748	42	STIM=j
769599	42	RESP=1
782726	42	STIM=8
789905	42	RESP=2
798108	42	STIM=s
802065	42	RESP=1
816242	42	STIM=t
820256	42	RESP=1
834070	42	STIM=u
836602	42	RESP=1
852306	42	STIM=7
857310	42	RESP=2
868514	42	STIM=y
873689	42	RESP=1
886450	42	STIM=n
892964	42	RESP=1
903596	42	STIM=i
908297	42	RESP=1
921046	42	STIM=h
926370	42	RESP=1
938205	42	STIM=b
942788	42	RESP=1
954590	42	STIM=o
958831	42	RESP=2
969801	42	STIM=4
977465	42	RESP=1
986071	42	STIM=r
991558	42	RESP=1
1003318	42	STIM=e
1008696	42	RESP=1
1018963	42	STIM=m
1026613	42	RESP=1
1034952	42	STIM=e
1038460	42	RESP=1
1050385	42	STIM=d
1053759	42	RESP=1
1066084	42	STIM=s
1070540	42	RESP=1
1083095	42	STIM=k
1087648	42	RESP=1
1099344	42	STIM=l
1103888	42	RESP=1
1114968	42	STIM=i
1119987	42	RESP=1
1131072	42	STIM=h
1136800	42	RESP=1
1146840	42	STIM=x
1152779	42	RESP=1
1163362	42	STIM=c
1166780	42	RESP=1
1181154	42	STIM=0
1191039	42	RESP=2
1198884	42	STIM=d
1204964	42	RESP=1
1213992	42	STIM=n
1219747	42	RESP=1
1230636	42	STIM=0
1238654	42	RESP=2
1246412	42	STIM=y
1250928	42	RESP=1
1263311	42	STIM=h
1266542	42	RESP=1
1279300	42	STIM=n
1285263	42	RESP=1
1298176	42	STIM=9
1303951	42	RESP=1
1313798	42	STIM=u
1320354	42	RESP=1
1331995	42	STIM=y
1337321	42	RESP=1
1350788	42	STIM=w
1355349	42	RESP=1
1365862	42	STIM=d
1370825	42	RESP=1
1383856	42	STIM=1
1387643	42	RESP=2
1402669	42	STIM=e
1407671	42	RESP=2
1420249	42	STIM=g
1427122	42	RESP=1
1437152	42	STIM=v
1444594	42	RESP=1
1455240	42	STIM=6
1460149	42	RESP=2
1473537	42	STIM=v
1479509	42	RESP=1
1490313	42	STIM=2
1497606	42	RESP=2
1507695	42	STIM=6
1514554	42	RESP=2
1522771	42	STIM=4
1530563	42	RESP=2
1540243	42	STIM=s
1543848	42	RESP=1
1558892	42	STIM=y
1563761	42	RESP=1
1574536	42	STIM=u
1580032	42	RESP=1
1590119	42	STIM=z
1593149	42	RESP=1
1605725	42	STIM=2
1610640	42	RESP=2
1621524	42	STIM=q
1624600	42	RESP=1
1636634	42	STIM=x
1643233	42	RESP=1
1651739	42	STIM=l
1654682	42	RESP=1
1668479	42	STIM=6
1674315	42	RESP=1
1684189	42	STIM=n
1689030	42	RESP=1
1700348	42	STIM=o
1707070	42	RESP=1
1717754	42	STIM=u
1725761	42	RESP=1
1734446	42	STIM=b
1736842	42	RESP=1
1751200	42	STIM=s
1755249	42	RESP=1
1768973	42	STIM=q
1774798	42	RESP=1
1785251	42	STIM=u
1788848	42	RESP=1
1802323	42	STIM=q
1805872	42	RESP=1
1819378	42	STIM=k
1827628	42	RESP=1
1835888	42	STIM=t
1842431	42	RESP=1
1851452	42	STIM=y
1854965	42	RESP=1
1866534	42	STIM=r
1870012	42	RESP=1
1885091	42	STIM=q
1891122	42	RESP=1
1902202	42	STIM=z
1906434	42	RESP=1
1918966	42	STIM=1
1926043	42	RESP=2
1934002	42	STIM=3
1940117	42	RESP=2
1950786	42	STIM=y
1954662	42	RESP=1
1969409	42	STIM=c
1975136	42	RESP=1
1986277	42	STIM=a
1996100	42	RESP=1
2003541	42	STIM=f
2007723	42	RESP=1
2022264	42	STIM=6
2025848	42	RESP=2
2040523	42	STIM=i
2043885	42	RESP=1
2056256	42	STIM=o
2063012	42	RESP=1
2074956	42	STIM=8
2080142	42	RESP=2
2092002	42	STIM=t
2098014	42	RESP=1
2110592	42	STIM=w
2114266	42	RESP=1
2127376	42	STIM=w
2131668	42	RESP=1
2144733	42	STIM=z
2151050	42	RESP=1
2159904	42	STIM=o
2163912	42	RESP=2
2176251	42	STIM=k
2182320	42	RESP=1
2191888	42	STIM=a
2197001	42	RESP=1
2208989	42	STIM=t
2219146	42	RESP=1
2225914	42	STIM=k
2229339	42	RESP=1
2244325	42	STIM=k
2250034	42	RESP=1
2262797	42	STIM=o
2268169	42	RESP=1
2281447	42	STIM=3
2286516	42	RESP=2
2299335	42	STIM=5
2303840	42	RESP=2
2317741	42	STIM=d
2321514	42	RESP=1
2334570	42	STIM=4
2344924	42	RESP=2
2352852	42	STIM=q
2355669	42	RESP=1
2369661	42	STIM=a
2373037	42	RESP=1
2385475	42	STIM=o
2391639	42	RESP=1
2400660	42	STIM=q
2408286	42	RESP=1
2416187	42	STIM=4
2420138	42	RESP=1
2433111	42	STIM=7
2441011	42	RESP=1
2450784	42	STIM=t
2455289	42	RESP=1
2469364	42	STIM=k
2473135	42	RESP=1
2485010	42	STIM=y
2490665	42	RESP=1
2501074	42	STIM=x
2506658	42	RESP=2
2516541	42	STIM=o
2521846	42	RESP=1
2534916	42	STIM=t
2538634	42	RESP=1
2551008	42	STIM=v
2556256	42	RESP=1
2567791	42	STIM=3
2573116	42	RESP=2
2586752	42	STIM=i
2592747	42	RESP=1
2603199	42	STIM=j
2606403	42	RESP=1
2619170	42	STIM=4
2623700	42	RESP=2
2634787	42	STIM=4
2640425	42	RESP=1
2653553	42	STIM=g
2660962	42	RESP=1
2670636	42	STIM=x
2675480	42	RESP=1
2687301	42	STIM=f
2693975	42	RESP=1
2705115	42	STIM=y
2708927	42	RESP=1
2722600	42	STIM=z
2728682	42	RESP=1
2738519	42	STIM=s
2745778	42	RESP=1
2756826	42	STIM=1
2763170	42	RESP=2
2775570	42	STIM=q
2779617	42	RESP=1
2793693	42	STIM=j
2803742	42	RESP=1
2811097	42	STIM=d
2815525	42	RESP=1
2827976	42	STIM=e
2831663	42	RESP=1
2845795	42	STIM=2
2852740	42	RESP=2
2864593	42	STIM=n
2869636	42	RESP=1
2882644	42	STIM=l
2886113	42	RESP=1
2898998	42	STIM=m
2903048	42	RESP=1
2917775	42	STIM=b
2925932	42	RESP=1
2935643	42	STIM=0
2940685	42	RESP=2
2951066	42	STIM=c
2956704	42	RESP=1
2969155	42	STIM=h
2973627	42	RESP=1
2987230	42	STIM=a
2990786	42	RESP=2
3004563	42	STIM=t
3008268	42	RESP=1
3022285	42	STIM=v
3026029	42	RESP=1
3040847	42	STIM=0
3050580	42	RESP=2
3058055	42	STIM=1
3061759	42	RESP=2
3075427	42	STIM=9
3079462	42	RESP=2
3093755	42	STIM=r
3098252	42	RESP=1
3110969	42	STIM=y
3115596	42	RESP=1
3129918	42	STIM=u
3132976	42	RESP=1
3148875	42	STIM=h
3155306	42	RESP=1
3164049	42	STIM=4
3167810	42	RESP=2
3182069	42	STIM=k
3188343	42	RESP=1
3197577	42	STIM=s
3203004	42	RESP=1
3216564	42	STIM=h
3221259	42	RESP=2
3233272	42	STIM=w
3236695	42	RESP=1
3249357	42	STIM=d
3252377	42	RESP=1
3268019	42	STIM=x
3274724	42	RESP=1
3285589	42	STIM=y
3292858	42	RESP=1
3302377	42	STIM=k
3306524	42	RESP=1
3317402	42	STIM=3
3321821	42	RESP=2
3333719	42	STIM=r
3338970	42	RESP=1
3349736	42	STIM=j
3353159	42	RESP=1
3365661	42	STIM=o
3370172	42	RESP=1
3384462	42	STIM=s
3394326	42	RESP=1
3401450	42	STIM=7
3406639	42	RESP=2
3418284	42	STIM=6
3425931	42	RESP=2
3435701	42	STIM=c
3439588	42	RESP=1
3451327	42	STIM=g
3461733	42	RESP=1
3469068	42	STIM=p
3473534	42	RESP=1
3485996	42	STIM=c
3493327	42	RESP=1
3501543	42	STIM=h
3504998	42	RESP=2
3517756	42	STIM=r
3523190	42	RESP=1
3536048	42	STIM=s
