# Original filename: 0045_YIG_2017-03-13.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37917	42	STIM=f
43137	42	RESP=1
55663	42	STIM=k
62395	42	RESP=1
73237	42	STIM=g
77555	42	RESP=1
90300	42	STIM=i
94198	42	RESP=1
106604	42	STIM=z
112479	42	RESP=1
125262	42	STIM=d
129321	42	RESP=1
143990	42	STIM=v
148229	42	RESP=1
161225	42	STIM=s
166209	42	RESP=1
179729	42	STIM=j
185832	42	RESP=1
197906	42	STIM=1
203744	42	RESP=2
213743	42	STIM=k
216721	42	RESP=1
229784	42	STIM=2
236297	42	RESP=1
247431	42	STIM=e
252536	42	RESP=2
262525	42	STIM=8
273053	42	RESP=2
280093	42	STIM=w
285577	42	RESP=1
297376	42	STIM=p
303005	42	RESP=1
315081	42	STIM=v
318539	42	RESP=1
332449	42	STIM=a
337916	42	RESP=1
351015	42	STIM=n
359669	42	RESP=1
367115	42	STIM=b
374605	42	RESP=1
382626	42	STIM=x
388326	42	RESP=1
399879	42	STIM=v
404927	42	RESP=1
417560	42	STIM=2
425722	42	RESP=2
435385	42	STIM=n
440739	42	RESP=1
453954	42	STIM=b
458564	42	RESP=1
471873	42	STIM=k
475516	42	RESP=1
488108	42	STIM=7
493507	42	RESP=2
505408	42	STIM=5
511795	42	RESP=2
523658	42	STIM=n
526603	42	RESP=1
539718	42	STIM=t
546293	42	RESP=1
556772	42	STIM=l
560800	42	RESP=1
572141	42	STIM=v
576809	42	RESP=1
590382	42	STIM=d
593704	42	RESP=1
608546	42	STIM=z
612184	42	RESP=1
626437	42	STIM=a
629887	42	RESP=1
645112	42	STIM=t
652913	42	RESP=1
663790	42	STIM=f
667093	42	RESP=1
679945	42	STIM=y
682691	42	RESP=1
698059	42	STIM=9
703198	42	RESP=2
716681	42	STIM=8
721326	42	RESP=1
732499	42	STIM=k
739925	42	RESP=1
751470	42	STIM=c
755142	42	RESP=1
766672	42	STIM=e
774797	42	RESP=1
785037	42	STIM=f
799545	42	RESP=1
801536	42	STIM=m
806584	42	RESP=1
820213	42	STIM=j
824565	42	RESP=1
835895	42	STIM=3
841594	42	RESP=2
854371	42	STIM=6
858627	42	RESP=2
869788	42	STIM=m
873819	42	RESP=1
885052	42	STIM=w
888687	42	RESP=1
901811	42	STIM=1
908318	42	RESP=1
919511	42	STIM=t
922863	42	RESP=1
936504	42	STIM=c
939183	42	RESP=1
954537	42	STIM=5
958015	42	RESP=1
972152	42	STIM=m
975533	42	RESP=1
990381	42	STIM=g
994390	42	RESP=1
1006394	42	STIM=j
1011358	42	RESP=1
1025349	42	STIM=t
1029276	42	RESP=1
1041265	42	STIM=t
1049906	42	RESP=1
1058429	42	STIM=q
1065679	42	RESP=1
1074759	42	STIM=y
1077694	42	RESP=1
1091431	42	STIM=l
1095068	42	RESP=1
1107601	42	STIM=0
1111526	42	RESP=2
1123035	42	STIM=m
1126915	42	RESP=1
1138348	42	STIM=e
1142892	42	RESP=1
1156114	42	STIM=w
1163852	42	RESP=1
1174949	42	STIM=b
1177994	42	RESP=1
1192410	42	STIM=e
1195280	42	RESP=1
1210179	42	STIM=o
1213565	42	RESP=1
1227707	42	STIM=d
1230356	42	RESP=1
1244281	42	STIM=q
1248608	42	RESP=1
1262328	42	STIM=k
1265551	42	RESP=1
1278485	42	STIM=c
1282869	42	RESP=2
1297053	42	STIM=p
1300772	42	RESP=1
1312093	42	STIM=j
1315982	42	RESP=1
1328853	42	STIM=j
1336050	42	RESP=1
1344438	42	STIM=6
1349644	42	RESP=2
1360135	42	STIM=p
1364025	42	RESP=1
1376278	42	STIM=r
1380923	42	RESP=1
1393793	42	STIM=8
1398898	42	RESP=2
1410037	42	STIM=7
1417318	42	RESP=1
1428552	42	STIM=l
1432807	42	RESP=1
1446418	42	STIM=n
1450132	42	RESP=1
1462714	42	STIM=i
1466266	42	RESP=2
1478953	42	STIM=6
1482605	42	RESP=2
1495061	42	STIM=y
1501850	42	RESP=1
1512271	42	STIM=0
1517076	42	RESP=2
1529888	42	STIM=b
1535991	42	RESP=1
1548492	42	STIM=z
1552345	42	RESP=1
1565527	42	STIM=m
1569169	42	RESP=1
1582288	42	STIM=l
1586759	42	RESP=1
1600198	42	STIM=n
1604635	42	RESP=1
1616994	42	STIM=0
1622144	42	RESP=2
1632649	42	STIM=s
1635686	42	RESP=1
1648564	42	STIM=g
1652282	42	RESP=1
1665306	42	STIM=c
1670474	42	RESP=1
1684018	42	STIM=9
1687901	42	RESP=2
1700345	42	STIM=y
1705422	42	RESP=1
1718858	42	STIM=9
1723125	42	RESP=2
1734468	42	STIM=f
1738664	42	RESP=1
1752401	42	STIM=c
1757778	42	RESP=1
1770208	42	STIM=b
1775345	42	RESP=1
1785669	42	STIM=i
1790166	42	RESP=2
1802207	42	STIM=n
1805882	42	RESP=1
1817293	42	STIM=3
1822086	42	RESP=2
1834182	42	STIM=v
1843568	42	RESP=1
1852092	42	STIM=m
1859552	42	RESP=1
1867704	42	STIM=p
1870731	42	RESP=1
1882889	42	STIM=r
1887454	42	RESP=1
1901294	42	STIM=d
1904586	42	RESP=2
1919533	42	STIM=w
1924707	42	RESP=1
1934841	42	STIM=p
1938905	42	RESP=1
1953222	42	STIM=9
1960738	42	RESP=2
1970391	42	STIM=m
1981351	42	RESP=1
1986558	42	STIM=s
1992432	42	RESP=1
2004718	42	STIM=b
2008951	42	RESP=1
2022770	42	STIM=p
2026789	42	RESP=1
2041312	42	STIM=t
2044935	42	RESP=1
2059143	42	STIM=t
2063872	42	RESP=1
2075601	42	STIM=j
2078724	42	RESP=1
2093059	42	STIM=g
2097016	42	RESP=1
2111124	42	STIM=9
2117225	42	RESP=1
2126280	42	STIM=p
2131467	42	RESP=1
2143551	42	STIM=0
2153494	42	RESP=2
2158766	42	STIM=5
2161918	42	RESP=2
2177423	42	STIM=m
2181081	42	RESP=1
2196296	42	STIM=c
2201050	42	RESP=1
2214557	42	STIM=l
2220436	42	RESP=1
2233396	42	STIM=6
2239361	42	RESP=2
2252370	42	STIM=r
2258122	42	RESP=1
2268669	42	STIM=t
2274141	42	RESP=2
2286464	42	STIM=x
2296720	42	RESP=1
2304043	42	STIM=e
2308533	42	RESP=1
2320615	42	STIM=z
2324395	42	RESP=1
2337404	42	STIM=u
2340332	42	RESP=1
2354024	42	STIM=a
2363255	42	RESP=1
2372885	42	STIM=p
2375880	42	RESP=1
2389137	42	STIM=l
2395456	42	RESP=1
2407209	42	STIM=d
2410528	42	RESP=1
2423950	42	STIM=a
2427699	42	RESP=1
2441372	42	STIM=u
2446607	42	RESP=1
2458202	42	STIM=w
2462181	42	RESP=1
2476268	42	STIM=2
2488417	42	RESP=2
2493387	42	STIM=r
2497576	42	RESP=1
2508936	42	STIM=4
2515366	42	RESP=2
2526628	42	STIM=r
2529330	42	RESP=1
2544796	42	STIM=q
2548174	42	RESP=1
2561259	42	STIM=6
2567130	42	RESP=2
2578337	42	STIM=x
2581509	42	RESP=1
2595259	42	STIM=v
2598323	42	RESP=1
2611327	42	STIM=2
2617998	42	RESP=2
2630261	42	STIM=0
2636778	42	RESP=2
2645351	42	STIM=x
2648964	42	RESP=1
2664266	42	STIM=w
2668684	42	RESP=1
2681953	42	STIM=u
2687035	42	RESP=1
2700066	42	STIM=k
2708349	42	RESP=1
2717671	42	STIM=x
2723951	42	RESP=1
2736145	42	STIM=t
2742119	42	RESP=1
2753987	42	STIM=f
2757864	42	RESP=1
2769724	42	STIM=o
2774022	42	RESP=1
2785346	42	STIM=3
2789855	42	RESP=2
2802376	42	STIM=z
2810608	42	RESP=1
2818847	42	STIM=u
2824599	42	RESP=1
2833883	42	STIM=j
2836741	42	RESP=1
2852179	42	STIM=x
2856832	42	RESP=1
2870692	42	STIM=e
2876386	42	RESP=1
2886402	42	STIM=i
2896291	42	RESP=1
2905212	42	STIM=r
2911291	42	RESP=1
2922332	42	STIM=7
2927365	42	RESP=2
2937902	42	STIM=i
2942643	42	RESP=1
2955858	42	STIM=r
2960501	42	RESP=1
2970958	42	STIM=d
2977896	42	RESP=1
2989313	42	STIM=q
2993390	42	RESP=1
3007062	42	STIM=y
3013438	42	RESP=1
3022914	42	STIM=1
3027846	42	RESP=2
3041537	42	STIM=x
3044392	42	RESP=1
3058956	42	STIM=j
3061887	42	RESP=1
3076457	42	STIM=d
3087356	42	RESP=1
3092451	42	STIM=0
3097567	42	RESP=2
3111194	42	STIM=4
3116469	42	RESP=2
3129566	42	STIM=q
3133468	42	RESP=1
3147212	42	STIM=i
3151831	42	RESP=1
3163299	42	STIM=c
3171103	42	RESP=1
