# Original filename: 0047_HJA_2017-06-09.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
36067	42	STIM=3
42759	42	RESP=2
54011	42	STIM=p
60219	42	RESP=1
70343	42	STIM=8
77482	42	RESP=2
87544	42	STIM=o
93269	42	RESP=1
106043	42	STIM=q
111914	42	RESP=1
123938	42	STIM=x
131294	42	RESP=1
140870	42	STIM=o
145953	42	RESP=1
158248	42	STIM=y
164718	42	RESP=1
175576	42	STIM=5
180931	42	RESP=2
194481	42	STIM=o
202397	42	RESP=1
213448	42	STIM=j
220408	42	RESP=1
228560	42	STIM=2
232853	42	RESP=1
244300	42	STIM=b
257374	42	RESP=1
259434	42	STIM=s
263918	42	RESP=1
274816	42	STIM=a
278774	42	RESP=1
291614	42	STIM=f
296885	42	RESP=1
309619	42	STIM=l
317389	42	RESP=1
327734	42	STIM=i
335818	42	RESP=1
342954	42	STIM=o
350943	42	RESP=1
358409	42	STIM=h
363791	42	RESP=1
376552	42	STIM=c
381406	42	RESP=1
391734	42	STIM=1
397542	42	RESP=2
410067	42	STIM=r
418846	42	RESP=1
426667	42	STIM=u
431360	42	RESP=1
441764	42	STIM=4
449502	42	RESP=2
458333	42	STIM=d
461788	42	RESP=1
476554	42	STIM=l
483366	42	RESP=1
491730	42	STIM=v
496108	42	RESP=1
510043	42	STIM=0
514046	42	RESP=1
528435	42	STIM=a
534912	42	RESP=1
547420	42	STIM=g
555899	42	RESP=1
564212	42	STIM=8
569931	42	RESP=2
581407	42	STIM=v
590111	42	RESP=1
600093	42	STIM=p
604075	42	RESP=1
616731	42	STIM=e
622878	42	RESP=1
634424	42	STIM=c
639283	42	RESP=1
653102	42	STIM=i
658857	42	RESP=1
669690	42	STIM=5
674720	42	RESP=2
686792	42	STIM=a
692169	42	RESP=1
702232	42	STIM=j
706858	42	RESP=2
719965	42	STIM=i
723113	42	RESP=1
735493	42	STIM=2
740977	42	RESP=2
753929	42	STIM=3
760145	42	RESP=2
772504	42	STIM=j
779409	42	RESP=1
789287	42	STIM=k
795279	42	RESP=1
804864	42	STIM=5
809485	42	RESP=1
822049	42	STIM=7
830407	42	RESP=2
837711	42	STIM=u
842214	42	RESP=1
854922	42	STIM=y
862961	42	RESP=1
872229	42	STIM=c
878930	42	RESP=1
890039	42	STIM=x
894630	42	RESP=1
908420	42	STIM=9
913139	42	RESP=2
926466	42	STIM=2
932197	42	RESP=2
944636	42	STIM=k
954097	42	RESP=1
960532	42	STIM=2
966708	42	RESP=2
977035	42	STIM=h
980203	42	RESP=1
993975	42	STIM=k
998333	42	RESP=1
1010761	42	STIM=o
1015453	42	RESP=1
1026343	42	STIM=m
1029916	42	RESP=1
1045215	42	STIM=s
1050762	42	RESP=2
1062731	42	STIM=m
1067713	42	RESP=1
1081428	42	STIM=6
1089802	42	RESP=2
1099741	42	STIM=q
1104606	42	RESP=1
1116342	42	STIM=a
1122767	42	RESP=1
1132189	42	STIM=9
1138123	42	RESP=2
1150501	42	STIM=z
1162600	42	RESP=1
1167120	42	STIM=q
1170546	42	RESP=1
1186008	42	STIM=z
1193458	42	RESP=1
1202955	42	STIM=0
1209993	42	RESP=1
1219403	42	STIM=c
1225892	42	RESP=1
1235658	42	STIM=m
1239423	42	RESP=1
1254152	42	STIM=a
1261349	42	RESP=1
1269165	42	STIM=a
1274894	42	RESP=1
1287147	42	STIM=h
1291378	42	RESP=1
1303917	42	STIM=n
1312862	42	RESP=1
1319149	42	STIM=d
1324908	42	RESP=1
1338069	42	STIM=j
1348853	42	RESP=2
1355359	42	STIM=9
1360631	42	RESP=2
1372595	42	STIM=m
1383520	42	RESP=1
1391470	42	STIM=7
1397841	42	RESP=1
1407238	42	STIM=o
1418188	42	RESP=1
1424152	42	STIM=a
1429737	42	RESP=1
1442404	42	STIM=9
1450870	42	RESP=2
1457888	42	STIM=k
1464016	42	RESP=1
1475605	42	STIM=i
1484319	42	RESP=1
1494165	42	STIM=q
1499229	42	RESP=1
1512854	42	STIM=b
1521968	42	RESP=1
1529492	42	STIM=l
1533509	42	RESP=1
1547142	42	STIM=t
1551954	42	RESP=1
1565665	42	STIM=i
1570132	42	RESP=1
1581274	42	STIM=o
1584515	42	RESP=1
1597884	42	STIM=w
1603406	42	RESP=1
1616240	42	STIM=v
1625420	42	RESP=1
1632560	42	STIM=w
1638392	42	RESP=2
1649756	42	STIM=f
1652980	42	RESP=1
1667327	42	STIM=y
1674453	42	RESP=1
1686076	42	STIM=z
1691181	42	RESP=1
1703331	42	STIM=8
1712917	42	RESP=1
1718956	42	STIM=z
1724528	42	RESP=1
1735837	42	STIM=p
1743275	42	RESP=1
1751708	42	STIM=q
1764894	42	RESP=1
1769198	42	STIM=d
1773220	42	RESP=2
1787709	42	STIM=u
1790552	42	RESP=1
1804343	42	STIM=5
1812418	42	RESP=1
1821706	42	STIM=u
1826432	42	RESP=1
1840213	42	STIM=q
1846083	42	RESP=1
1857256	42	STIM=z
1861778	42	RESP=1
1875531	42	STIM=g
1880264	42	RESP=1
1894099	42	STIM=v
1900563	42	RESP=1
1913013	42	STIM=u
1917251	42	RESP=1
1930495	42	STIM=j
1936991	42	RESP=1
1947042	42	STIM=m
1952479	42	RESP=1
1962302	42	STIM=0
1967816	42	RESP=1
1977616	42	STIM=e
1986395	42	RESP=1
1992829	42	STIM=d
1996491	42	RESP=1
2009179	42	STIM=f
2013214	42	RESP=1
2027293	42	STIM=u
2031376	42	RESP=1
2044115	42	STIM=m
2052700	42	RESP=1
2059519	42	STIM=p
2064405	42	RESP=1
2078280	42	STIM=8
2083791	42	RESP=2
2095455	42	STIM=o
2100201	42	RESP=1
2112774	42	STIM=c
2116103	42	RESP=1
2131385	42	STIM=9
2138527	42	RESP=2
2149563	42	STIM=s
2153491	42	RESP=1
2164573	42	STIM=2
2170421	42	RESP=2
2180573	42	STIM=s
2187403	42	RESP=1
2196543	42	STIM=s
2204161	42	RESP=1
2214617	42	STIM=x
2222010	42	RESP=1
2231286	42	STIM=p
2235958	42	RESP=1
2249689	42	STIM=e
2254140	42	RESP=1
2265016	42	STIM=m
2273942	42	RESP=1
2282965	42	STIM=p
2287166	42	RESP=2
2299239	42	STIM=u
2304351	42	RESP=1
2317144	42	STIM=t
2320513	42	RESP=1
2332800	42	STIM=i
2337862	42	RESP=1
2348204	42	STIM=i
2352707	42	RESP=1
2365024	42	STIM=b
2370329	42	RESP=1
2380715	42	STIM=l
2389236	42	RESP=1
2395799	42	STIM=c
2403178	42	RESP=1
2413759	42	STIM=s
2419823	42	RESP=1
2430057	42	STIM=k
2436353	42	RESP=1
2447491	42	STIM=t
2451526	42	RESP=1
2465120	42	STIM=r
2469245	42	RESP=1
2481805	42	STIM=e
2486239	42	RESP=1
2498380	42	STIM=9
2502998	42	RESP=2
2516696	42	STIM=b
2524802	42	RESP=1
2532569	42	STIM=z
2536429	42	RESP=1
2548395	42	STIM=9
2554753	42	RESP=2
2567107	42	STIM=b
2572204	42	RESP=1
2583853	42	STIM=a
2588068	42	RESP=1
2600912	42	STIM=u
2606869	42	RESP=1
2619783	42	STIM=c
2624374	42	RESP=1
2635567	42	STIM=3
2644168	42	RESP=2
2650796	42	STIM=j
2655210	42	RESP=1
2667769	42	STIM=h
2673552	42	RESP=1
2685826	42	STIM=q
2690534	42	RESP=1
2702503	42	STIM=n
2711762	42	RESP=1
2720977	42	STIM=4
2726088	42	RESP=1
2738715	42	STIM=7
2745094	42	RESP=2
2755022	42	STIM=c
2760272	42	RESP=1
2773311	42	STIM=j
2777560	42	RESP=1
2790199	42	STIM=q
2796891	42	RESP=1
2808236	42	STIM=w
2811672	42	RESP=1
2826553	42	STIM=s
2835904	42	RESP=1
2844712	42	STIM=c
2848872	42	RESP=1
2863417	42	STIM=h
2869618	42	RESP=1
2880338	42	STIM=w
2884102	42	RESP=1
2897704	42	STIM=p
2901376	42	RESP=1
2915462	42	STIM=o
2920648	42	RESP=1
2933562	42	STIM=q
2938801	42	RESP=1
2951457	42	STIM=w
2954239	42	RESP=1
2969366	42	STIM=w
2972887	42	RESP=1
2986710	42	STIM=8
2992486	42	RESP=2
3005319	42	STIM=j
3010195	42	RESP=1
3023778	42	STIM=z
3027954	42	RESP=1
3041387	42	STIM=6
3049877	42	RESP=2
3057653	42	STIM=a
3065321	42	RESP=1
3074508	42	STIM=f
3082810	42	RESP=1
3090800	42	STIM=x
3098089	42	RESP=1
3107275	42	STIM=x
3110937	42	RESP=1
3122732	42	STIM=6
3131145	42	RESP=2
3140223	42	STIM=d
3145865	42	RESP=1
3157293	42	STIM=w
3164563	42	RESP=1
3175479	42	STIM=u
3183908	42	RESP=1
3194283	42	STIM=j
3201467	42	RESP=1
3210135	42	STIM=z
3213318	42	RESP=1
3226630	42	STIM=n
3233946	42	RESP=1
3245478	42	STIM=j
3248961	42	RESP=1
3261170	42	STIM=9
3266303	42	RESP=1
3278436	42	STIM=3
3285403	42	RESP=2
3295425	42	STIM=h
3300010	42	RESP=1
3311245	42	STIM=r
3322149	42	RESP=1
3329741	42	STIM=x
3334709	42	RESP=1
3347355	42	STIM=j
3352224	42	RESP=1
3362951	42	STIM=r
3365948	42	RESP=1
3379049	42	STIM=r
3384176	42	RESP=1
3394411	42	STIM=u
3398446	42	RESP=1
3409510	42	STIM=2
3414793	42	RESP=2
3425838	42	STIM=7
3431513	42	RESP=2
3444496	42	STIM=j
3452471	42	RESP=1
3461989	42	STIM=c
3471519	42	RESP=1
3479255	42	STIM=j
3485227	42	RESP=1
3497723	42	STIM=q
3504157	42	RESP=1
3516578	42	STIM=4
3521214	42	RESP=1
3535115	42	STIM=i
3539935	42	RESP=1
3550727	42	STIM=l
3554822	42	RESP=1
3566600	42	STIM=6
3573020	42	RESP=2
3585484	42	STIM=j
3588327	42	RESP=1
3604083	42	STIM=e
3608649	42	RESP=1
3622717	42	STIM=8
3629099	42	RESP=2
3640157	42	STIM=m
3644854	42	RESP=1
3655470	42	STIM=0
3661984	42	RESP=1
3672439	42	STIM=e
3679478	42	RESP=1
3688454	42	STIM=g
3694490	42	RESP=1
3706319	42	STIM=w
3713658	42	RESP=1
3723588	42	STIM=u
3734105	42	RESP=1
3741388	42	STIM=s
3748814	42	RESP=1
3758562	42	STIM=j
3763867	42	RESP=1
3774494	42	STIM=3
3786810	42	RESP=2
3790187	42	STIM=r
3794519	42	RESP=1
3807119	42	STIM=u
3823757	42	RESP=1
3824752	42	STIM=3
3830050	42	RESP=2
3840079	42	STIM=a
3844764	42	RESP=1
3857097	42	STIM=d
3861522	42	RESP=1
3873217	42	STIM=j
3879578	42	RESP=1
3889971	42	STIM=b
3893702	42	RESP=1
3908558	42	STIM=j
3915023	42	RESP=1
3925916	42	STIM=9
3933652	42	RESP=1
3943231	42	STIM=y
3946872	42	RESP=1
3960435	42	STIM=w
3965157	42	RESP=1
3977202	42	STIM=w
3983421	42	RESP=1
3995131	42	STIM=c
4001212	42	RESP=1
4010881	42	STIM=v
4016334	42	RESP=1
4028305	42	STIM=n
4031523	42	RESP=1
4046819	42	STIM=o
4052020	42	RESP=1
4062409	42	STIM=i
4067775	42	RESP=1
4078570	42	STIM=o
4082149	42	RESP=1
4093773	42	STIM=e
4098555	42	RESP=1
4109884	42	STIM=a
4113061	42	RESP=1
4125438	42	STIM=y
4131137	42	RESP=1
4142363	42	STIM=e
4146815	42	RESP=1
4159136	42	STIM=a
4164027	42	RESP=1
4174327	42	STIM=4
4182944	42	RESP=2
4190117	42	STIM=k
4194623	42	RESP=1
4207693	42	STIM=r
4217081	42	RESP=1
4226454	42	STIM=z
4233937	42	RESP=1
4242809	42	STIM=p
4246952	42	RESP=1
4258949	42	STIM=1
4271989	42	RESP=2
4276586	42	STIM=x
4286352	42	RESP=1
4294677	42	STIM=p
4302112	42	RESP=1
4311836	42	STIM=w
4318814	42	RESP=1
4327591	42	STIM=x
4332210	42	RESP=1
4343734	42	STIM=k
4350403	42	RESP=1
4359058	42	STIM=k
4362709	42	RESP=1
4374666	42	STIM=y
4379996	42	RESP=1
4392259	42	STIM=r
4397995	42	RESP=1
4410290	42	STIM=t
4416363	42	RESP=1
4427160	42	STIM=i
4434159	42	RESP=1
4443632	42	STIM=q
4447540	42	RESP=1
4461544	42	STIM=v
4466497	42	RESP=1
4477756	42	STIM=p
4480538	42	RESP=1
4493110	42	STIM=1
4501862	42	RESP=2
4511744	42	STIM=z
4519306	42	RESP=1
4527997	42	STIM=p
4535867	42	RESP=1
4544996	42	STIM=g
4552544	42	RESP=1
4563536	42	STIM=e
4573113	42	RESP=1
4580478	42	STIM=n
4585563	42	RESP=1
4597804	42	STIM=z
4605718	42	RESP=1
4613307	42	STIM=x
4618797	42	RESP=1
4631598	42	STIM=7
4640427	42	RESP=2
4648024	42	STIM=m
4655698	42	RESP=1
4663200	42	STIM=6
