# Original filename: 0048_LCP_2016-10-10.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
35581	42	STIM=y
39668	42	RESP=1
51626	42	STIM=1
57946	42	RESP=2
68702	42	STIM=m
72921	42	RESP=1
84680	42	STIM=b
94140	42	RESP=1
103341	42	STIM=m
114147	42	RESP=1
118761	42	STIM=5
124112	42	RESP=1
136462	42	STIM=q
140373	42	RESP=1
151691	42	STIM=x
155477	42	RESP=1
166856	42	STIM=w
172987	42	RESP=1
185213	42	STIM=s
190165	42	RESP=1
200517	42	STIM=5
207987	42	RESP=2
215930	42	STIM=4
224079	42	RESP=2
233327	42	STIM=n
237144	42	RESP=1
250657	42	STIM=k
257532	42	RESP=1
266906	42	STIM=j
271853	42	RESP=1
282948	42	STIM=i
287960	42	RESP=2
301087	42	STIM=k
306722	42	RESP=1
316985	42	STIM=s
328159	42	RESP=1
332324	42	STIM=e
338520	42	RESP=1
350105	42	STIM=4
358164	42	RESP=2
367796	42	STIM=q
372968	42	RESP=1
383596	42	STIM=1
388321	42	RESP=2
398945	42	STIM=c
406526	42	RESP=1
415542	42	STIM=9
421822	42	RESP=2
433296	42	STIM=k
436949	42	RESP=1
448316	42	STIM=1
453725	42	RESP=2
465063	42	STIM=v
471634	42	RESP=1
480229	42	STIM=t
486353	42	RESP=1
499102	42	STIM=q
503052	42	RESP=1
516129	42	STIM=e
525819	42	RESP=1
533430	42	STIM=l
540187	42	RESP=1
549128	42	STIM=s
553357	42	RESP=1
567469	42	STIM=u
573713	42	RESP=1
582903	42	STIM=w
585950	42	RESP=1
598200	42	STIM=n
606668	42	RESP=1
616701	42	STIM=c
620073	42	RESP=1
633281	42	STIM=8
644233	42	RESP=1
651503	42	STIM=i
656045	42	RESP=1
666904	42	STIM=7
673886	42	RESP=2
683603	42	STIM=f
687064	42	RESP=1
698690	42	STIM=o
702136	42	RESP=1
714402	42	STIM=l
720239	42	RESP=1
733390	42	STIM=5
737290	42	RESP=2
751092	42	STIM=b
757970	42	RESP=1
768308	42	STIM=i
774636	42	RESP=1
783613	42	STIM=t
787506	42	RESP=1
800480	42	STIM=0
809239	42	RESP=2
818026	42	STIM=e
824730	42	RESP=1
833832	42	STIM=v
845521	42	RESP=1
852228	42	STIM=q
859164	42	RESP=1
869994	42	STIM=r
873823	42	RESP=1
887656	42	STIM=c
892954	42	RESP=1
905150	42	STIM=r
912788	42	RESP=1
923886	42	STIM=o
929872	42	RESP=1
941019	42	STIM=i
944609	42	RESP=1
959423	42	STIM=7
964786	42	RESP=2
976206	42	STIM=2
983377	42	RESP=2
992681	42	STIM=h
1000904	42	RESP=1
1009446	42	STIM=b
1012977	42	RESP=1
1026044	42	STIM=u
1029928	42	RESP=1
1044806	42	STIM=g
1049579	42	RESP=1
1062487	42	STIM=h
1069573	42	RESP=1
1079996	42	STIM=q
1084434	42	RESP=1
1097012	42	STIM=b
1101993	42	RESP=1
1112406	42	STIM=g
1120919	42	RESP=1
1128559	42	STIM=n
1134892	42	RESP=1
1144598	42	STIM=k
1147483	42	RESP=1
1161533	42	STIM=v
1167906	42	RESP=1
1178858	42	STIM=r
1186220	42	RESP=1
1195840	42	STIM=z
1199987	42	RESP=1
1212193	42	STIM=m
1223827	42	RESP=1
1230935	42	STIM=a
1236304	42	RESP=1
1247164	42	STIM=4
1256702	42	RESP=2
1265805	42	STIM=j
1272478	42	RESP=2
1284452	42	STIM=u
1289883	42	RESP=2
1300211	42	STIM=n
1310806	42	RESP=1
1316462	42	STIM=b
1322920	42	RESP=1
1332532	42	STIM=x
1336867	42	RESP=1
1347668	42	STIM=z
1355187	42	RESP=1
1365806	42	STIM=p
1369695	42	RESP=1
1384352	42	STIM=r
1390385	42	RESP=1
1399836	42	STIM=n
1404783	42	RESP=1
1418155	42	STIM=x
1423614	42	RESP=1
1436029	42	STIM=z
1445390	42	RESP=1
1454054	42	STIM=v
1459030	42	RESP=1
1470187	42	STIM=m
1477911	42	RESP=1
1487114	42	STIM=q
1490154	42	RESP=1
1505867	42	STIM=f
1511811	42	RESP=1
1522728	42	STIM=x
1531895	42	RESP=1
1541669	42	STIM=m
1547090	42	RESP=1
1558560	42	STIM=x
1563522	42	RESP=1
1575609	42	STIM=s
1583460	42	RESP=1
1592639	42	STIM=1
1601155	42	RESP=2
1611089	42	STIM=j
1615571	42	RESP=1
1627879	42	STIM=a
1633545	42	RESP=1
1645760	42	STIM=f
1650321	42	RESP=1
1660886	42	STIM=t
1665116	42	RESP=1
1676211	42	STIM=k
1680137	42	RESP=2
1694537	42	STIM=1
1707307	42	RESP=2
1710364	42	STIM=h
1718544	42	RESP=1
1726750	42	STIM=k
1732456	42	RESP=1
1743348	42	STIM=a
1751789	42	RESP=1
1761514	42	STIM=1
1769975	42	RESP=2
1778603	42	STIM=g
1788010	42	RESP=1
1796580	42	STIM=9
1804193	42	RESP=2
1811673	42	STIM=j
1817362	42	RESP=1
1828060	42	STIM=y
1835713	42	RESP=1
1846949	42	STIM=l
1849567	42	RESP=1
1864128	42	STIM=8
1871410	42	RESP=2
1882789	42	STIM=k
1888020	42	RESP=1
1898278	42	STIM=x
1901823	42	RESP=1
1913751	42	STIM=b
1918776	42	RESP=1
1930025	42	STIM=h
1935054	42	RESP=1
1948589	42	STIM=3
1954489	42	RESP=1
1967490	42	STIM=e
1975213	42	RESP=1
1985886	42	STIM=w
1990162	42	RESP=1
2004139	42	STIM=9
2010046	42	RESP=2
2022158	42	STIM=m
2028620	42	RESP=1
2040769	42	STIM=e
2048174	42	RESP=1
2057972	42	STIM=l
