# Original filename: 0049_GMC_2017-05-10.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37271	42	STIM=3
44936	42	RESP=2
54434	42	STIM=r
58648	42	RESP=1
70098	42	STIM=s
72976	42	RESP=1
86758	42	STIM=v
91761	42	RESP=1
102198	42	STIM=8
108546	42	RESP=2
121066	42	STIM=2
132090	42	RESP=2
136809	42	STIM=i
143698	42	RESP=1
153244	42	STIM=0
156945	42	RESP=2
169923	42	STIM=4
176854	42	RESP=2
188454	42	STIM=e
192260	42	RESP=1
204475	42	STIM=d
208795	42	RESP=1
222376	42	STIM=b
227867	42	RESP=1
237652	42	STIM=c
241415	42	RESP=1
255578	42	STIM=d
260350	42	RESP=1
271102	42	STIM=6
277493	42	RESP=2
290046	42	STIM=l
293485	42	RESP=1
308200	42	STIM=s
313176	42	RESP=1
323640	42	STIM=b
328820	42	RESP=1
339903	42	STIM=q
344117	42	RESP=1
358894	42	STIM=6
364031	42	RESP=1
374345	42	STIM=q
377987	42	RESP=1
390578	42	STIM=7
395120	42	RESP=1
407939	42	STIM=o
413346	42	RESP=1
425402	42	STIM=b
430455	42	RESP=1
443960	42	STIM=w
447632	42	RESP=1
460968	42	STIM=q
470350	42	RESP=1
476073	42	STIM=5
479779	42	RESP=2
491884	42	STIM=f
498474	42	RESP=2
508515	42	STIM=m
513906	42	RESP=1
525015	42	STIM=f
530242	42	RESP=1
542336	42	STIM=i
546124	42	RESP=1
558524	42	STIM=x
563257	42	RESP=2
573828	42	STIM=m
578473	42	RESP=1
591157	42	STIM=d
596139	42	RESP=1
609876	42	STIM=p
612913	42	RESP=1
626154	42	STIM=j
629539	42	RESP=1
645069	42	STIM=l
648602	42	RESP=1
662250	42	STIM=x
668552	42	RESP=1
678519	42	STIM=p
684192	42	RESP=1
697500	42	STIM=e
700232	42	RESP=1
714810	42	STIM=b
723438	42	RESP=1
733567	42	STIM=f
737599	42	RESP=1
751379	42	STIM=i
755949	42	RESP=1
769391	42	STIM=t
773686	42	RESP=1
788203	42	STIM=7
792508	42	RESP=2
804598	42	STIM=z
809242	42	RESP=1
823331	42	STIM=g
828193	42	RESP=1
839417	42	STIM=3
845650	42	RESP=2
855961	42	STIM=z
860116	42	RESP=1
873149	42	STIM=r
879560	42	RESP=1
890637	42	STIM=m
896896	42	RESP=1
905654	42	STIM=w
911265	42	RESP=1
922679	42	STIM=g
928182	42	RESP=1
940310	42	STIM=g
944226	42	RESP=1
958866	42	STIM=y
964903	42	RESP=1
975760	42	STIM=3
982993	42	RESP=1
991649	42	STIM=a
997642	42	RESP=1
1009304	42	STIM=8
1023215	42	RESP=2
1028053	42	STIM=i
1031828	42	RESP=1
1044331	42	STIM=z
1048536	42	RESP=1
1061703	42	STIM=9
1070114	42	RESP=2
1077429	42	STIM=l
1082902	42	RESP=1
1095953	42	STIM=g
1101895	42	RESP=1
1114494	42	STIM=d
1120904	42	RESP=1
1129998	42	STIM=2
1138536	42	RESP=2
1145941	42	STIM=0
1151636	42	RESP=1
1162138	42	STIM=y
1169500	42	RESP=1
1177191	42	STIM=y
1187458	42	RESP=1
1192768	42	STIM=u
1197231	42	RESP=1
1210697	42	STIM=9
1215324	42	RESP=2
1228041	42	STIM=b
1233263	42	RESP=1
1243906	42	STIM=e
1250725	42	RESP=1
1261416	42	STIM=6
1268135	42	RESP=2
1276696	42	STIM=h
1282048	42	RESP=1
1295607	42	STIM=b
1302287	42	RESP=1
1310625	42	STIM=a
1316226	42	RESP=1
1327413	42	STIM=l
1331104	42	RESP=1
1343889	42	STIM=n
1350561	42	RESP=1
1359362	42	STIM=h
1363039	42	RESP=2
1376422	42	STIM=p
1380171	42	RESP=1
1394013	42	STIM=n
1400019	42	RESP=1
1411697	42	STIM=n
1415749	42	RESP=1
1430310	42	STIM=h
1437441	42	RESP=1
1446925	42	STIM=y
1455073	42	RESP=1
1462341	42	STIM=m
1467832	42	RESP=1
1481166	42	STIM=7
1486478	42	RESP=2
1498792	42	STIM=y
1506835	42	RESP=1
1517746	42	STIM=6
1525372	42	RESP=2
1535477	42	STIM=p
1538980	42	RESP=1
1553715	42	STIM=1
1558517	42	RESP=2
1571769	42	STIM=4
1575460	42	RESP=2
1586944	42	STIM=5
1594748	42	RESP=1
1602835	42	STIM=t
1608061	42	RESP=1
1619366	42	STIM=h
1622328	42	RESP=1
1637470	42	STIM=s
1642420	42	RESP=1
1655374	42	STIM=j
1659258	42	RESP=1
1670842	42	STIM=3
1675363	42	RESP=2
1687243	42	STIM=a
1692286	42	RESP=1
1702857	42	STIM=t
1707347	42	RESP=1
1718253	42	STIM=a
1722973	42	RESP=1
1734802	42	STIM=k
1738241	42	RESP=1
1752965	42	STIM=w
1758456	42	RESP=1
1770309	42	STIM=q
1773082	42	RESP=1
1785667	42	STIM=z
1789687	42	RESP=1
1801446	42	STIM=g
1806189	42	RESP=1
1818761	42	STIM=8
1824407	42	RESP=2
1835730	42	STIM=p
1840920	42	RESP=1
1851411	42	STIM=o
1855840	42	RESP=1
1869565	42	STIM=b
1875767	42	RESP=1
1885787	42	STIM=u
1890803	42	RESP=1
1904454	42	STIM=4
1912553	42	RESP=2
1919470	42	STIM=t
1923274	42	RESP=1
1936753	42	STIM=j
1939946	42	RESP=1
1953956	42	STIM=x
1957319	42	RESP=1
1968992	42	STIM=p
1974843	42	RESP=1
1987550	42	STIM=j
1995527	42	RESP=1
2005525	42	STIM=v
2013625	42	RESP=1
2020758	42	STIM=r
2024977	42	RESP=1
2037115	42	STIM=d
2040095	42	RESP=1
2054996	42	STIM=b
2059258	42	RESP=1
2070415	42	STIM=l
2075599	42	RESP=1
2085884	42	STIM=c
2096831	42	RESP=1
2103002	42	STIM=b
2106720	42	RESP=1
2120630	42	STIM=w
2124379	42	RESP=1
2139117	42	STIM=o
2143840	42	RESP=1
2157616	42	STIM=7
2161842	42	RESP=2
2175542	42	STIM=e
2180533	42	RESP=1
2192002	42	STIM=5
2197026	42	RESP=2
2210261	42	STIM=v
2213374	42	RESP=1
2227855	42	STIM=e
2233978	42	RESP=1
2246850	42	STIM=i
2251604	42	RESP=1
2264055	42	STIM=8
2269882	42	RESP=2
2282422	42	STIM=0
2286795	42	RESP=2
2300614	42	STIM=d
2308358	42	RESP=1
2319419	42	STIM=r
2326867	42	RESP=1
2338257	42	STIM=q
2341262	42	RESP=1
2356371	42	STIM=o
2363140	42	RESP=1
2373051	42	STIM=h
2378233	42	RESP=1
2388371	42	STIM=8
2392425	42	RESP=2
2405438	42	STIM=q
2411631	42	RESP=1
2424298	42	STIM=9
2428208	42	RESP=2
2441734	42	STIM=c
2446041	42	RESP=1
2460090	42	STIM=w
2466306	42	RESP=1
2477490	42	STIM=m
2485290	42	RESP=1
2493632	42	STIM=r
2496153	42	RESP=1
2510630	42	STIM=o
2513643	42	RESP=1
2526387	42	STIM=w
2530596	42	RESP=1
2544798	42	STIM=9
2549688	42	RESP=2
2561464	42	STIM=x
2565490	42	RESP=1
2580228	42	STIM=a
2586851	42	RESP=1
2597861	42	STIM=w
2600827	42	RESP=1
2614134	42	STIM=r
2618467	42	RESP=1
2629660	42	STIM=h
2634856	42	RESP=1
2647943	42	STIM=b
2652487	42	RESP=1
2663791	42	STIM=7
2667648	42	RESP=2
2679793	42	STIM=l
2686604	42	RESP=1
2694982	42	STIM=t
2697681	42	RESP=1
2713902	42	STIM=b
2719621	42	RESP=1
2730392	42	STIM=d
2733816	42	RESP=1
2749002	42	STIM=r
2753800	42	RESP=1
2764759	42	STIM=2
2769555	42	RESP=2
2780988	42	STIM=x
2786009	42	RESP=1
2798679	42	STIM=y
2802744	42	RESP=2
2814521	42	STIM=7
2819180	42	RESP=2
2831376	42	STIM=a
2834711	42	RESP=1
2849792	42	STIM=t
2856109	42	RESP=1
2866260	42	STIM=v
2869920	42	RESP=1
2882854	42	STIM=c
2886527	42	RESP=2
2898691	42	STIM=4
2904523	42	RESP=2
2915094	42	STIM=r
2918856	42	RESP=1
2932496	42	STIM=x
2939327	42	RESP=1
2948445	42	STIM=p
2955280	42	RESP=1
2965260	42	STIM=x
2969621	42	RESP=1
2982109	42	STIM=w
2987044	42	RESP=1
3000788	42	STIM=u
3004656	42	RESP=1
3016016	42	STIM=p
3020583	42	RESP=1
3031231	42	STIM=e
3037909	42	RESP=1
3049389	42	STIM=2
3054155	42	RESP=2
3068212	42	STIM=l
3071953	42	RESP=1
3083578	42	STIM=e
3091888	42	RESP=1
3099437	42	STIM=n
3102468	42	RESP=1
3115256	42	STIM=y
3119291	42	RESP=1
3133404	42	STIM=e
3136354	42	RESP=1
3149983	42	STIM=m
3154215	42	RESP=1
3165891	42	STIM=y
3171128	42	RESP=1
3184649	42	STIM=j
3188154	42	RESP=1
3201043	42	STIM=c
3206220	42	RESP=1
3218136	42	STIM=p
3226219	42	RESP=1
3236734	42	STIM=d
3242225	42	RESP=1
3255698	42	STIM=o
3259074	42	RESP=2
3272947	42	STIM=s
3279139	42	RESP=1
3290735	42	STIM=j
3296684	42	RESP=1
