# Original filename: 0052_CAQ_2016-11-30.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
36554	42	STIM=l
47552	42	RESP=1
55218	42	STIM=2
61655	42	RESP=2
71654	42	STIM=j
76323	42	RESP=1
88445	42	STIM=u
96870	42	RESP=2
103763	42	STIM=r
106552	42	RESP=1
118768	42	STIM=z
124534	42	RESP=1
137720	42	STIM=z
146068	42	RESP=1
156137	42	STIM=v
160917	42	RESP=1
174989	42	STIM=t
180175	42	RESP=1
192774	42	STIM=m
197225	42	RESP=1
210800	42	STIM=q
213918	42	RESP=1
228093	42	STIM=e
233713	42	RESP=1
246500	42	STIM=g
254594	42	RESP=1
265404	42	STIM=t
270549	42	RESP=1
281289	42	STIM=4
287749	42	RESP=1
296595	42	STIM=4
302642	42	RESP=1
315337	42	STIM=5
323711	42	RESP=2
331711	42	STIM=k
336747	42	RESP=2
348328	42	STIM=l
352714	42	RESP=1
363683	42	STIM=c
367372	42	RESP=2
382362	42	STIM=1
391187	42	RESP=2
400687	42	STIM=h
405918	42	RESP=1
416478	42	STIM=x
423309	42	RESP=1
432650	42	STIM=f
437548	42	RESP=2
448177	42	STIM=j
451393	42	RESP=1
466593	42	STIM=s
471577	42	RESP=1
481878	42	STIM=l
485890	42	RESP=1
498351	42	STIM=a
503349	42	RESP=1
514484	42	STIM=z
519357	42	RESP=1
531902	42	STIM=d
539832	42	RESP=1
547609	42	STIM=d
552697	42	RESP=1
565900	42	STIM=k
570408	42	RESP=1
581685	42	STIM=c
589694	42	RESP=1
596956	42	STIM=j
601659	42	RESP=1
613227	42	STIM=k
616536	42	RESP=1
631744	42	STIM=k
635163	42	RESP=1
647617	42	STIM=p
652350	42	RESP=1
665535	42	STIM=j
672877	42	RESP=1
681984	42	STIM=h
686546	42	RESP=2
698386	42	STIM=a
707112	42	RESP=1
715865	42	STIM=d
721809	42	RESP=1
733218	42	STIM=f
739071	42	RESP=1
749564	42	STIM=6
755795	42	RESP=2
768382	42	STIM=e
776369	42	RESP=1
785581	42	STIM=9
790881	42	RESP=1
802938	42	STIM=k
808179	42	RESP=1
818322	42	STIM=a
826375	42	RESP=1
833925	42	STIM=c
838257	42	RESP=1
849016	42	STIM=q
853512	42	RESP=1
868008	42	STIM=e
875142	42	RESP=1
884090	42	STIM=r
888625	42	RESP=1
899184	42	STIM=h
906622	42	RESP=1
918128	42	STIM=8
927318	42	RESP=2
936280	42	STIM=m
942575	42	RESP=1
951676	42	STIM=m
953992	42	RESP=1
970189	42	STIM=4
977971	42	RESP=2
985898	42	STIM=g
995303	42	RESP=1
1003166	42	STIM=3
1007862	42	RESP=2
1020207	42	STIM=c
1025608	42	RESP=1
1035260	42	STIM=5
