# Original filename: 0053_BOP_2017-05-26.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
35794	42	STIM=z
39354	42	RESP=1
51323	42	STIM=m
55664	42	RESP=1
68412	42	STIM=b
74515	42	RESP=1
87254	42	STIM=s
95472	42	RESP=1
104242	42	STIM=e
109165	42	RESP=1
119631	42	STIM=w
127120	42	RESP=1
136512	42	STIM=t
143778	42	RESP=2
152542	42	STIM=d
155845	42	RESP=1
168366	42	STIM=7
175942	42	RESP=2
185474	42	STIM=2
191951	42	RESP=2
201933	42	STIM=d
209445	42	RESP=1
217715	42	STIM=l
221923	42	RESP=1
235860	42	STIM=1
240133	42	RESP=2
252844	42	STIM=u
257206	42	RESP=1
270619	42	STIM=r
280293	42	RESP=1
288233	42	STIM=4
293903	42	RESP=2
304176	42	STIM=4
309576	42	RESP=1
319451	42	STIM=c
324160	42	RESP=1
338043	42	STIM=p
342342	42	RESP=1
353787	42	STIM=1
363545	42	RESP=2
372026	42	STIM=1
377297	42	RESP=2
388324	42	STIM=n
394053	42	RESP=2
405695	42	STIM=g
409488	42	RESP=1
421557	42	STIM=9
427043	42	RESP=2
438742	42	STIM=9
444544	42	RESP=2
454906	42	STIM=x
458496	42	RESP=1
470188	42	STIM=j
478521	42	RESP=1
488752	42	STIM=g
493539	42	RESP=1
507571	42	STIM=g
510877	42	RESP=1
523264	42	STIM=z
528440	42	RESP=1
541113	42	STIM=v
548994	42	RESP=1
559491	42	STIM=1
564826	42	RESP=2
577439	42	STIM=r
583695	42	RESP=1
593177	42	STIM=5
604083	42	RESP=2
612055	42	STIM=v
617206	42	RESP=1
627155	42	STIM=y
633135	42	RESP=1
645216	42	STIM=l
649492	42	RESP=1
661066	42	STIM=g
664141	42	RESP=1
676628	42	STIM=8
682537	42	RESP=2
695356	42	STIM=e
704440	42	RESP=1
712391	42	STIM=d
720868	42	RESP=1
730700	42	STIM=i
738460	42	RESP=1
747222	42	STIM=3
751949	42	RESP=2
764939	42	STIM=l
769777	42	RESP=1
780330	42	STIM=f
784884	42	RESP=1
797244	42	STIM=g
801242	42	RESP=1
814529	42	STIM=u
820297	42	RESP=1
833067	42	STIM=w
841374	42	RESP=1
848473	42	STIM=8
861884	42	RESP=2
864556	42	STIM=j
872571	42	RESP=1
880473	42	STIM=6
886832	42	RESP=2
897745	42	STIM=7
904739	42	RESP=1
915587	42	STIM=p
921476	42	RESP=1
933584	42	STIM=m
939035	42	RESP=1
951484	42	STIM=0
956092	42	RESP=2
968003	42	STIM=m
972819	42	RESP=1
985217	42	STIM=7
993277	42	RESP=2
1003438	42	STIM=f
1011331	42	RESP=2
1020235	42	STIM=3
1026971	42	RESP=2
1037500	42	STIM=l
1040518	42	RESP=1
1055377	42	STIM=e
1059240	42	RESP=1
1071446	42	STIM=o
1074621	42	RESP=1
1088175	42	STIM=n
1092327	42	RESP=1
1105188	42	STIM=k
1114918	42	RESP=1
1122517	42	STIM=u
1127286	42	RESP=1
1139636	42	STIM=m
1144812	42	RESP=1
1155136	42	STIM=6
1160803	42	RESP=2
1172217	42	STIM=r
1176334	42	RESP=1
1190833	42	STIM=p
1194270	42	RESP=1
1207568	42	STIM=k
1211986	42	RESP=1
1225431	42	STIM=b
1232389	42	RESP=1
1243057	42	STIM=k
1247597	42	RESP=1
1261859	42	STIM=s
1265799	42	RESP=1
1280706	42	STIM=u
1284921	42	RESP=1
1299080	42	STIM=q
1306351	42	RESP=1
1317391	42	STIM=d
1327898	42	RESP=1
1335779	42	STIM=u
1344527	42	RESP=1
1351890	42	STIM=m
1355103	42	RESP=1
1368130	42	STIM=v
1373936	42	RESP=1
1386611	42	STIM=x
1392887	42	RESP=1
1402636	42	STIM=y
1411985	42	RESP=1
1420704	42	STIM=b
1429835	42	RESP=1
1439534	42	STIM=z
1445968	42	RESP=1
1455634	42	STIM=p
1462139	42	RESP=1
1470747	42	STIM=w
1476845	42	RESP=1
1488400	42	STIM=q
1492625	42	RESP=1
1506442	42	STIM=x
1511566	42	RESP=1
1524583	42	STIM=k
