# Original filename: 0057_JSI_2017-08-21.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38965	42	STIM=m
45473	42	RESP=1
54351	42	STIM=j
62549	42	RESP=1
69625	42	STIM=o
74288	42	RESP=1
87052	42	STIM=c
90236	42	RESP=1
103706	42	STIM=f
109494	42	RESP=1
120320	42	STIM=4
128803	42	RESP=2
135611	42	STIM=j
143051	42	RESP=1
153838	42	STIM=5
158702	42	RESP=2
171030	42	STIM=r
173916	42	RESP=1
187776	42	STIM=m
193014	42	RESP=1
205643	42	STIM=5
212410	42	RESP=2
224473	42	STIM=r
231053	42	RESP=1
242615	42	STIM=m
247132	42	RESP=1
259007	42	STIM=9
265503	42	RESP=2
276605	42	STIM=2
282629	42	RESP=1
294750	42	STIM=h
298311	42	RESP=1
309978	42	STIM=6
313625	42	RESP=2
325346	42	STIM=u
330922	42	RESP=1
340586	42	STIM=i
344301	42	RESP=1
356009	42	STIM=m
359365	42	RESP=1
373549	42	STIM=i
377067	42	RESP=1
388823	42	STIM=e
398039	42	RESP=1
405425	42	STIM=2
410479	42	RESP=2
422709	42	STIM=j
426836	42	RESP=1
437943	42	STIM=r
444846	42	RESP=1
453618	42	STIM=t
459626	42	RESP=1
469573	42	STIM=6
478444	42	RESP=2
485276	42	STIM=9
489442	42	RESP=2
500331	42	STIM=7
504571	42	RESP=2
518719	42	STIM=3
525546	42	RESP=2
536540	42	STIM=o
540567	42	RESP=1
555325	42	STIM=y
561262	42	RESP=1
573021	42	STIM=k
576536	42	RESP=1
590417	42	STIM=j
598721	42	RESP=1
609166	42	STIM=v
615317	42	RESP=1
626400	42	STIM=2
630196	42	RESP=2
644775	42	STIM=n
650374	42	RESP=1
660563	42	STIM=0
666459	42	RESP=1
676617	42	STIM=k
684415	42	RESP=1
695060	42	STIM=a
700769	42	RESP=1
712167	42	STIM=w
717076	42	RESP=1
728012	42	STIM=j
732081	42	RESP=1
743802	42	STIM=y
749124	42	RESP=1
761136	42	STIM=w
766443	42	RESP=1
777671	42	STIM=k
782744	42	RESP=1
793799	42	STIM=y
799138	42	RESP=1
810286	42	STIM=p
816244	42	RESP=1
825600	42	STIM=w
830917	42	RESP=1
843126	42	STIM=b
850370	42	RESP=1
859958	42	STIM=j
862833	42	RESP=1
875431	42	STIM=o
879221	42	RESP=1
892526	42	STIM=s
896177	42	RESP=1
911173	42	STIM=v
915145	42	RESP=1
928692	42	STIM=0
933162	42	RESP=1
947075	42	STIM=s
953846	42	RESP=1
962653	42	STIM=n
965944	42	RESP=1
980775	42	STIM=h
984416	42	RESP=1
999304	42	STIM=o
1003879	42	RESP=1
1018274	42	STIM=v
1021401	42	RESP=1
1035027	42	STIM=d
1039415	42	RESP=1
1053765	42	STIM=5
1058971	42	RESP=1
1072289	42	STIM=2
1082955	42	RESP=2
1090388	42	STIM=f
1094244	42	RESP=1
1106862	42	STIM=f
1113942	42	RESP=1
1123309	42	STIM=x
1130587	42	RESP=1
1140183	42	STIM=s
1143446	42	RESP=1
1156339	42	STIM=k
1162289	42	RESP=1
1172224	42	STIM=f
1179430	42	RESP=1
1189087	42	STIM=3
1193543	42	RESP=2
1207050	42	STIM=5
1212655	42	RESP=2
1223969	42	STIM=4
1228861	42	RESP=2
1242244	42	STIM=c
1245830	42	RESP=1
1258940	42	STIM=f
1264091	42	RESP=1
1275917	42	STIM=h
1279148	42	RESP=1
1292520	42	STIM=9
1296752	42	RESP=2
1310483	42	STIM=z
1319901	42	RESP=1
1329188	42	STIM=y
1338314	42	RESP=1
1347738	42	STIM=n
1354964	42	RESP=1
1366251	42	STIM=s
1369845	42	RESP=1
1383210	42	STIM=k
1388292	42	RESP=1
1400921	42	STIM=a
1404673	42	RESP=1
1416969	42	STIM=m
1424305	42	RESP=1
1435240	42	STIM=e
1440374	42	RESP=1
1453325	42	STIM=k
1460028	42	RESP=1
1470561	42	STIM=f
1474981	42	RESP=1
1488303	42	STIM=z
1491241	42	RESP=1
1506283	42	STIM=8
1513384	42	RESP=2
1523145	42	STIM=d
1529063	42	RESP=1
1540185	42	STIM=r
1544314	42	RESP=1
1558897	42	STIM=5
1565413	42	RESP=2
1577244	42	STIM=s
1585011	42	RESP=1
1595255	42	STIM=s
1599210	42	RESP=1
1612391	42	STIM=w
1616092	42	RESP=1
1629920	42	STIM=b
1633409	42	RESP=1
1646191	42	STIM=z
1651870	42	RESP=1
1662763	42	STIM=l
1666103	42	RESP=1
1681304	42	STIM=1
1685423	42	RESP=2
1697176	42	STIM=p
1703298	42	RESP=1
1714690	42	STIM=v
1721349	42	RESP=1
1732301	42	STIM=p
1737513	42	RESP=1
1748044	42	STIM=k
1754185	42	RESP=1
1765457	42	STIM=d
1773440	42	RESP=1
1781994	42	STIM=4
1787726	42	RESP=2
1798022	42	STIM=m
1801641	42	RESP=1
1813425	42	STIM=m
1816688	42	RESP=1
1828639	42	STIM=y
1834809	42	RESP=1
1844579	42	STIM=w
1850422	42	RESP=1
1859651	42	STIM=i
1863245	42	RESP=1
1875779	42	STIM=g
1882261	42	RESP=1
1890976	42	STIM=y
1894514	42	RESP=1
1908079	42	STIM=g
1916851	42	RESP=1
1924963	42	STIM=z
1930361	42	RESP=1
1942433	42	STIM=o
1945301	42	RESP=1
1960280	42	STIM=p
1963627	42	RESP=1
1976249	42	STIM=h
1980937	42	RESP=1
1992411	42	STIM=x
1995983	42	RESP=1
2010064	42	STIM=s
2014120	42	RESP=1
2027419	42	STIM=p
2033380	42	RESP=1
2044267	42	STIM=5
2049595	42	RESP=2
2061777	42	STIM=j
2065843	42	RESP=1
2079875	42	STIM=a
2085443	42	RESP=1
2096668	42	STIM=w
2102761	42	RESP=1
2114477	42	STIM=b
2119585	42	RESP=1
2132815	42	STIM=5
2138252	42	RESP=2
2151573	42	STIM=9
2160132	42	RESP=2
2166790	42	STIM=y
2173561	42	RESP=1
2183781	42	STIM=x
2188468	42	RESP=1
2202059	42	STIM=y
2205122	42	RESP=1
2218065	42	STIM=r
2225349	42	RESP=1
2236136	42	STIM=q
2239255	42	RESP=1
2252652	42	STIM=j
2257523	42	RESP=1
2269128	42	STIM=5
2273776	42	RESP=2
2286898	42	STIM=v
2290480	42	RESP=1
2303346	42	STIM=t
2306668	42	RESP=1
2318714	42	STIM=r
2323598	42	RESP=1
2335538	42	STIM=a
2342323	42	RESP=1
2354190	42	STIM=m
2357245	42	RESP=1
2369791	42	STIM=c
2373834	42	RESP=1
2388657	42	STIM=s
2394606	42	RESP=1
2403668	42	STIM=s
2407088	42	RESP=1
2418672	42	STIM=x
2426479	42	RESP=1
2435542	42	STIM=s
2440487	42	RESP=1
2450882	42	STIM=k
2458726	42	RESP=1
2468157	42	STIM=c
2474122	42	RESP=1
2486326	42	STIM=n
2491115	42	RESP=1
2503196	42	STIM=q
2511252	42	RESP=1
2519973	42	STIM=4
2525435	42	RESP=1
2536827	42	STIM=y
2547627	42	RESP=1
2555797	42	STIM=r
2562759	42	RESP=1
2572363	42	STIM=r
2578180	42	RESP=1
2588889	42	STIM=d
2592996	42	RESP=1
2604345	42	STIM=x
2610727	42	RESP=1
2622258	42	STIM=3
2626533	42	RESP=2
2638407	42	STIM=6
2641560	42	RESP=1
2656857	42	STIM=4
2665548	42	RESP=1
2674859	42	STIM=d
2678944	42	RESP=1
2693747	42	STIM=o
2698862	42	RESP=1
2710149	42	STIM=d
2715040	42	RESP=1
2727394	42	STIM=c
2731266	42	RESP=1
2744525	42	STIM=5
2760785	42	RESP=1
2760885	42	STIM=0
2766071	42	RESP=1
2776467	42	STIM=i
2784832	42	RESP=1
2794949	42	STIM=l
2798920	42	RESP=1
2810967	42	STIM=o
2814282	42	RESP=1
2827257	42	STIM=s
2831627	42	RESP=1
2842416	42	STIM=o
2846088	42	RESP=1
2858769	42	STIM=r
2863168	42	RESP=1
2877171	42	STIM=7
2880658	42	RESP=2
2896050	42	STIM=g
2904852	42	RESP=1
2911712	42	STIM=8
2918662	42	RESP=2
2929342	42	STIM=3
2936021	42	RESP=2
2944583	42	STIM=5
2949219	42	RESP=2
2962954	42	STIM=x
2967873	42	RESP=1
2979383	42	STIM=d
2986829	42	RESP=1
2994668	42	STIM=a
2998946	42	RESP=1
3009821	42	STIM=s
3014818	42	RESP=1
3027065	42	STIM=9
3033619	42	RESP=2
3044825	42	STIM=f
3051817	42	RESP=1
3062212	42	STIM=f
3067716	42	RESP=1
3080287	42	STIM=1
3087167	42	RESP=2
3098761	42	STIM=q
3107689	42	RESP=1
3116299	42	STIM=8
3122530	42	RESP=2
3131548	42	STIM=w
3135685	42	RESP=1
3148057	42	STIM=j
3156795	42	RESP=1
3164433	42	STIM=m
3168639	42	RESP=1
3182096	42	STIM=1
3189845	42	RESP=2
3200765	42	STIM=c
3205107	42	RESP=1
3219153	42	STIM=b
3222578	42	RESP=1
3236761	42	STIM=v
3240945	42	RESP=1
3251941	42	STIM=f
3255834	42	RESP=1
3268908	42	STIM=m
3273212	42	RESP=1
3286305	42	STIM=n
3289377	42	RESP=1
3302105	42	STIM=y
3306938	42	RESP=1
3319424	42	STIM=5
3325519	42	RESP=2
3335272	42	STIM=y
3338125	42	RESP=1
3351068	42	STIM=b
3354641	42	RESP=1
3369020	42	STIM=e
3379063	42	RESP=1
3384021	42	STIM=h
3388689	42	RESP=1
3401405	42	STIM=h
3404820	42	RESP=1
3418236	42	STIM=f
3422873	42	RESP=1
3437102	42	STIM=p
3441805	42	RESP=1
3452146	42	STIM=t
3459313	42	RESP=1
3468422	42	STIM=m
3474312	42	RESP=1
3484887	42	STIM=f
3491250	42	RESP=1
3502804	42	STIM=0
3510177	42	RESP=2
3521750	42	STIM=j
3527568	42	RESP=1
3539888	42	STIM=v
3543707	42	RESP=1
3557606	42	STIM=h
3561806	42	RESP=1
3573654	42	STIM=4
3578669	42	RESP=2
3589607	42	STIM=7
3593249	42	RESP=2
3606719	42	STIM=n
3611984	42	RESP=1
3623413	42	STIM=p
3628386	42	RESP=1
3638847	42	STIM=0
3643834	42	RESP=2
3654773	42	STIM=f
3659038	42	RESP=1
3673583	42	STIM=f
3676448	42	RESP=1
3690012	42	STIM=w
3694248	42	RESP=1
3708344	42	STIM=n
3714079	42	RESP=1
3725714	42	STIM=m
3729245	42	RESP=1
3741557	42	STIM=u
3746108	42	RESP=1
3759984	42	STIM=u
3766624	42	RESP=1
3778110	42	STIM=v
3782987	42	RESP=1
3794595	42	STIM=d
3799099	42	RESP=1
3812794	42	STIM=e
3818204	42	RESP=1
3829120	42	STIM=e
3833259	42	RESP=2
3844967	42	STIM=f
3848475	42	RESP=1
3860229	42	STIM=0
3864225	42	RESP=2
3875405	42	STIM=o
3879657	42	RESP=1
3893876	42	STIM=e
3897605	42	RESP=1
3911962	42	STIM=l
3915007	42	RESP=1
3928154	42	STIM=g
3931550	42	RESP=1
3946448	42	STIM=h
3950971	42	RESP=1
3965235	42	STIM=t
3970173	42	RESP=1
3982634	42	STIM=q
3989206	42	RESP=1
4000714	42	STIM=0
4007998	42	RESP=2
4019608	42	STIM=0
4027133	42	RESP=2
4035807	42	STIM=q
4039323	42	RESP=1
4053254	42	STIM=f
4057104	42	RESP=1
4070964	42	STIM=9
4077401	42	RESP=2
4087353	42	STIM=8
4093609	42	RESP=2
4105634	42	STIM=t
4111357	42	RESP=1
4120953	42	STIM=g
4128403	42	RESP=1
4139210	42	STIM=r
4144816	42	RESP=1
4155372	42	STIM=q
4158195	42	RESP=1
4173064	42	STIM=j
4177060	42	RESP=1
4190554	42	STIM=u
4194029	42	RESP=1
4205975	42	STIM=c
4211147	42	RESP=1
4223235	42	STIM=7
4228473	42	RESP=2
4241641	42	STIM=b
4246371	42	RESP=1
4259107	42	STIM=k
4263747	42	RESP=1
4276599	42	STIM=0
4282154	42	RESP=2
4292290	42	STIM=q
4295988	42	RESP=1
4309713	42	STIM=4
4314100	42	RESP=2
4325565	42	STIM=s
4328998	42	RESP=1
4344040	42	STIM=5
4349165	42	RESP=2
4362047	42	STIM=y
4372251	42	RESP=1
4380426	42	STIM=b
4387962	42	RESP=1
4395945	42	STIM=s
4401012	42	RESP=1
4412426	42	STIM=v
4415629	42	RESP=1
4427713	42	STIM=i
4431082	42	RESP=1
4443174	42	STIM=q
4449460	42	RESP=1
4460853	42	STIM=k
4470563	42	RESP=1
4478219	42	STIM=r
4482070	42	RESP=1
4493536	42	STIM=y
4498114	42	RESP=1
4511635	42	STIM=h
4514631	42	RESP=1
4527159	42	STIM=t
4533791	42	RESP=1
4545964	42	STIM=a
4552313	42	RESP=1
4563347	42	STIM=u
4567919	42	RESP=1
4580024	42	STIM=r
4583973	42	RESP=1
4598556	42	STIM=2
4605248	42	RESP=2
4614884	42	STIM=d
4620031	42	RESP=1
4630642	42	STIM=9
4634546	42	RESP=2
4647216	42	STIM=h
4650952	42	RESP=1
4664143	42	STIM=p
4667844	42	RESP=1
4682575	42	STIM=e
4688124	42	RESP=1
4701063	42	STIM=o
4705548	42	RESP=1
4717756	42	STIM=r
4720666	42	RESP=1
4736448	42	STIM=k
4741742	42	RESP=1
4754895	42	STIM=m
4758624	42	RESP=1
4773210	42	STIM=h
4778944	42	RESP=1
4788502	42	STIM=l
4795707	42	RESP=1
4804483	42	STIM=l
4810208	42	RESP=1
4820289	42	STIM=d
4824425	42	RESP=1
4838733	42	STIM=z
4842599	42	RESP=1
4854293	42	STIM=7
4862221	42	RESP=2
4869591	42	STIM=q
