# Original filename: 0058_CTC_2016-09-30.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37029	42	STIM=o
45543	42	RESP=1
55926	42	STIM=n
58868	42	RESP=1
72564	42	STIM=l
78453	42	RESP=1
87578	42	STIM=l
90273	42	RESP=1
105691	42	STIM=y
108370	42	RESP=1
122847	42	STIM=q
128086	42	RESP=1
140450	42	STIM=q
146738	42	RESP=1
157480	42	STIM=7
161602	42	RESP=1
174618	42	STIM=t
181191	42	RESP=1
190094	42	STIM=k
194873	42	RESP=1
205821	42	STIM=b
210213	42	RESP=1
222493	42	STIM=5
228544	42	RESP=2
239056	42	STIM=q
242875	42	RESP=1
257861	42	STIM=k
263076	42	RESP=1
274214	42	STIM=h
282028	42	RESP=1
291420	42	STIM=n
297889	42	RESP=1
310365	42	STIM=y
314107	42	RESP=1
325628	42	STIM=x
328960	42	RESP=1
344342	42	STIM=z
348831	42	RESP=1
362347	42	STIM=d
364804	42	RESP=1
377883	42	STIM=z
384635	42	RESP=1
395389	42	STIM=0
402233	42	RESP=2
411012	42	STIM=x
414817	42	RESP=1
428446	42	STIM=e
432571	42	RESP=1
444067	42	STIM=w
447191	42	RESP=1
460071	42	STIM=j
464368	42	RESP=1
477877	42	STIM=m
482333	42	RESP=1
493000	42	STIM=w
497119	42	RESP=2
510084	42	STIM=w
517293	42	RESP=1
525300	42	STIM=3
534620	42	RESP=2
541027	42	STIM=u
545000	42	RESP=1
557686	42	STIM=v
563522	42	RESP=1
574849	42	STIM=4
583445	42	RESP=2
591301	42	STIM=3
596265	42	RESP=2
609750	42	STIM=m
614928	42	RESP=1
628735	42	STIM=6
639498	42	RESP=2
644518	42	STIM=c
653482	42	RESP=1
661674	42	STIM=l
666270	42	RESP=1
678430	42	STIM=m
682161	42	RESP=1
696064	42	STIM=b
703207	42	RESP=1
714094	42	STIM=g
718853	42	RESP=1
731666	42	STIM=e
737187	42	RESP=1
749534	42	STIM=7
754376	42	RESP=2
765603	42	STIM=e
773484	42	RESP=1
781232	42	STIM=6
786248	42	RESP=2
798362	42	STIM=x
803928	42	RESP=1
816880	42	STIM=k
823069	42	RESP=1
835412	42	STIM=z
838505	42	RESP=1
852556	42	STIM=l
855578	42	RESP=1
867810	42	STIM=g
873245	42	RESP=1
884627	42	STIM=r
889060	42	RESP=1
902303	42	STIM=p
909052	42	RESP=1
919508	42	STIM=8
925104	42	RESP=2
937606	42	STIM=u
944638	42	RESP=1
952961	42	STIM=o
958408	42	RESP=1
968769	42	STIM=i
974231	42	RESP=1
986905	42	STIM=e
993516	42	RESP=1
1003487	42	STIM=b
1006045	42	RESP=1
1020151	42	STIM=1
1024839	42	RESP=2
1036594	42	STIM=o
1044625	42	RESP=1
1055295	42	STIM=5
1061852	42	RESP=2
1074215	42	STIM=v
1078746	42	RESP=1
1092443	42	STIM=l
1096410	42	RESP=1
1110499	42	STIM=6
1116599	42	RESP=2
1127929	42	STIM=w
1131421	42	RESP=1
1145429	42	STIM=e
1151938	42	RESP=1
1163913	42	STIM=x
1170199	42	RESP=1
1179814	42	STIM=o
1185744	42	RESP=1
1197806	42	STIM=z
1201868	42	RESP=1
1213083	42	STIM=c
1217203	42	RESP=1
1229850	42	STIM=n
1234888	42	RESP=1
1248037	42	STIM=k
1251630	42	RESP=1
1263689	42	STIM=n
1267153	42	RESP=1
1279067	42	STIM=k
1283058	42	RESP=1
1297351	42	STIM=8
1302051	42	RESP=2
1312994	42	STIM=h
1318541	42	RESP=2
1328375	42	STIM=5
1333057	42	RESP=2
1346201	42	STIM=9
1358237	42	RESP=2
1362055	42	STIM=y
1367938	42	RESP=1
1379723	42	STIM=y
1385269	42	RESP=1
1396761	42	STIM=g
1399754	42	RESP=1
1412996	42	STIM=j
1418734	42	RESP=1
1428181	42	STIM=x
1431799	42	RESP=1
1444100	42	STIM=b
1448601	42	RESP=1
1459399	42	STIM=b
1464955	42	RESP=1
1477363	42	STIM=2
1482197	42	RESP=2
1493381	42	STIM=z
1502708	42	RESP=1
1510218	42	STIM=i
1516465	42	RESP=1
1525637	42	STIM=g
1530488	42	RESP=1
1543785	42	STIM=e
1546918	42	RESP=1
1562329	42	STIM=w
1566431	42	RESP=1
1580101	42	STIM=b
1584310	42	RESP=1
1597694	42	STIM=g
1600934	42	RESP=1
1613908	42	STIM=n
1618637	42	RESP=1
1630049	42	STIM=c
1635357	42	RESP=1
1645188	42	STIM=f
1648249	42	RESP=1
1663867	42	STIM=f
1669121	42	RESP=1
1681405	42	STIM=d
1685049	42	RESP=1
1700185	42	STIM=l
1704491	42	RESP=1
1716243	42	STIM=i
1718957	42	RESP=1
1734960	42	STIM=g
1740062	42	RESP=1
1751113	42	STIM=z
1757307	42	RESP=1
1770010	42	STIM=j
1772986	42	RESP=1
1786694	42	STIM=7
1790488	42	RESP=2
1801833	42	STIM=d
1804988	42	RESP=1
1818008	42	STIM=j
1821607	42	RESP=1
1836661	42	STIM=b
1841106	42	RESP=1
1854604	42	STIM=d
1859476	42	RESP=1
1869858	42	STIM=s
1873551	42	RESP=1
1888075	42	STIM=6
1895590	42	RESP=2
1906275	42	STIM=9
1915264	42	RESP=2
1921829	42	STIM=e
1926827	42	RESP=1
1938518	42	STIM=b
1942460	42	RESP=1
1957296	42	STIM=k
1961945	42	RESP=1
1976213	42	STIM=c
1979656	42	RESP=1
1993374	42	STIM=p
1998382	42	RESP=1
2011142	42	STIM=l
2015468	42	RESP=1
2027092	42	STIM=v
2032053	42	RESP=1
2043956	42	STIM=s
2052996	42	RESP=1
2060567	42	STIM=b
2066311	42	RESP=1
2075984	42	STIM=g
2080312	42	RESP=1
2093701	42	STIM=o
2101410	42	RESP=1
2112660	42	STIM=n
2116161	42	RESP=1
2128892	42	STIM=l
2133387	42	RESP=1
2146470	42	STIM=b
2154306	42	RESP=1
2164497	42	STIM=g
2174357	42	RESP=1
2183015	42	STIM=3
2187927	42	RESP=2
2199191	42	STIM=y
2203781	42	RESP=1
2214200	42	STIM=p
2219980	42	RESP=1
2229482	42	STIM=s
2236425	42	RESP=1
2244628	42	STIM=n
2249035	42	RESP=1
2263454	42	STIM=q
2266571	42	RESP=1
2281838	42	STIM=m
2285447	42	RESP=1
2300778	42	STIM=w
2304677	42	RESP=1
2319375	42	STIM=r
2323129	42	RESP=1
2337952	42	STIM=l
2342634	42	RESP=1
2356415	42	STIM=g
2359151	42	RESP=1
2373943	42	STIM=c
2377993	42	RESP=1
2392824	42	STIM=b
2397186	42	RESP=1
2409375	42	STIM=q
2420006	42	RESP=1
2427932	42	STIM=e
2433302	42	RESP=1
2445783	42	STIM=e
2452592	42	RESP=1
2462381	42	STIM=a
2466849	42	RESP=1
2478203	42	STIM=q
2482973	42	RESP=1
2494380	42	STIM=b
2500542	42	RESP=1
2512312	42	STIM=c
2520047	42	RESP=1
2528903	42	STIM=2
2533836	42	RESP=2
2547780	42	STIM=r
2551822	42	RESP=1
2563090	42	STIM=h
2566704	42	RESP=1
2578923	42	STIM=1
2585894	42	RESP=2
2595028	42	STIM=f
2600720	42	RESP=1
2612069	42	STIM=x
2619833	42	RESP=1
2630326	42	STIM=k
2634190	42	RESP=1
2648032	42	STIM=k
2651527	42	RESP=1
2664598	42	STIM=0
2670051	42	RESP=2
2680805	42	STIM=m
2685298	42	RESP=1
2698026	42	STIM=i
2703069	42	RESP=1
2713484	42	STIM=o
2716259	42	RESP=1
2731762	42	STIM=0
2737060	42	RESP=2
2749177	42	STIM=u
2754754	42	RESP=1
2767680	42	STIM=l
2771732	42	RESP=1
2786370	42	STIM=x
2790502	42	RESP=1
2803127	42	STIM=b
2808781	42	RESP=1
2820013	42	STIM=i
2828079	42	RESP=1
2836385	42	STIM=x
2840944	42	RESP=1
2853955	42	STIM=n
2857614	42	RESP=1
2872646	42	STIM=u
2877677	42	RESP=1
2889000	42	STIM=p
2896941	42	RESP=2
2905888	42	STIM=j
2911878	42	RESP=1
2923570	42	STIM=a
2929575	42	RESP=1
2940881	42	STIM=g
2946624	42	RESP=1
2959187	42	STIM=p
2961737	42	RESP=2
2975668	42	STIM=x
2979293	42	RESP=1
2993693	42	STIM=q
2999145	42	RESP=1
3009307	42	STIM=z
3012456	42	RESP=1
3024795	42	STIM=h
3029586	42	RESP=1
3041704	42	STIM=z
3044937	42	RESP=1
3057576	42	STIM=l
3063863	42	RESP=1
3073550	42	STIM=g
