# Original filename: 0059_VIV_2017-07-30.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
36019	42	STIM=c
39116	42	RESP=1
54334	42	STIM=2
59114	42	RESP=2
70188	42	STIM=6
75044	42	RESP=2
86507	42	STIM=n
90512	42	RESP=1
102306	42	STIM=a
104715	42	RESP=1
120383	42	STIM=3
126714	42	RESP=2
135519	42	STIM=k
141100	42	RESP=1
150617	42	STIM=k
155229	42	RESP=1
166777	42	STIM=p
172771	42	RESP=1
182278	42	STIM=z
187151	42	RESP=1
198705	42	STIM=m
204385	42	RESP=1
216733	42	STIM=e
232446	42	RESP=1
234476	42	STIM=l
239726	42	RESP=1
252534	42	STIM=4
257659	42	RESP=1
270221	42	STIM=i
273644	42	RESP=1
286806	42	STIM=s
290824	42	RESP=1
304287	42	STIM=w
310229	42	RESP=1
319377	42	STIM=g
325044	42	RESP=1
336903	42	STIM=k
340866	42	RESP=2
353921	42	STIM=z
359548	42	RESP=1
372078	42	STIM=o
378005	42	RESP=1
389654	42	STIM=4
395757	42	RESP=2
405459	42	STIM=s
412808	42	RESP=1
421164	42	STIM=g
424335	42	RESP=1
439337	42	STIM=s
444584	42	RESP=2
458161	42	STIM=x
463432	42	RESP=1
474245	42	STIM=b
478129	42	RESP=1
492355	42	STIM=v
500623	42	RESP=1
508328	42	STIM=a
511781	42	RESP=1
523955	42	STIM=p
529792	42	RESP=1
540916	42	STIM=m
546708	42	RESP=1
558957	42	STIM=h
565537	42	RESP=1
574048	42	STIM=e
577765	42	RESP=1
590573	42	STIM=v
595107	42	RESP=1
606804	42	STIM=7
613170	42	RESP=2
622862	42	STIM=f
627077	42	RESP=1
641071	42	STIM=0
648772	42	RESP=2
659508	42	STIM=t
662936	42	RESP=1
674713	42	STIM=x
680373	42	RESP=2
690759	42	STIM=e
696633	42	RESP=1
706884	42	STIM=j
715681	42	RESP=1
724889	42	STIM=t
730456	42	RESP=1
740328	42	STIM=n
747960	42	RESP=1
756372	42	STIM=y
759242	42	RESP=1
772429	42	STIM=z
776549	42	RESP=1
790357	42	STIM=q
794363	42	RESP=1
808159	42	STIM=c
814573	42	RESP=1
826903	42	STIM=y
832711	42	RESP=1
843615	42	STIM=t
849499	42	RESP=1
859581	42	STIM=e
864174	42	RESP=2
874932	42	STIM=3
880623	42	RESP=2
891757	42	STIM=9
902293	42	RESP=2
907086	42	STIM=t
910983	42	RESP=1
924504	42	STIM=7
932973	42	RESP=2
941480	42	STIM=n
945609	42	RESP=1
958489	42	STIM=2
964436	42	RESP=2
974609	42	STIM=n
979061	42	RESP=1
990161	42	STIM=y
994430	42	RESP=1
1008035	42	STIM=2
1014431	42	RESP=2
1024901	42	STIM=8
1029678	42	RESP=2
1042357	42	STIM=6
1048645	42	RESP=2
1058983	42	STIM=t
1063768	42	RESP=1
1075563	42	STIM=c
1078907	42	RESP=1
1092232	42	STIM=b
1097560	42	RESP=1
1107332	42	STIM=p
1112365	42	RESP=1
1124126	42	STIM=s
1127768	42	RESP=1
1142052	42	STIM=j
1150021	42	RESP=1
1159272	42	STIM=2
1165407	42	RESP=2
1175583	42	STIM=u
1179206	42	RESP=1
1191971	42	STIM=j
1197134	42	RESP=1
1208542	42	STIM=y
1216693	42	RESP=1
1226981	42	STIM=1
1231863	42	RESP=2
1242335	42	STIM=u
1248166	42	RESP=1
1260127	42	STIM=o
